Chart: 11006, Current Edition: 34, Print Date: Aug. /2013, Gulf Coast - Key West to Mississippi River
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11006	Relocate	NOAA Data Buoy 42409	Y C "42409" Priv	N 25 51' 05.000"	W 089 15' 05.000"	25.85139	-89.25139	LNM 21/17, 8th Dist	44	11006_1	6/8/2017
11006	Add	NOAA Lighted Data Buoy 42012	Y ODAS "42012" Fl (4) Y 20s	N 30 03' 50.964"	W 087 33' 05.197"	30.06416	-87.55145	LNM 15/17, 8th Dist	44	11006_1	4/20/2017
11006	Add	NOAA Data Buoy 42409	Y C "42409" Priv	N 25 52' 03.000"	W 089 15' 53.000"	25.8675	-89.26472	LNM 15/17, 8th Dist	44	11006_1	4/20/2017
11006	Relocate	NOAA Lighted Buoy 42039	Y ODAS "42039" Fl (4) Y 20s PA	N 28 47' 17.565"	W 086 00' 30.589"	28.78821	-86.0085	LNM 14/17, 8th Dist	44	11006_1	4/13/2017
11006	Relocate	NOAA Lighted Buoy 42040 (ODAS)	Y ODAS "42040" Fl (4) Y 20s PA	N 29 12' 30.280"	W 088 13' 32.462"	29.20841	-88.22569	LNM 13/17, 8th Dist	44	11006_1	4/6/2017
11006	Add	Minimum Size (2mm sq.) Dotted Fish Haven and Label	Obstn Fish Haven (auth min 6 1/4 fms), Chart No. 1 K46.2	N 30 21' 08.500"	W 086 36' 52.500"	30.35236	-86.61459	LNM 04/17, 8th Dist	44	11006_1	1/19/2017
11006	Add	Minimum Size (2mm sq.) Dotted Fish Haven and Label	Obstn Fish Haven (auth min 5 1/2 fms), Chart No. 1 K46.2	N 30 21' 23.400"	W 086 32' 52.600"	30.3565	-86.54794	LNM 04/17, 8th Dist	44	11006_1	1/19/2017
11006	Add	Obstruction	Obstn PA         Chart No. 1: K40	N 28 53' 19.740"	W 089 49' 39.960"	28.88882	-89.82777	LNM 37/16, 8th Dist	44	11006_1	9/8/2016
11006	Relocate	Energy XXI-102-10 (Lighted Horn Buoy)	G Q G HORN Priv	N 29 14' 20.408"	W 088 52' 59.480"	29.239	-88.88319	LNM 34/16, 8th Dist	44	11006_1	9/1/2016
11006	Add	Obstruction	Obstn PA         Chart No. 1: K40	N 28 55' 43.380"	W 089 34' 57.120"	28.92872	-89.58253	LNM 04/16, 7th Dist	44	11006_1	1/21/2016
