Chart: 11009, Current Edition: 39, Print Date: Apr. /2011, Cape Hatteras to Straits of Florida
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11009	Add	Cable Area  PT 1 OF 4	Chart No. 1: L30.2	N 30 28' 48.000"	W 080 22' 30.000"	30.48	-80.375	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Add	Cable Area  PT 2 OF 4	Chart No. 1: L30.2	N 30 28' 48.000"	W 080 00' 54.000"	30.48	-80.015	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Add	Cable Area  PT 3 OF 4	Chart No. 1: L30.2	N 30 03' 00.000"	W 080 06' 36.000"	30.05	-80.11	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Add	Cable Area  PT 4 OF 4	Chart No. 1: L30.2	N 30 03' 00.000"	W 080 29' 00.000"	30.05	-80.48333	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Add	Submarine Cable  PT 1 OF 10	Chart No. 1: L30.1	N 30 22' 19.980"	W 081 17' 02.900"	30.37222	-81.28414	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Add	Submarine Cable  PT 2 OF 10	Chart No. 1: L30.1	N 30 20' 34.280"	W 081 07' 45.720"	30.34286	-81.12936	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Add	Submarine Cable  PT 3 OF 10	Chart No. 1: L30.1	N 30 20' 48.160"	W 081 06' 24.610"	30.34671	-81.10683	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Add	Submarine Cable  PT 4 OF 10	Chart No. 1: L30.1	N 30 20' 32.580"	W 081 05' 01.180"	30.34238	-81.08366	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Add	Submarine Cable  PT 5 OF 10	Chart No. 1: L30.1	N 30 19' 47.320"	W 081 03' 11.990"	30.32981	-81.05333	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Add	Submarine Cable  PT 6 OF 10	Chart No. 1: L30.1	N 30 18' 28.590"	W 080 56' 33.740"	30.30794	-80.9427	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Add	Submarine Cable  PT 7 OF 10	Chart No. 1: L30.1	N 30 16' 00.310"	W 080 50' 17.080"	30.26675	-80.83808	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Add	Submarine Cable  PT 8 OF 10	Chart No. 1: L30.1	N 30 12' 20.900"	W 080 33' 42.690"	30.2058	-80.56186	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Add	Submarine Cable  PT 9 OF 10	Chart No. 1: L30.1	N 30 11' 26.430"	W 080 31' 48.070"	30.19068	-80.53002	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Add	Submarine Cable  PT 10 OF 10	Chart No. 1: L30.1	N 30 10' 31.330"	W 080 27' 06.190"	30.17537	-80.45172	LNM 25/17, 7th Dist	378	11009_1	6/15/2017
11009	Relocate	NOAA Lighted Data Buoy 41001 (ODAS)	Y ODAS "41001" Fl (4) Y 20s PA	N 34 38' 48.000"	W 072 37' 18.000"	34.64667	-72.62167	LNM 17/17, 5th Dist	378	11009_1	5/4/2017
11009	Add	Wreck in Fathoms	8 Wk    (Chart No. 1: K26)	N 33 16' 50.000"	W 077 41' 21.300"	33.28056	-77.68925	LNM 45/16, 5th Dist	378	11009_1	11/10/2016
11009	Delete	Non-Dangerous Obstruction	Subm buoy	N 30 28' 48.000"	W 080 29' 00.000"	30.48	-80.48333	WNM 46/10, NGA	378	11009_1	8/25/2016
11009	Delete	Non-Dangerous Obstruction	Subm buoy	N 30 28' 48.000"	W 080 06' 36.000"	30.48	-80.11	WNM 46/10, NGA	378	11009_1	8/25/2016
11009	Delete	Non-Dangerous Obstruction	Subm buoy	N 30 03' 00.000"	W 080 06' 36.000"	30.05	-80.11	WNM 46/10, NGA	378	11009_1	8/25/2016
11009	Delete	Non-Dangerous Obstruction	Subm buoy	N 30 03' 00.000"	W 080 29' 00.000"	30.05	-80.48333	WNM 46/10, NGA	378	11009_1	8/25/2016
11009	Add	Minimum Size (2mm sq.) Dotted Fish Haven and Label	Obstns, Chart No. 1 K46.2	N 26 39' 51.700"	W 080 01' 13.300"	26.66436	-80.02036	LNM 31/16, 7th Dist	378	11009_1	7/28/2016
