Chart: 11306, Current Edition: 22, Print Date: Oct. /2012, Intracoastal Waterway Laguna Madre Middle Ground to Chubby Island
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11306	Add	Obstruction in Feet	5 Obstn       Chart No. 1: K41	N 26 33' 50.900"	W 097 16' 11.900"	26.56414	-97.26997	LNM 37/16, 8th Dist	118	11306_2	9/8/2016
11306	Delete	Pipe	Pipe PA	N 26 29' 10.200"	W 097 22' 54.000"	26.48617	-97.38167	LNM 16/16, 8th Dist	118	11306_2	4/28/2016
11306	Relocate	Land Cut-Arroyo Colorado Daybeacon 68	R "68" Ra Ref	N 26 35' 40.263"	W 097 24' 35.158"	26.59452	-97.40977	LNM 16/16, 8th Dist	118	11306_2	4/28/2016
11306	Relocate	Land Cut-Arroyo Colorado Daybeacon 65	G "65" Ra Ref	N 26 36' 03.890"	W 097 24' 39.873"	26.60108	-97.41108	LNM 16/16, 8th Dist	118	11306_2	4/28/2016
11306	Relocate	Land Cut-Arroyo Colorado Daybeacon 51	G "51" Ra Ref	N 26 40' 50.901"	W 097 26' 21.298"	26.68081	-97.43925	LNM 16/16, 8th Dist	118	11306_2	4/28/2016
11306	Relocate	Land Cut-Arroyo Colorado Daybeacon 35	G "35" Ra Ref	N 26 44' 55.452"	W 097 27' 31.667"	26.74874	-97.45879	LNM 16/16, 8th Dist	118	11306_2	4/28/2016
11306	Relocate	Land Cut Light 12	Fl R 4s 17ft 3M "12" Ra Ref	N 26 57' 12.098"	W 097 27' 18.138"	26.95336	-97.45504	LNM 16/16, 8th Dist	119	11306_1	4/28/2016
11306	Add	Pipe 	Pipe PA      Chart No. 1: L20	N 26 29' 10.200"	W 097 22' 54.000"	26.48617	-97.38167	LNM 13/16, 8th Dist	118	11306_2	4/7/2016
11306	Relocate	Land Cut Daybeacon 16	R "16" Ra Ref	N 26 53' 49.842"	W 097 27' 41.155"	26.89718	-97.46143	LNM 42/15, 8th Dist	119	11306_1	10/29/2015
11306	Change	Port Mansfield Channel Range Front Light	{Q R 20ft, Q R 22ft	N 26 33' 29.496"	W 097 25' 30.540"	26.55819	-97.42515	LNM 21/15, 8th Dist	118	11306_2	6/11/2015
11306	Change	Port Mansfield Channel Range Front Light	Q R 22ft	N 26 33' 29.496"	W 097 25' 30.540"	26.55819	-97.42515	LNM 21/15, 8th Dist	118	11306_2	6/4/2015
11306	Change	tabulation - PORT MANSFIELD CHANNEL DEPTHS	tabulation - PORT MANSFIELD CHANNEL DEPTHS	N 26 43' 43.000"	W 097 18' 35.000"	26.72861	-97.30972	LNM 21/14, 8th Dist	118	11306_2	5/22/2014
11306	Relocate	Land Cut-Arroyo Colorado Daybeacon 96	R "96"	N 26 29' 21.096"	W 097 22' 59.862"	26.48919	-97.38329	LNM 15/14, 8th Dist	118	11306_2	4/24/2014
11306	Relocate	Land Cut Daybeacon 4	R "4"	N 27 04' 07.895"	W 097 26' 42.167"	27.06886	-97.44505	LNM 15/14, 8th Dist	119	11306_1	4/24/2014
11306	Change	tabulation - PORT MANSFIELD CHANNEL DEPTHS	tabulation - PORT MANSFIELD CHANNEL DEPTHS	N 26 43' 43.000"	W 097 18' 35.000"	26.72861	-97.30972	LNM 03/14, 8th Dist	118	11306_2	1/16/2014
11306	Change	Baffin Bay-Landcut Light 23	Fl G 4s 17ft 4M "23" Ra Ref	N 27 10' 25.836"	W 097 25' 56.912"	27.17384	-97.43247	LNM 39/13, 8th Dist	119	11306_1	9/30/2013
11306	Add	Baffin Bay-Landcut Daybeacon 25	G "25" Ra Ref	N 27 09' 57.805"	W 097 26' 03.808"	27.16606	-97.43439	LNM 38/13, 8th Dist	119	11306_1	9/20/2013
11306	Add	Baffin Bay-Landcut Daybeacon 29	G "29" Ra Ref	N 27 09' 02.333"	W 097 26' 15.738"	27.15065	-97.43771	LNM 38/13, 8th Dist	119	11306_1	9/20/2013
11306	Add	Baffin Bay-Landcut Daybeacon 33	G "33" Ra Ref	N 27 07' 57.793"	W 097 26' 24.773"	27.13272	-97.44022	LNM 38/13, 8th Dist	119	11306_1	9/20/2013
11306	Delete	Baffin Bay-Landcut Buoy 61	G C "61"	N 27 09' 12.075"	W 097 26' 13.585"	27.15335	-97.4371	LNM 38/13, 8th Dist	119	11306_1	9/20/2013
11306	Delete	Baffin Bay-Landcut Buoy 63	G C "63"	N 27 09' 02.120"	W 097 26' 15.933"	27.15059	-97.43776	LNM 38/13, 8th Dist	119	11306_1	9/20/2013
11306	Delete	Baffin Bay-Landcut Buoy 53	G C "53"	N 27 10' 12.170"	W 097 26' 00.952"	27.17005	-97.4336	LNM 38/13, 8th Dist	119	11306_1	9/20/2013
11306	Delete	Baffin Bay-Landcut Buoy 55	G C "55"	N 27 09' 57.170"	W 097 26' 03.952"	27.16588	-97.43443	LNM 38/13, 8th Dist	119	11306_1	9/20/2013
11306	Delete	Baffin Bay-Landcut Buoy 57	G C "57"	N 27 09' 41.696"	W 097 26' 07.207"	27.16158	-97.43533	LNM 38/13, 8th Dist	119	11306_1	9/20/2013
11306	Delete	Baffin Bay-Landcut Buoy 71	G C "71"	N 27 07' 57.174"	W 097 26' 24.951"	27.13255	-97.44026	LNM 38/13, 8th Dist	119	11306_1	9/20/2013
11306	Delete	Baffin Bay-Landcut Buoy 73	G C "73"	N 27 07' 41.674"	W 097 26' 26.201"	27.12824	-97.44061	LNM 38/13, 8th Dist	119	11306_1	9/20/2013
