Chart: 11313, Current Edition: 24, Print Date: Oct. /2010, Matagorda Light to Aransas Pass
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11313	Change	Channel Limits PT 2 OF 11	Chart No. 1: I20	N 27 50' 39.200"	W 097 03' 41.510"	27.84422	-97.06153	LNM 18/17, 8th Dist	129	11313_1	4/27/2017
11313	Change	Channel Limits PT 3 OF 11	Chart No. 1: I20	N 27 50' 50.070"	W 097 03' 35.210"	27.84724	-97.05978	LNM 18/17, 8th Dist	129	11313_1	4/27/2017
11313	Change	Channel Limits PT 4 OF 11	Chart No. 1: I20	N 27 50' 44.080"	W 097 03' 28.220"	27.84558	-97.05784	LNM 18/17, 8th Dist	129	11313_1	4/27/2017
11313	Change	Channel Limits PT 5 OF 11	Chart No. 1: I20	N 27 49' 03.990"	W 097 00' 25.270"	27.81778	-97.00702	LNM 18/17, 8th Dist	129	11313_1	4/27/2017
11313	Change	Channel Limits PT 7 OF 11	Chart No. 1: I20	N 27 50' 29.820"	W 097 04' 04.850"	27.84162	-97.06802	LNM 18/17, 8th Dist	129	11313_1	4/27/2017
11313	Change	Channel Limits PT 8 OF 11	Chart No. 1: I20	N 27 50' 29.860"	W 097 03' 59.170"	27.84163	-97.06644	LNM 18/17, 8th Dist	129	11313_1	4/27/2017
11313	Change	Channel Limits PT 9 OF 11	Chart No. 1: I20	N 27 50' 33.390"	W 097 03' 40.140"	27.84261	-97.06115	LNM 18/17, 8th Dist	129	11313_1	4/27/2017
11313	Change	Channel Limits PT 10 OF 11	Chart No. 1: I20	N 27 50' 32.910"	W 097 03' 24.570"	27.84248	-97.05682	LNM 18/17, 8th Dist	129	11313_1	4/27/2017
11313	Change	Channel Limits PT 11 OF 11	Chart No. 1: I20	N 27 49' 04.700"	W 097 00' 41.670"	27.81797	-97.01157	LNM 18/17, 8th Dist	129	11313_1	4/27/2017
11313	Change	Channel Limits PT 1 OF 11	Chart No. 1: I20	N 27 49' 03.550"	W 097 12' 15.400"	27.81765	-97.20428	LNM 18/17, 8th Dist	129	11313_1	4/27/2017
11313	Change	Channel Limits PT 6 OF 11	Chart No. 1: I20	N 27 49' 03.550"	W 097 11' 48.380"	27.81765	-97.19677	LNM 18/17, 8th Dist	129	11313_1	4/27/2017
11313	Add	Platform: (ExxonMobil-100-02)	Chart No. 1: L10	N 28 02' 28.300"	W 096 35' 09.850"	28.04119	-96.58607	LNM 30/16, 8th Dist	129	11313_1	8/11/2016
11313	Add	Dotted Fish Haven and Label PT 1 OF 4	Obstn Fish Haven (auth min 50 ft)	N 27 53' 47.170"	W 096 25' 54.050"	27.89644	-96.43168	LNM 11/16, 8th Dist	129	11313_1	3/10/2016
11313	Add	Dotted Fish Haven and Label PT 2 OF 4	Obstn Fish Haven (auth min 50 ft)	N 27 53' 34.080"	W 096 25' 54.350"	27.8928	-96.43176	LNM 11/16, 8th Dist	129	11313_1	3/10/2016
11313	Add	Dotted Fish Haven and Label PT 3 OF 4	Obstn Fish Haven (auth min 50 ft)	N 27 53' 33.830"	W 096 25' 39.680"	27.89273	-96.42769	LNM 11/16, 8th Dist	129	11313_1	3/10/2016
11313	Add	Dotted Fish Haven and Label PT 4 OF 4	Obstn Fish Haven (auth min 50 ft)	N 27 53' 46.890"	W 096 25' 39.360"	27.89636	-96.4276	LNM 11/16, 8th Dist	129	11313_1	3/10/2016
