Chart: 11322, Current Edition: 33, Print Date: May. /2012, Intracoastal Waterway Galveston Bay to Cedar Lakes
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11322	Add	Freeport LNG Danger Light	Q 12ft Priv	N 28 56' 27.300"	W 095 18' 32.500"	28.94092	-95.30903	LNM 22/17, 8th Dist	99	11322_4	6/8/2017
11322	Change	tabulation - FREEPORT HARBOR CHANNEL DEPTHS	tabulation - FREEPORT HARBOR CHANNEL DEPTHS	N 28 59' 59.000"	W 095 23' 18.000"	28.99972	-95.38834	LNM 21/17, 8th Dist	99	11322_4	5/18/2017
11322	Delete	Channel Limits PT 2 OF 6	Chart No. 1: I20	N 28 56' 24.830"	W 095 19' 57.190"	28.94023	-95.33255	LNM 20/17, 8th Dist	99	11322_4	5/11/2017
11322	Delete	Channel Limits PT 3 OF 6	Chart No. 1: I20	N 28 56' 20.830"	W 095 19' 49.020"	28.93912	-95.33028	LNM 20/17, 8th Dist	99	11322_4	5/11/2017
11322	Delete	Channel Limits PT 4 OF 6	Chart No. 1: I20	N 28 56' 32.470"	W 095 18' 09.170"	28.94235	-95.30254	LNM 20/17, 8th Dist	99	11322_4	5/11/2017
11322	Delete	Channel Limits PT 5 OF 6	Chart No. 1: I20	N 28 56' 21.270"	W 095 17' 57.880"	28.93924	-95.29941	LNM 20/17, 8th Dist	99	11322_4	5/11/2017
11322	Add	Channel Limits PT 2 OF 6	Chart No. 1: I20	N 28 56' 24.910"	W 095 19' 57.170"	28.94025	-95.33255	LNM 20/17, 8th Dist	99	11322_4	5/11/2017
11322	Add	Channel Limits PT 3 OF 6	Chart No. 1: I20	N 28 56' 20.920"	W 095 19' 49.120"	28.93914	-95.33031	LNM 20/17, 8th Dist	99	11322_4	5/11/2017
11322	Add	Channel Limits PT 4 OF 6	Chart No. 1: I20	N 28 56' 32.670"	W 095 18' 09.050"	28.94241	-95.30251	LNM 20/17, 8th Dist	99	11322_4	5/11/2017
11322	Add	Channel Limits PT 5 OF 6	Chart No. 1: I20	N 28 56' 17.800"	W 095 17' 52.320"	28.93828	-95.29787	LNM 20/17, 8th Dist	99	11322_4	5/11/2017
11322	Delete	Channel Limits PT 1 OF 6	Chart No. 1: I20	N 28 54' 03.920"	W 095 15' 41.480"	28.90109	-95.26152	LNM 20/17, 8th Dist	99	11322_4	5/11/2017
11322	Delete	Channel Limits PT 6 OF 6	Chart No. 1: I20	N 28 54' 05.490"	W 095 15' 37.280"	28.90153	-95.26035	LNM 20/17, 8th Dist	99	11322_4	5/11/2017
11322	Add	Channel Limits PT 1 OF 6	Chart No. 1: I20	N 28 54' 03.940"	W 095 15' 41.480"	28.90109	-95.26152	LNM 20/17, 8th Dist	99	11322_4	5/11/2017
11322	Add	Channel Limits PT 6 OF 6	Chart No. 1: I20	N 28 54' 06.180"	W 095 15' 34.710"	28.90172	-95.25964	LNM 20/17, 8th Dist	99	11322_4	5/11/2017
11322	Relocate	Galveston-Freeport G Range Front Light	Q 15ft	N 29 16' 54.135"	W 094 58' 28.078"	29.2817	-94.97446	LNM 13/17, 8th Dist	96	11322_1	4/6/2017
11322	Change	tabulation - FREEPORT HARBOR CHANNEL DEPTHS	tabulation - FREEPORT HARBOR CHANNEL DEPTHS	N 28 59' 59.000"	W 095 23' 18.000"	28.99972	-95.38834	LNM 14/17, 8th Dist	99	11322_4	4/6/2017
11322	Delete	Platform	Chart No. 1: L10	N 28 55' 23.700"	W 095 12' 38.340"	28.92325	-95.21065	LNM 14/17, 8th Dist	99	11322_4	4/6/2017
11322	Delete	Platform	Platform, Chart No. 1: L10	N 28 55' 45.120"	W 095 12' 16.140"	28.9292	-95.20448	LNM 14/17, 8th Dist	99	11322_4	4/6/2017
11322	Add	Submerged platform	Subm platform      Chart No. 1 Kl	N 28 55' 23.700"	W 095 12' 38.340"	28.92325	-95.21065	LNM 14/17, 8th Dist	99	11322_4	4/6/2017
11322	Add	Submerged platform	Subm platform      Chart No. 1 Kl	N 28 55' 45.120"	W 095 12' 16.140"	28.9292	-95.20448	LNM 14/17, 8th Dist	99	11322_4	4/6/2017
11322	Delete	Platform	Platform, Chart No. 1: L10	N 28 56' 18.000"	W 095 18' 04.680"	28.93833	-95.3013	LNM 14/17, 8th Dist	99	11322_4	4/6/2017
11322	Add	Submerged platform	Subm platform      Chart No. 1 Kl	N 28 56' 18.000"	W 095 18' 04.680"	28.93833	-95.3013	LNM 14/17, 8th Dist	99	11322_4	4/6/2017
11322	Add	Breakwater PT 1 OF 4	Chart No. 1: F4.1	N 29 10' 58.500"	W 095 00' 55.600"	29.18292	-95.01544	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Add	Breakwater PT 2 OF 4	Chart No. 1: F4.1	N 29 11' 06.400"	W 095 00' 45.600"	29.18511	-95.01266	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Add	Breakwater PT 3 OF 4	Chart No. 1: F4.1	N 29 11' 09.000"	W 095 00' 33.800"	29.18583	-95.00939	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Add	Breakwater PT 4 OF 4	Chart No. 1: F4.1	N 29 11' 06.600"	W 095 00' 26.800"	29.18517	-95.00745	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Add	Breakwater PT 1 OF 2	Chart No. 1: F4.1	N 29 11' 06.000"	W 095 00' 21.400"	29.185	-95.00594	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Add	Breakwater PT 2 OF 2	Chart No. 1: F4.1	N 29 11' 06.100"	W 095 00' 25.800"	29.18503	-95.00716	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Low Water Area PT 1 OF 11	low water area, green tint	N 29 10' 53.850"	W 095 01' 16.030"	29.18163	-95.02112	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Low Water Area PT 2 OF 11	low water area, green tint	N 29 10' 47.240"	W 095 01' 26.190"	29.17979	-95.02394	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Low Water Area PT 3 OF 11	low water area, green tint	N 29 10' 42.880"	W 095 01' 32.320"	29.17858	-95.02564	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Low Water Area PT 4 OF 11	low water area, green tint	N 29 10' 37.500"	W 095 01' 31.860"	29.17708	-95.02552	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Low Water Area PT 5 OF 11	low water area, green tint	N 29 10' 36.880"	W 095 01' 32.380"	29.17691	-95.02566	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Low Water Area PT 6 OF 11	low water area, green tint	N 29 10' 37.150"	W 095 01' 33.190"	29.17699	-95.02589	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Low Water Area PT 7 OF 11	low water area, green tint	N 29 10' 41.590"	W 095 01' 33.820"	29.17822	-95.02606	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Low Water Area PT 8 OF 11	low water area, green tint	N 29 10' 44.200"	W 095 01' 32.510"	29.17894	-95.0257	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Low Water Area PT 9 OF 11	low water area, green tint	N 29 10' 46.430"	W 095 01' 30.230"	29.17956	-95.02506	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Low Water Area PT 10 OF 11	low water area, green tint	N 29 10' 52.040"	W 095 01' 22.210"	29.18112	-95.02283	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Low Water Area PT 11 OF 11	low water area, green tint	N 29 10' 54.970"	W 095 01' 17.100"	29.18194	-95.02142	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Sounding in Feet	2	N 29 10' 41.220"	W 095 01' 23.240"	29.17812	-95.02312	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Apparent shoreline PT 1 OF 6	Chart No 1: C09	N 29 11' 04.710"	W 095 00' 47.990"	29.18464	-95.01333	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Apparent shoreline PT 2 OF 6	Chart No 1: C09	N 29 11' 06.400"	W 095 00' 47.420"	29.18511	-95.01318	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Apparent shoreline PT 3 OF 6	Chart No 1: C09	N 29 11' 08.410"	W 095 00' 45.180"	29.18567	-95.01255	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
11322	Delete	Apparent shoreline PT 4 OF 6	Chart No 1: C09	N 29 11' 09.630"	W 095 00' 33.310"	29.18601	-95.00925	LNM 48/16, 8th Dist	96	11322_1	12/1/2016
