Chart: 11323, Current Edition: 65, Print Date: Nov. /2013, Approaches to Galveston Bay
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11323	Delete	Platform (Union-198-8)	Chart No. 1: L10	N 29 16' 25.627"	W 094 02' 05.449"	29.27378	-94.03484	LNM 26/17, 8th Dist	126	11323_1	Not Yet
11323	Delete	Platform (Union-198-9)	Chart No. 1: L10	N 29 16' 25.551"	W 094 02' 05.541"	29.27376	-94.03487	LNM 26/17, 8th Dist	126	11323_1	Not Yet
11323	Delete	Platform (Union-198-14)	Chart No. 1: L10	N 29 17' 33.280"	W 094 00' 41.680"	29.29258	-94.01158	LNM 26/17, 8th Dist	126	11323_1	Not Yet
11323	Delete	Platform (Union-185-5)	Chart No. 1: L10	N 29 06' 34.400"	W 094 03' 17.100"	29.10956	-94.05475	LNM 24/17, 8th Dist	126	11323_1	6/22/2017
11323	Delete	Platform (Texaco-195-4)	Chart No. 1: L10	N 29 18' 59.000"	W 094 12' 05.000"	29.31639	-94.20139	LNM 21/17, 8th Dist	126	11323_1	6/8/2017
11323	Delete	Platform (Texaco-195-8)	Chart No. 1: L10	N 29 17' 37.000"	W 094 14' 42.000"	29.29361	-94.245	LNM 21/17, 8th Dist	126	11323_1	6/8/2017
11323	Delete	Platform	Chart No. 1: L10	N 29 14' 32.000"	W 094 38' 35.000"	29.24222	-94.64306	WNM 03/17, NGA	126	11323_1	2/23/2017
11323	Delete	Platform	Chart No. 1: L10	N 29 12' 31.000"	W 094 33' 24.000"	29.20861	-94.55666	WNM 03/17, NGA	126	11323_1	2/23/2017
11323	Delete	Platform:  (Apache-115-45)	Chart No. 1: L10	N 29 09' 50.814"	W 094 17' 03.439"	29.16412	-94.28429	LNM 42/16, 8th Dist	126	11323_1	10/27/2016
11323	Delete	Platform:  (Fieldwood-123-4)	Chart No. 1: L10	N 29 00' 49.907"	W 094 45' 05.551"	29.01386	-94.75154	LNM 40/16, 8th Dist	126	11323_1	10/13/2016
11323	Add	Platform:  (LLOX-100-10)	Chart No. 1: L10	N 29 09' 06.701"	W 094 07' 09.274"	29.15186	-94.11924	LNM 40/16, 8th Dist	126	11323_1	10/13/2016
11323	Delete	Platform:  (Apache-115-55)	Chart No. 1: L10	N 29 09' 06.697"	W 094 07' 09.275"	29.15186	-94.11924	LNM 40/16, 8th Dist	126	11323_1	10/13/2016
11323	Add	Dangerous Wreck	PA      Chart No. 1: K28	N 29 19' 48.500"	W 094 42' 48.500"	29.33014	-94.71347	LNM 16/16, 8th Dist	126	11323_1	4/28/2016
11323	Delete	Platform:(Energy Partners-103-501)	Chart No. 1: L10	N 29 13' 18.288"	W 094 27' 13.176"	29.22175	-94.45366	LNM 16/16, 8th Dist	126	11323_1	4/28/2016
11323	Delete	Platform (Apache-115-47)	Chart No. 1: L10	N 29 26' 56.340"	W 094 09' 28.300"	29.44898	-94.15786	LNM 04/16, 8th Dist	126	11323_1	2/4/2016
11323	Add	Submerged Obstruction	PA	N 29 10' 41.100"	W 094 41' 57.000"	29.17808	-94.69917	LNM 52/15, 8th Dist	126	11323_1	1/7/2016
11323	Delete	Platform (Fieldwood-111-29)	Chart No. 1: L10	N 29 29' 34.870"	W 094 01' 09.090"	29.49302	-94.01919	LNM 51/15, 8th Dist	126	11323_1	1/7/2016
11323	Change	Galveston Bay Entrance Lighted Buoy GB	RW "GB" Mo (A) AIS	N 29 14' 44.348"	W 094 32' 41.467"	29.24565	-94.54485	LNM 47/15, 8th Dist	126	11323_1	12/10/2015
11323	Delete	Platform (Walter-101-13)	Chart No. 1: L10	N 29 02' 45.200"	W 094 39' 57.200"	29.04589	-94.66589	LNM 44/15, 8th Dist	126	11323_1	11/12/2015
11323	Relocate	Texas City Cut A Inner Range Front Light	{Q G 25ft, Fl R 4s 17ft 4M	N 29 22' 24.657"	W 094 50' 27.193"	29.37352	-94.84089	LNM 38/15, 8th Dist	126	11323_1	10/1/2015
11323	Relocate	Texas City Cut A Inner Range Front Light Passing Light	{Q G 25ft, Fl R 4s 17ft 4M	N 29 22' 24.657"	W 094 50' 27.193"	29.37352	-94.84089	LNM 38/15, 8th Dist	126	11323_1	10/1/2015
11323	Delete	Platform (Fieldwood-111-30)	Chart No. 1: L10	N 29 26' 56.472"	W 094 07' 07.103"	29.44902	-94.11864	LNM 30/15, 8th Dist	126	11323_1	8/6/2015
11323	Change	Galveston Bay Entrance Channel Lighted Buoy 10	R "10" Q R	N 29 20' 50.696"	W 094 42' 54.145"	29.34742	-94.71504	LNM 27/15, 8th Dist	126	11323_1	7/16/2015
11323	Change	tabulation - GALVESTON BAY ENTRANCE - CHANNEL DEPTHS 	tabulation - GALVESTON BAY ENTRANCE - CHANNEL DEPTHS 	N 29 30' 05.000"	W 094 39' 25.000"	29.50139	-94.65694	LNM 25/15, 8th Dist	126	11323_1	6/25/2015
11323	Add	Obstruction in Feet	34 Obstn       Chart No. 1: K41	N 29 21' 09.040"	W 094 46' 35.120"	29.35251	-94.77642	LNM 19/15, 8th Dist	126	11323_1	5/7/2015
11323	Add	Obstruction in Feet	47 Obstn       Chart No. 1: K41	N 29 20' 27.730"	W 094 45' 27.180"	29.34104	-94.75755	LNM 19/15, 8th Dist	126	11323_1	5/7/2015
