Chart: 11332, Current Edition: 33, Print Date: Jan. /2013, Sabine Bank
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11332	Delete	Platform (Union-198-8)	Chart No. 1: L10	N 29 16' 25.627"	W 094 02' 05.449"	29.27378	-94.03484	LNM 26/17, 8th Dist	125	11332_1	Not Yet
11332	Delete	Platform (Union-198-9)	Chart No. 1: L10	N 29 16' 25.551"	W 094 02' 05.541"	29.27376	-94.03487	LNM 26/17, 8th Dist	125	11332_1	Not Yet
11332	Delete	Platform (Union-198-14)	Chart No. 1: L10	N 29 17' 33.280"	W 094 00' 41.680"	29.29258	-94.01158	LNM 26/17, 8th Dist	125	11332_1	Not Yet
11332	Delete	Platform (Texaco-195-4)	Chart No. 1: L10	N 29 18' 59.000"	W 094 12' 05.000"	29.31639	-94.20139	LNM 21/17, 8th Dist	125	11332_1	6/8/2017
11332	Delete	Platform (Texaco-195-8)	Chart No. 1: L10	N 29 17' 37.000"	W 094 14' 42.000"	29.29361	-94.245	LNM 21/17, 8th Dist	125	11332_1	6/8/2017
11332	Add	Platform (Chevron-202-1)	Chart No. 1: L10	N 29 34' 27.000"	W 093 36' 34.000"	29.57417	-93.60944	LNM 18/17, 8th Dist	125	11332_1	5/11/2017
11332	Delete	Platform (Chevron-121-28)	Chart No. 1: L10	N 29 40' 33.000"	W 093 44' 08.000"	29.67583	-93.73556	LNM 15/17, 8th Dist	125	11332_1	4/20/2017
11332	Delete	Platform (Chevron-121-14)	Chart No. 1: L10	N 29 41' 01.000"	W 093 43' 07.000"	29.68361	-93.71861	LNM 13/17, 8th Dist	125	11332_1	4/6/2017
11332	Delete	Platform (Chevron-121-24)	Chart No. 1: L10	N 29 41' 12.000"	W 093 43' 49.000"	29.68667	-93.73028	LNM 13/17, 8th Dist	125	11332_1	4/6/2017
11332	Delete	Platform (Chevron-121-25)	Chart No. 1: L10	N 29 38' 52.000"	W 093 43' 20.000"	29.64778	-93.72222	LNM 13/17, 8th Dist	125	11332_1	4/6/2017
11332	Delete	Platform (Chevron-121-26)	Chart No. 1: L10	N 29 40' 28.000"	W 093 43' 27.000"	29.67444	-93.72417	LNM 13/17, 8th Dist	125	11332_1	4/6/2017
11332	Delete	Platform (Chevron-121-37)	Chart No. 1: L10	N 29 40' 46.000"	W 093 43' 10.000"	29.67945	-93.71944	LNM 13/17, 8th Dist	125	11332_1	4/6/2017
11332	Delete	Platform (Chevron-121-38)	Chart No. 1: L10	N 29 40' 28.000"	W 093 44' 45.000"	29.67444	-93.74583	LNM 13/17, 8th Dist	125	11332_1	4/6/2017
11332	Delete	Platform (Chevron-121-40)	Chart No. 1: L10	N 29 41' 01.000"	W 093 43' 26.000"	29.68361	-93.72389	LNM 13/17, 8th Dist	125	11332_1	4/6/2017
11332	Delete	Platform (Chevron-121-12)	Chart No. 1: L10	N 29 40' 31.000"	W 093 43' 49.000"	29.67528	-93.73028	LNM 12/17, 8th Dist	125	11332_1	3/30/2017
