Chart: 11343, Current Edition: 39, Print Date: Dec. /2013, Sabine and Neches Rivers
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11343	Add	Single Line Pier PT 1 OF 2	Chart No. 1 F14	N 30 02' 08.130"	W 094 02' 10.230"	30.03559	-94.03618	LNM 45/16, 8th Dist	77	11343_1	11/3/2016
11343	Add	Single Line Pier PT 2 OF 2	Chart No. 1 F14	N 30 02' 08.520"	W 094 02' 09.250"	30.0357	-94.0359	LNM 45/16, 8th Dist	77	11343_1	11/3/2016
11343	Add	Single Line Pier PT 1 OF 2	Chart No. 1 F14	N 30 02' 08.980"	W 094 02' 08.110"	30.03583	-94.03558	LNM 45/16, 8th Dist	77	11343_1	11/3/2016
11343	Add	Single Line Pier PT 2 OF 2	Chart No. 1 F14	N 30 02' 09.370"	W 094 02' 07.120"	30.03594	-94.03531	LNM 45/16, 8th Dist	77	11343_1	11/3/2016
11343	Add	Square Pier Structure PT 1 OF 4	Chart No. 1: F14	N 30 02' 08.630"	W 094 02' 09.300"	30.03573	-94.03592	LNM 45/16, 8th Dist	77	11343_1	11/3/2016
11343	Add	Square Pier Structure PT 2 OF 4	Chart No. 1: F14	N 30 02' 09.090"	W 094 02' 08.160"	30.03586	-94.0356	LNM 45/16, 8th Dist	77	11343_1	11/3/2016
11343	Add	Square Pier Structure PT 3 OF 4	Chart No. 1: F14	N 30 02' 08.370"	W 094 02' 07.780"	30.03566	-94.03549	LNM 45/16, 8th Dist	77	11343_1	11/3/2016
11343	Add	Square Pier Structure PT 4 OF 4	Chart No. 1: F14	N 30 02' 07.910"	W 094 02' 08.920"	30.03553	-94.03581	LNM 45/16, 8th Dist	77	11343_1	11/3/2016
11343	Add	Single Line Pier PT 1 OF 2	Chart No. 1 F14	N 30 02' 05.810"	W 094 02' 15.260"	30.03495	-94.03757	LNM 45/16, 8th Dist	77	11343_1	11/3/2016
11343	Add	Single Line Pier PT 2 OF 2	Chart No. 1 F14	N 30 02' 08.270"	W 094 02' 09.110"	30.03563	-94.03587	LNM 45/16, 8th Dist	77	11343_1	11/3/2016
11343	Change	shoreline PT 1 OF 19	Chart No 1: C09	N 30 02' 15.800"	W 094 02' 08.560"	30.03772	-94.03571	LNM 45/16, 8th Dist	77	11343_1	11/3/2016
11343	Change	shoreline PT 2 OF 19	Chart No 1: C09	N 30 02' 14.090"	W 094 02' 09.340"	30.03725	-94.03593	LNM 45/16, 8th Dist	77	11343_1	11/3/2016
11343	Change	shoreline PT 3 OF 19	Chart No 1: C09	N 30 02' 12.470"	W 094 02' 13.380"	30.0368	-94.03705	LNM 45/16, 8th Dist	77	11343_1	11/3/2016
