Chart: 11345, Current Edition: 35, Print Date: Apr. /2012, Intracoastal Waterway New Orleans to Calcasieu River West Section
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11345	Add	Dangerous Wreck 	Mast PA       Chart No. 1: K25	N 29 37' 21.500"	W 091 47' 35.700"	29.62264	-91.79325	LNM 22/17, 8th Dist	47	11345_1	6/8/2017
11345	Relocate	Mermentau River Crossing Light 7	Fl G 2.5s 17ft 3M "7"	N 29 58' 16.645"	W 092 48' 10.590"	29.97129	-92.80294	LNM 22/17, 8th Dist	47	11345_1	6/8/2017
11345	Relocate	Mermentau River Crossing Light 2	Fl R 2.5s 17ft 3M "2"	N 29 58' 23.457"	W 092 47' 14.524"	29.97318	-92.78737	LNM 13/17, 8th Dist	47	11345_1	4/6/2017
11345	Relocate	Southwest Pass - Vermilion Bay Channel Light 10	Q R 17ft 3M "10"	N 29 34' 56.010"	W 092 02' 17.249"	29.58223	-92.03812	LNM 51/16, 8th Dist	47	11345_1	1/12/2017
11345	Relocate	Southwest Pass - Vermilion Bay Channel Light 16	Fl R 6s 17ft 4M "16" Ra Ref	N 29 35' 26.038"	W 092 01' 04.973"	29.59057	-92.01805	LNM 51/16, 8th Dist	47	11345_1	1/12/2017
11345	Add	Submerged Obstruction 	Obstn PA	N 29 44' 08.800"	W 093 20' 24.100"	29.73578	-93.34003	LNM 43/16, 8th Dist	47	11345_1	11/3/2016
11345	Add	Submerged Obstruction	Obstn PA	N 29 44' 11.000"	W 093 20' 21.000"	29.73639	-93.33916	LNM 43/16, 8th Dist	47	11345_1	11/3/2016
11345	Add	Dangerous Wreck 	PA     Chart No. 1: K28	N 29 42' 34.000"	W 093 04' 54.000"	29.70944	-93.08167	LNM 38/16, 8th Dist	47	11345_1	9/29/2016
11345	Add	Submerged Obstruction 	Obstn PA      Chart No. 1: K40	N 29 37' 40.400"	W 092 48' 24.700"	29.62789	-92.80686	LNM 33/16, 8th Dist	47	11345_1	8/25/2016
11345	Add	Submerged Obstruction 	Obstn PA     Chart No. 1: K40	N 29 30' 00.000"	W 092 48' 00.000"	29.5	-92.8	LNM 33/16, 8th Dist	47	11345_1	8/25/2016
11345	Add	Pipeline Area  PT 2 OF 4	Chart No. 1: L40.2	N 29 49' 28.200"	W 091 49' 16.510"	29.8245	-91.82125	LNM 44/15, 8th Dist	47	11345_1	8/25/2016
11345	Add	Pipeline Area  PT 4 OF 4	Chart No. 1: L40.2	N 29 49' 24.990"	W 091 49' 15.140"	29.82361	-91.82087	LNM 44/15, 8th Dist	47	11345_1	8/25/2016
11345	Change	Depth Legend - FRESHWATER BAYOU to:	10 FT JUN 2015	N 29 45' 46.400"	W 092 11' 27.000"	29.76289	-92.19083	LNM 42/15, 8th Dist	47	11345_1	10/22/2015
11345	Change	Depth Legend - FRESHWATER BAYOU to:	7 FT JUN 2015	N 29 30' 20.900"	W 092 18' 49.300"	29.50581	-92.3137	LNM 42/15, 8th Dist	47	11345_1	10/22/2015
11345	Change	Depth Legend to:	6 FT APR 2015	N 29 43' 59.720"	W 092 06' 22.780"	29.73326	-92.10633	LNM 37/15, 8th Dist	47	11345_1	9/24/2015
11345	Change	Depth Legend - Four Mile Cutoff to:	8 FT APR 2015	N 29 45' 46.950"	W 092 07' 38.630"	29.76304	-92.1274	LNM 37/15, 8th Dist	47	11345_1	9/24/2015
11345	Change	Depth Note - VERMILION RIVER to:	The controlling depths were 9 feet on centerline from theIntracoastal Waterway to the Perry Bridge; thence 6 feet on centerline to the Broussard Bridge; thence 2 feet on centerline to the Ambassador Caffery Bridge; thence shoal to bare to the Pinhook Bridge. Use of local knowledge is recommended. Apr 2015	N 29 49' 23.500"	W 092 12' 27.580"	29.82319	-92.20766	LNM 37/15, 8th Dist	47	11345_1	9/24/2015
11345	Delete	Dangerous Wreck	PA      Chart No. 1: K28	N 29 44' 23.410"	W 093 20' 12.050"	29.73984	-93.33668	LNM 36/15, 8th Dist	47	11345_1	9/10/2015
11345	Add	Tebo Point Danger Light	Fl 2.5s 9ft Priv 	N 29 51' 14.830"	W 092 48' 38.090"	29.85412	-92.81058	LNM 34/15, 8th Dist	47	11345_1	9/10/2015
11345	Add	Dangerous Wreck	PA      Chart No. 1: K28	N 29 27' 15.600"	W 091 48' 09.600"	29.45433	-91.80267	LNM 25/15, 8th Dist	47	11345_1	7/30/2015
11345	Add	Visible Wreck	PA       Chart No. 1: K24	N 29 43' 14.400"	W 092 04' 27.600"	29.72067	-92.07433	LNM 24/15, 8th Dist	47	11345_1	6/25/2015
11345	Add	Submerged Obstruction	Obstn PA (Exposed Pipeline)       Chart No. 1:K40 	N 29 30' 44.000"	W 091 44' 13.000"	29.51222	-91.73695	LNM 24/15, 8th Dist	47	11345_1	6/25/2015
11345	Change	Depth Legend - Freshwater Bayou Channel to:	8 FT SEP 2014	N 29 30' 20.940"	W 092 18' 49.280"	29.50582	-92.31369	LNM 19/15, 8th Dist	47	11345_1	5/14/2015
11345	Add	Channel Limits PT 4 OF 4	Chart No. 1: I20	N 29 31' 57.580"	W 092 18' 30.280"	29.53266	-92.30841	LNM 19/15, 8th Dist	47	11345_1	5/14/2015
11345	Add	Channel Limits PT 3 OF 4	Chart No. 1: I20	N 29 28' 31.270"	W 092 19' 09.350"	29.47535	-92.31927	LNM 19/15, 8th Dist	47	11345_1	5/14/2015
11345	Add	Channel Limits PT 2 OF 4	Chart No. 1: I20	N 29 31' 57.770"	W 092 18' 31.650"	29.53271	-92.30879	LNM 19/15, 8th Dist	47	11345_1	5/14/2015
11345	Add	Channel Limits PT 1 OF 4	Chart No. 1: I20	N 29 28' 31.450"	W 092 19' 10.770"	29.4754	-92.31966	LNM 19/15, 8th Dist	47	11345_1	5/14/2015
11345	Delete	Channel Limits PT 4 OF 4	Chart No. 1: I20	N 29 31' 59.890"	W 092 18' 27.370"	29.5333	-92.3076	LNM 19/15, 8th Dist	47	11345_1	5/14/2015
11345	Delete	Channel Limits PT 2 OF 4	Chart No. 1: I20	N 29 31' 59.910"	W 092 18' 31.120"	29.53331	-92.30865	LNM 19/15, 8th Dist	47	11345_1	5/14/2015
11345	Delete	Channel Limits PT 3 OF 4	Chart No. 1: I20	N 29 28' 20.000"	W 092 19' 10.600"	29.47222	-92.31961	LNM 19/15, 8th Dist	47	11345_1	5/14/2015
11345	Delete	Channel Limits PT 1 OF 4	Chart No. 1: I20	N 29 28' 20.700"	W 092 19' 13.100"	29.47242	-92.3203	LNM 19/15, 8th Dist	47	11345_1	5/14/2015
11345	Add	Submerged Obstruction	Obstn PA	N 29 36' 14.700"	W 092 43' 52.200"	29.60408	-92.73116	LNM 14/15, 8th Dist	47	11345_1	4/16/2015
11345	Add	Charenton Canal Buoy 26	R N "26" Priv	N 29 43' 58.000"	W 091 37' 33.000"	29.73278	-91.62583	LNM 04/15, 8th Dist	47	11345_1	3/26/2015
11345	Change	MERMENTAU RIVER Depth Note to:	 The controlling depth from the Swing Bridge at GrandChenier (29°46'15"N, 93°00'48"W) to Grand Lake varies due to shifting centerline.  Depths range from 1 foot to 15 feet, with shoaling on the outer edges of surveys.Mariners are advised to consult the U.S. Corps of Engineers for an updated centerline and best transit route.    The controlling depth through Grand Lake was 3 feet to the Gulf Intracoastal Waterway; thence 9½ feet through Lake Arthur to the junction of Bayous Nezpique and Des Cannes.   Feb 1997 - Oct 2014	N 29 52' 40.000"	W 092 56' 11.000"	29.87778	-92.93639	LNM 06/15, 8th Dist	47	11345_1	2/12/2015
11345	Delete	Charenton Canal Entrance Channel Daybeacon 50	R "50" Priv	N 29 45' 08.000"	W 091 36' 45.000"	29.75222	-91.6125	LNM 04/15, 8th Dist	47	11345_1	2/5/2015
11345	Add	Charenton Canal Buoy 28	R N "28" Priv	N 29 44' 10.000"	W 091 37' 27.000"	29.73611	-91.62417	LNM 04/15, 8th Dist	47	11345_1	2/5/2015
11345	Add	Charenton Canal Buoy 30	R N "30" Priv	N 29 44' 22.000"	W 091 37' 20.000"	29.73944	-91.62222	LNM 04/15, 8th Dist	47	11345_1	2/5/2015
11345	Add	Charenton Canal Buoy 32	R N "32" Priv	N 29 44' 35.000"	W 091 37' 13.000"	29.74306	-91.62028	LNM 04/15, 8th Dist	47	11345_1	2/5/2015
11345	Add	Charenton Canal Buoy 36	R N "36" Priv	N 29 44' 59.000"	W 091 37' 00.000"	29.74972	-91.61667	LNM 04/15, 8th Dist	47	11345_1	2/5/2015
11345	Add	Charenton Canal Buoy 38	R N "38" Priv	N 29 45' 04.000"	W 091 36' 55.000"	29.75111	-91.61528	LNM 04/15, 8th Dist	47	11345_1	2/5/2015
11345	Add	Charenton Canal Buoy 40	R N "40" Priv	N 29 45' 07.000"	W 091 36' 48.000"	29.75194	-91.61333	LNM 04/15, 8th Dist	47	11345_1	2/5/2015
11345	Add	Charenton Canal Buoy 34	R N "34" Priv	N 29 44' 47.000"	W 091 37' 07.000"	29.74639	-91.61861	LNM 04/15, 8th Dist	47	11345_1	2/5/2015
11345	Delete	Charenton Canal Access Channel Daybeacon 2	R "2" Priv	N 29 38' 11.000"	W 091 39' 46.000"	29.63639	-91.66278	LNM 04/15, 8th Dist	47	11345_1	2/5/2015
11345	Delete	Charenton Canal Access Channel Daybeacon 6	R "6" Priv	N 29 39' 42.000"	W 091 39' 15.000"	29.66167	-91.65417	LNM 04/15, 8th Dist	47	11345_1	2/5/2015
