Chart: 11347, Current Edition: 40, Print Date: May. /2013, Calcasieu River and Lake
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11347	Delete	Platform (Union Texas-108-3)	Chart No. 1: L10	N 29 39' 29.000"	W 093 23' 26.000"	29.65806	-93.39056	LNM 25/17, 8th Dist	73	11347_1	6/29/2017
11347	Add	Calcasieu Lake Lighted Danger Buoy A	W "A" Fl 2.5s	N 29 50' 45.770"	W 093 19' 25.595"	29.84605	-93.32378	LNM 22/17, 8th Dist	73	11347_1	6/8/2017
11347	Add	Calcasieu Lake Lighted Danger Buoy B	W "B" Fl 4s	N 29 50' 50.500"	W 093 18' 57.500"	29.84736	-93.31597	LNM 22/17, 8th Dist	73	11347_1	6/8/2017
11347	Add	Calcasieu Lake Lighted Danger Buoy C	W "C" Fl 2.5s	N 29 50' 56.117"	W 093 18' 27.348"	29.84892	-93.30759	LNM 22/17, 8th Dist	73	11347_1	6/8/2017
11347	Add	Submerged Obstruction 	Obstn PA	N 29 44' 08.800"	W 093 20' 24.100"	29.73578	-93.34003	LNM 43/16, 8th Dist	73	11347_1	11/3/2016
11347	Add	Submerged Obstruction	Obstn PA	N 29 44' 11.000"	W 093 20' 21.000"	29.73639	-93.33916	LNM 43/16, 8th Dist	73	11347_1	11/3/2016
11347	Delete	ExxonMobil Obstruction Light	Fl 2.5s Priv	N 29 59' 48.900"	W 093 20' 06.500"	29.99692	-93.33514	LNM 42/16, 8th Dist	73	11347_1	10/27/2016
11347	Delete	Platform:  (Apache-105-50)	Chart No. 1: L10	N 29 29' 50.967"	W 093 20' 37.108"	29.49749	-93.34364	LNM 41/16, 8th Dist	73	11347_1	10/27/2016
11347	Add	Submerged Obstruction	Obstn PA     Chart No. 1: K40	N 30 04' 39.900"	W 093 16' 34.600"	30.07775	-93.27628	LNM 36/16, 8th Dist	73	11347_1	9/15/2016
11347	Add	Submerged Obstruction	Obstn PA     Chart No. 1: K40	N 30 04' 39.900"	W 093 16' 34.600"	30.07775	-93.27628	LNM 36/16, 8th Dist	74	11347_2	9/15/2016
11347	Relocate	Calcasieu Channel Light 86	Fl R 4s 17ft 4M "86"	N 30 02' 53.389"	W 093 19' 40.121"	30.04816	-93.32781	LNM 35/16, 8th Dist	73	11347_1	9/8/2016
11347	Relocate	Calcasieu Channel Light 86	Fl R 4s 17ft 4M "86"	N 30 02' 53.389"	W 093 19' 40.121"	30.04816	-93.32781	LNM 35/16, 8th Dist	74	11347_2	9/8/2016
11347	Change	tabulation - Calcasieu Pass and River	tabulation - Calcasieu Pass and River	N 29 55' 30.000"	W 093 22' 30.000"	29.925	-93.375	LNM 25/16, 8th Dist	73	11347_1	6/23/2016
11347	Change	Fixed Bridge Label	FIXED BRIDGE HOR CL 393 FT VERT CL 135 FT	N 30 12' 05.800"	W 093 16' 49.800"	30.20161	-93.2805	LNM 19/16, 8th Dist	75	11347_3	5/5/2016
11347	Delete	Platform:(Energy Xxi-112-500)	Chart No. 1: L10	N 29 40' 25.074"	W 093 23' 59.646"	29.67363	-93.3999	LNM 17/16, 8th Dist	73	11347_1	5/5/2016
11347	Relocate	Calcasieu River Light 102	Fl R 4s 17ft 4M "102"	N 30 07' 26.180"	W 093 19' 50.443"	30.12394	-93.33068	LNM 13/16, 8th Dist	75	11347_3	4/7/2016
11347	Change	Depth Legend - Lake Charles Channel to:	34 FT NOV 2015	N 30 13' 14.000"	W 093 14' 27.000"	30.22056	-93.24084	LNM 11/16, 8th Dist	75	11347_3	3/10/2016
11347	Change	Depth Legend - Rose Bluff Cutoff to:	25 FT NOV 2015	N 30 10' 55.000"	W 093 18' 28.000"	30.18194	-93.30778	LNM 11/16, 8th Dist	75	11347_3	3/10/2016
11347	Change	Depth Legend - Mooring Area, Port of Lake Charles to:	29 FT 2003 - 2015	N 30 13' 05.000"	W 093 15' 03.000"	30.21806	-93.25083	LNM 11/16, 8th Dist	75	11347_3	3/10/2016
11347	Change	Depth Legend - Devils Elbow, Industrial Turning Basin to:	42 FT OCT 2015	N 30 06' 25.000"	W 093 17' 13.000"	30.10695	-93.28694	LNM 11/16, 8th Dist	74	11347_2	3/10/2016
11347	Change	Depth Legend - Calcasieu Landing Turning Basin to:	18 FT OCT 2015	N 30 05' 34.200"	W 093 19' 35.200"	30.09283	-93.32645	LNM 11/16, 8th Dist	73	11347_1	3/10/2016
11347	Change	Depth Legend - Calcasieu Landing Turning Basin to:	18 FT OCT 2015	N 30 05' 34.200"	W 093 19' 35.200"	30.09283	-93.32645	LNM 11/16, 8th Dist	74	11347_2	3/10/2016
11347	Change	Depth Legend - Coon Island Channel to:	40 FT 2015	N 30 13' 25.000"	W 093 16' 40.000"	30.22361	-93.27778	LNM 11/16, 8th Dist	75	11347_3	3/10/2016
11347	Substitute	Sounding in Feet	29	N 30 06' 24.800"	W 093 17' 04.500"	30.10689	-93.28458	LNM 11/16, 8th Dist	74	11347_2	3/10/2016
11347	Change	Depth Legend - Industrial Canal to:	27 FT OCT 2015	N 30 06' 08.100"	W 093 18' 43.500"	30.10225	-93.31208	LNM 11/16, 8th Dist	73	11347_1	3/10/2016
11347	Change	Depth Legend - Industrial Canal to:	27 FT OCT 2015	N 30 06' 08.100"	W 093 18' 43.500"	30.10225	-93.31208	LNM 11/16, 8th Dist	74	11347_2	3/10/2016
11347	Change	Depth Legend - Lake Charles Turning Basin to:	35 FT NOV 2015	N 30 13' 59.000"	W 093 14' 45.000"	30.23306	-93.24583	LNM 11/16, 8th Dist	75	11347_3	3/10/2016
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 30 09' 30.000"	W 093 18' 00.000"	30.15833	-93.3	LNM 11/16, 8th Dist	75	11347_3	3/10/2016
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 29 55' 30.000"	W 093 22' 30.000"	29.925	-93.375	LNM 11/16, 8th Dist	73	11347_1	3/10/2016
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 29 55' 30.000"	W 093 22' 30.000"	29.925	-93.375	LNM 45/15, 8th Dist	73	11347_1	11/12/2015
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 30 09' 30.000"	W 093 18' 00.000"	30.15833	-93.3	LNM 45/15, 8th Dist	75	11347_3	11/12/2015
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 30 09' 30.000"	W 093 18' 00.000"	30.15833	-93.3	LNM 45/15, 8th Dist	75	11347_3	11/5/2015
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 29 55' 30.000"	W 093 22' 30.000"	29.925	-93.375	LNM 45/15, 8th Dist	73	11347_1	11/5/2015
11347	Change	Depth Legend - Mooring Area, Port of Lake Charles to:	33 FT 2003-2015	N 30 13' 05.000"	W 093 15' 03.000"	30.21806	-93.25083	LNM 44/15, 8th Dist	75	11347_3	11/5/2015
11347	Add	Low Water Area	low water area, minimum size dotted circle and green tint	N 30 13' 15.100"	W 093 14' 29.700"	30.22086	-93.24158	LNM 44/15, 8th Dist	75	11347_3	11/5/2015
11347	Change	Depth Legend - Coon Island Turning Basin to:	38 FT JUL 2015	N 30 13' 20.000"	W 093 16' 35.000"	30.22222	-93.27639	LNM 44/15, 8th Dist	75	11347_3	11/5/2015
11347	Change	Depth Legend - Rose Bluff Cutoff to:	24 FT AUG 2015	N 30 10' 55.000"	W 093 18' 28.000"	30.18194	-93.30778	LNM 44/15, 8th Dist	75	11347_3	11/5/2015
11347	Change	Depth Legend - Lake Charles Turning Basin to:	34 FT JUL 2015	N 30 13' 59.000"	W 093 14' 45.000"	30.23306	-93.24583	LNM 44/15, 8th Dist	75	11347_3	11/5/2015
11347	Change	Depth Legend - Clooney Island Channel to:	34 FT JUL 2015	N 30 13' 35.000"	W 093 15' 50.000"	30.22639	-93.26389	LNM 44/15, 8th Dist	75	11347_3	11/5/2015
11347	Relocate	Calcasieu River Buoy 115	G C "115"	N 30 11' 52.381"	W 093 17' 20.490"	30.19788	-93.28902	LNM 42/15, 8th Dist	75	11347_3	10/29/2015
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 29 55' 30.000"	W 093 22' 30.000"	29.925	-93.375	LNM 39/15, 8th Dist	73	11347_1	10/1/2015
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 30 09' 30.000"	W 093 18' 00.000"	30.15833	-93.3	LNM 39/15, 8th Dist	75	11347_3	10/1/2015
11347	Delete	Obstruction	Obstn PA         Chart No. 1: K40	N 29 44' 18.000"	W 093 20' 18.000"	29.73833	-93.33833	LNM 36/15, 8th Dist	73	11347_1	9/3/2015
11347	Change	Depth Legend - CALCASIEU LANDING TURNING BASIN to:	17 FT JUN 2015	N 30 05' 34.200"	W 093 19' 35.200"	30.09283	-93.32645	LNM 36/15, 8th Dist	73	11347_1	9/3/2015
11347	Change	Depth Legend - CALCASIEU LANDING TURNING BASIN to:	17 FT JUN 2015	N 30 05' 34.200"	W 093 19' 35.200"	30.09283	-93.32645	LNM 36/15, 8th Dist	74	11347_2	9/3/2015
11347	Add	Cameron LNG Daybeacon 1	G "1" Priv	N 30 02' 42.000"	W 093 19' 51.000"	30.045	-93.33083	LNM 28/15, 8th Dist	73	11347_1	7/23/2015
11347	Add	Cameron LNG Daybeacon 2	R "2" Priv	N 30 02' 44.000"	W 093 19' 51.000"	30.04556	-93.33083	LNM 28/15, 8th Dist	73	11347_1	7/23/2015
11347	Change	Depth Legend - Devils Elbow - Industrial Turning Basin to:	43 FT APR 2015	N 30 06' 25.000"	W 093 17' 13.000"	30.10695	-93.28694	LNM 29/15, 8th Dist	74	11347_2	7/16/2015
11347	Change	Depth Legend - Lake Charles Turning Basin to:	26 FT APR 2015	N 30 13' 59.900"	W 093 14' 45.000"	30.2333	-93.24583	LNM 29/15, 8th Dist	75	11347_3	7/16/2015
11347	Change	Depth Legend - Lake Charles Channel to:	33 FT APR 2015	N 30 13' 12.700"	W 093 14' 27.600"	30.22019	-93.241	LNM 29/15, 8th Dist	75	11347_3	7/16/2015
11347	Change	Depth Legend - Clooney Island Channel to:	35 FT APR 2015	N 30 13' 35.600"	W 093 15' 49.100"	30.22655	-93.26364	LNM 29/15, 8th Dist	75	11347_3	7/16/2015
11347	Change	Depth Legend - Coon Island Turning Basin to:	39 FT APR 2015	N 30 13' 20.100"	W 093 16' 35.200"	30.22225	-93.27644	LNM 29/15, 8th Dist	75	11347_3	7/16/2015
11347	Change	Depth Legend - Coon Island Channel to:	36 FT APR 2015	N 30 12' 34.700"	W 093 16' 44.800"	30.20964	-93.27911	LNM 29/15, 8th Dist	75	11347_3	7/16/2015
11347	Relocate	Calcasieu Channel Lighted Buoy 16	R "16" Fl R 6s	N 29 33' 34.900"	W 093 15' 35.345"	29.55969	-93.25982	LNM 24/15, 8th Dist	73	11347_1	6/25/2015
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 30 09' 30.000"	W 093 18' 00.000"	30.15833	-93.3	LNM 25/15, 8th Dist	75	11347_3	6/18/2015
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 29 55' 30.000"	W 093 22' 30.000"	29.925	-93.375	LNM 25/15, 8th Dist	73	11347_1	6/18/2015
11347	Change	Depth Legend - INDUSTRIAL CANAL to:	28 FT JAN 2015	N 30 06' 08.100"	W 093 18' 43.500"	30.10225	-93.31208	LNM 17/15, 8th Dist	73	11347_1	4/23/2015
11347	Change	Depth Legend - INDUSTRIAL CANAL to:	28 FT JAN 2015	N 30 06' 08.100"	W 093 18' 43.500"	30.10225	-93.31208	LNM 17/15, 8th Dist	74	11347_2	4/23/2015
11347	Change	Depth Legend - ROSE BLUFF CUTOFF to:	25 FT JAN 2015	N 30 10' 54.300"	W 093 18' 27.000"	30.18175	-93.3075	LNM 17/15, 8th Dist	75	11347_3	4/23/2015
11347	Change	Depth Legend - LAKE CHARLES CHANNEL to:	34 FT JAN 2015	N 30 13' 12.700"	W 093 14' 27.600"	30.22019	-93.241	LNM 17/15, 8th Dist	75	11347_3	4/23/2015
11347	Change	Depth Legend - COON ISLAND TURNING BASIN to:	38 FT JAN 2015	N 30 13' 20.100"	W 093 16' 35.200"	30.22225	-93.27644	LNM 17/15, 8th Dist	75	11347_3	4/23/2015
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 29 55' 30.000"	W 093 22' 30.000"	29.925	-93.375	LNM 16/15, 8th Dist	73	11347_1	4/23/2015
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 30 09' 30.000"	W 093 18' 00.000"	30.15833	-93.3	LNM 16/15, 8th Dist	75	11347_3	4/23/2015
11347	Delete	Platform: (Apache-105-55)	Chart No. 1: L10	N 29 40' 47.043"	W 093 20' 25.958"	29.67973	-93.34055	LNM 02/15, 8th Dist	73	11347_1	1/22/2015
11347	Add	Submerged Obstruction 	PA        Chart No. 1: K40	N 29 27' 26.000"	W 093 12' 07.000"	29.45722	-93.20194	LNM 51/14, 8th Dist	73	11347_1	1/8/2015
11347	Delete	Platform: (Apache-105-60)	Chart No 1: L-10	N 29 40' 55.428"	W 093 18' 47.683"	29.68206	-93.31325	LNM 49/14, 8th Dist	73	11347_1	12/25/2014
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 29 55' 30.000"	W 093 22' 30.000"	29.925	-93.375	LNM 51/14, 8th Dist	73	11347_1	12/25/2014
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 30 09' 30.000"	W 093 18' 00.000"	30.15833	-93.3	LNM 51/14, 8th Dist	75	11347_3	12/25/2014
11347	Change	Depth Legend - CLOONEY ISLAND CHANNEL to:	34 FT SEP 2014	N 30 13' 35.000"	W 093 15' 50.000"	30.22639	-93.26389	LNM 50/14, 8th Dist	75	11347_3	12/11/2014
11347	Change	Depth Legend - LAKE CHARLES CHANNEL to:	32 FT SEP 2014	N 30 13' 14.000"	W 093 14' 27.000"	30.22056	-93.24084	LNM 50/14, 8th Dist	75	11347_3	12/11/2014
11347	Change	Depth Legend - COON ISLAND CHANNEL to:	36 FT SEP 2014	N 30 12' 36.000"	W 093 16' 45.000"	30.21	-93.27917	LNM 50/14, 8th Dist	75	11347_3	12/11/2014
11347	Change	Depth Legend - LAKE CHARLES TURNING BASIN to:	36 FT SEP 2014	N 30 13' 59.000"	W 093 14' 45.000"	30.23306	-93.24583	LNM 50/14, 8th Dist	75	11347_3	12/11/2014
11347	Add	Port of Lake Charles Construction Dock Lights (4)	4 Fl 2.5s Priv	N 30 14' 41.630"	W 093 14' 50.470"	30.2449	-93.24735	LNM 47/14, 8th Dist	75	11347_3	12/11/2014
11347	Add	ExxonMobil Obstruction Light  	Fl 2.5s Priv 	N 29 59' 48.900"	W 093 20' 06.500"	29.99692	-93.33514	LNM 44/14, 8th Dist	73	11347_1	11/13/2014
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 30 09' 30.000"	W 093 18' 00.000"	30.15833	-93.3	LNM 45/14, 8th Dist	75	11347_3	11/6/2014
11347	Change	tabulation - CALCASIEU PASS AND RIVER	tabulation - CALCASIEU PASS AND RIVER	N 29 55' 30.000"	W 093 22' 30.000"	29.925	-93.375	LNM 45/14, 8th Dist	73	11347_1	11/6/2014
11347	Substitute	Sounding in Feet	30 for 27	N 30 06' 24.800"	W 093 17' 04.500"	30.10689	-93.28458	LNM 43/14, 8th Dist	74	11347_2	10/30/2014
11347	Change	Depth Legend - Coon Island Channel to:	37 FT JUL 2014	N 30 12' 36.000"	W 093 16' 45.000"	30.21	-93.27917	LNM 43/14, 8th Dist	75	11347_3	10/30/2014
