Chart: 11348, Current Edition: 23, Print Date: Apr. /2013, Intracoastal Waterway Forked Island to Ellender, including the Mermantau River, Grand Lake and White Lake
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11348	Relocate	Mermentau River Crossing Light 7	Fl G 2.5s 17ft 3M "7"	N 29 58' 16.645"	W 092 48' 10.590"	29.97129	-92.80294	LNM 22/17, 8th Dist	65	11348_1	6/8/2017
11348	Relocate	Mermentau River Crossing Light 7	Fl G 2.5s 17ft 3M "7"	N 29 58' 16.645"	W 092 48' 10.590"	29.97129	-92.80294	LNM 22/17, 8th Dist	66	11348_4	6/8/2017
11348	Relocate	Mermentau River Crossing Light 2	Fl R 2.5s 17ft 3M "2"	N 29 58' 23.457"	W 092 47' 14.524"	29.97318	-92.78737	LNM 13/17, 8th Dist	65	11348_1	4/6/2017
11348	Relocate	Mermentau River Crossing Light 2	Fl R 2.5s 17ft 3M "2"	N 29 58' 23.457"	W 092 47' 14.524"	29.97318	-92.78737	LNM 13/17, 8th Dist	66	11348_4	4/6/2017
11348	Add	Submerged Obstruction	Obstn PA     Chart No. 1: K40	N 30 04' 39.900"	W 093 16' 34.600"	30.07775	-93.27628	LNM 36/16, 8th Dist	68	11348_2	9/15/2016
11348	Relocate	Calcasieu Channel Light 86	Fl R 4s 17ft 4M "86"	N 30 02' 53.389"	W 093 19' 40.121"	30.04816	-93.32781	LNM 35/16, 8th Dist	68	11348_2	9/8/2016
11348	Change	Depth Legend - Devils Elbow, Industrial Turning Basin to:	42 FT OCT 2015	N 30 06' 25.000"	W 093 17' 13.000"	30.10695	-93.28694	LNM 11/16, 8th Dist	68	11348_2	3/10/2016
11348	Change	Depth Legend - Calcasieu Landing Turning Basin to:	18 FT OCT 2015	N 30 05' 34.200"	W 093 19' 35.200"	30.09283	-93.32645	LNM 11/16, 8th Dist	68	11348_2	3/10/2016
11348	Substitute	Sounding in Feet	29	N 30 06' 24.800"	W 093 17' 04.500"	30.10689	-93.28458	LNM 11/16, 8th Dist	68	11348_2	3/10/2016
11348	Change	Depth Legend - Industrial Canal to:	27 FT OCT 2015	N 30 06' 08.100"	W 093 18' 43.500"	30.10225	-93.31208	LNM 11/16, 8th Dist	68	11348_2	3/10/2016
