Chart: 11351, Current Edition: 43, Print Date: Mar. /2012, Point au Fer to Marsh Island
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11351	Add	Visible Pipe 	Pipe PA	N 29 21' 42.000"	W 091 15' 36.100"	29.36167	-91.26003	LNM 25/17, 8th Dist	63	11351_1	6/29/2017
11351	Add	Submarine Pipeline  PT 1 OF 3	Chart No. 1: L40.1	N 29 22' 59.240"	W 091 29' 23.020"	29.38312	-91.48973	LNM 25/17, 8th Dist	63	11351_1	6/15/2017
11351	Add	Submarine Pipeline  PT 2 OF 3	Chart No. 1: L40.1	N 29 23' 28.100"	W 091 30' 19.370"	29.39114	-91.50538	LNM 25/17, 8th Dist	63	11351_1	6/15/2017
11351	Add	Submarine Pipeline  PT 3 OF 3	Chart No. 1: L40.1	N 29 23' 40.680"	W 091 30' 53.760"	29.39463	-91.51493	LNM 25/17, 8th Dist	63	11351_1	6/15/2017
11351	Add	Submarine Pipeline  PT 1 OF 2	Chart No. 1: L40.1	N 29 22' 59.240"	W 091 29' 23.020"	29.38312	-91.48973	LNM 25/17, 8th Dist	63	11351_1	6/15/2017
11351	Add	Submarine Pipeline  PT 2 OF 2	Chart No. 1: L40.1	N 29 25' 11.740"	W 091 28' 21.470"	29.41993	-91.47263	LNM 25/17, 8th Dist	63	11351_1	6/15/2017
11351	Delete	Platform (Union-160-11)	Chart No. 1: L10	N 29 17' 58.000"	W 091 32' 35.000"	29.29944	-91.54305	LNM 23/17, 8th Dist	63	11351_1	6/15/2017
11351	Delete	Platform (Union-160-15)	Chart No. 1: L10	N 29 18' 17.000"	W 091 31' 24.000"	29.30472	-91.52333	LNM 23/17, 8th Dist	63	11351_1	6/15/2017
11351	Delete	Platform (Union-160-16)	Chart No. 1: L10	N 29 18' 49.000"	W 091 32' 20.000"	29.31361	-91.53889	LNM 23/17, 8th Dist	63	11351_1	6/15/2017
11351	Delete	Platform (Union-160-20)	Chart No. 1: L10	N 29 18' 57.000"	W 091 31' 44.000"	29.31583	-91.52889	LNM 23/17, 8th Dist	63	11351_1	6/15/2017
11351	Delete	Platform (Union-160-21)	Chart No. 1: L10	N 29 18' 21.000"	W 091 32' 22.000"	29.30583	-91.53944	LNM 23/17, 8th Dist	63	11351_1	6/15/2017
11351	Delete	Platform (Union-160-22)	Chart No. 1: L10	N 29 17' 50.000"	W 091 31' 56.000"	29.29722	-91.53222	LNM 23/17, 8th Dist	63	11351_1	6/15/2017
11351	Delete	Platform (Union-160-24)	Chart No. 1: L10	N 29 17' 45.000"	W 091 31' 36.000"	29.29583	-91.52666	LNM 23/17, 8th Dist	63	11351_1	6/15/2017
