Chart: 11356, Current Edition: 41, Print Date: Jul. /2014, Isles Dernieres to Point au Fer
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11356	Add	Submerged Obstruction	Obstn PA      Chart No. 1:K40	N 29 05' 45.000"	W 090 52' 05.500"	29.09583	-90.86819	LNM 21/17, 8th Dist	62	11356_1	6/8/2017
11356	Change	Ship Shoal Obstruction Lights	2 Q 17ft 4M (ABAND LT HO)	N 28 54' 52.328"	W 091 04' 16.080"	28.91454	-91.07114	LNM 21/17, 8th Dist	62	11356_1	6/8/2017
11356	Add	Visible Wreck	PA     Chart No.1: K24	N 29 19' 54.000"	W 091 24' 48.000"	29.33167	-91.41333	LNM 19/17, 8th Dist	62	11356_1	5/18/2017
11356	Delete	Platform (Chevron-153-35)	Chart No. 1: L10	N 28 36' 56.000"	W 091 27' 57.000"	28.61555	-91.46584	LNM 14/17, 8th Dist	62	11356_1	4/13/2017
11356	Delete	Platform (W & T Offshore-113-60)	Chart No. 1: L10	N 29 06' 46.404"	W 091 10' 34.017"	29.11289	-91.17612	LNM 08/17, 8th Dist	62	11356_1	3/2/2017
11356	Delete	Platform (W & T Offshore-113-59)	Chart No. 1: L10	N 29 06' 41.299"	W 091 10' 11.556"	29.11147	-91.16988	LNM 08/17, 8th Dist	62	11356_1	3/2/2017
11356	Delete	Platform:  (Chevron-113-10)	Chart No. 1: L10	N 28 51' 14.000"	W 091 06' 34.000"	28.85389	-91.10944	LNM 44/16, 8th Dist	62	11356_1	11/10/2016
11356	Delete	Platform:  (Ankor Energy-110-3)	Chart No. 1: L10	N 29 15' 27.299"	W 091 25' 12.077"	29.25758	-91.42002	LNM 42/16, 8th Dist	62	11356_1	10/27/2016
11356	Add	Platform: (Cox-108-08)	Chart No. 1: L10	N 28 37' 08.639"	W 090 59' 40.625"	28.61907	-90.99462	LNM 30/16, 8th Dist	62	11356_1	8/11/2016
11356	Relocate	Grand Bayou Dularge Obstruction Light WR4	Q R 17ft 3M "WR4"	N 29 12' 55.113"	W 090 56' 57.662"	29.21531	-90.94935	LNM 26/16, 8th Dist	62	11356_1	7/7/2016
11356	Delete	Platform:(Energy Partners-115-500)	Chart No. 1: L10	N 28 54' 06.257"	W 091 11' 14.661"	28.90174	-91.18741	LNM 16/16, 8th Dist	62	11356_1	4/28/2016
11356	Add	Obstruction in Feet	25 Obstn       Chart No. 1: K41	N 28 58' 23.500"	W 091 24' 55.400"	28.97319	-91.41539	LNM 15/16, 8th Dist	62	11356_1	4/7/2016
11356	Add	Platform (fieldwood-103-87)	Chart No. 1: L10	N 28 58' 25.089"	W 091 29' 10.090"	28.97364	-91.48614	LNM 03/16, 8th Dist	62	11356_1	1/28/2016
11356	Add	Platform (fieldwood-103-88)	Chart No. 1: L10	N 29 00' 32.886"	W 091 29' 06.601"	29.00913	-91.48517	LNM 03/16, 8th Dist	62	11356_1	1/28/2016
11356	Add	platform (Fieldwood-103-89)	Chart No. 1: L10	N 28 57' 50.690"	W 091 29' 00.000"	28.96408	-91.48333	LNM 03/16, 8th Dist	62	11356_1	1/28/2016
11356	Add	Platform (Energy xxi-101-12)	Chart No. 1: L10	N 29 15' 17.830"	W 091 26' 46.290"	29.25495	-91.44619	LNM 52/15, 8th Dist	62	11356_1	1/7/2016
11356	Delete	Platform: (Talos-100-4)	Chart No. 1: L10	N 28 52' 12.839"	W 091 02' 33.850"	28.87023	-91.04274	LNM 49/15, 8th Dist	62	11356_1	12/17/2015
11356	Add	Platform (Fieldwood-103-84)	Chart No. 1: L10	N 28 59' 07.601"	W 091 28' 50.315"	28.98545	-91.48064	LNM 47/15, 8th Dist	62	11356_1	12/10/2015
11356	Add	Obstruction in Feet	25 Obstn       Chart No. 1: K41	N 29 01' 48.400"	W 091 29' 52.500"	29.03011	-91.49792	LNM 45/15, 8th Dist	62	11356_1	11/5/2015
11356	Delete	Platform:(Stone Energy-200-43)	Chart No. 1: L10	N 28 48' 41.270"	W 090 51' 20.969"	28.81146	-90.85583	LNM 42/15, 8th Dist	62	11356_1	10/29/2015
11356	Delete	Platform (Stone Energy-107-900)	Chart No. 1: L10	N 29 15' 03.040"	W 091 25' 10.900"	29.25084	-91.41969	LNM 41/15, 8th Dist	62	11356_1	10/22/2015
11356	Delete	Platform: (Stone Energy-500-50)	Chart No. 1: L10	N 28 47' 51.107"	W 090 55' 52.373"	28.79753	-90.93121	LNM 40/15, 8th Dist	62	11356_1	10/15/2015
11356	Add	Obstruction	Obstn PA         	N 29 06' 51.660"	W 091 01' 35.940"	29.11435	-91.02665	LNM 41/15, 8th Dist	62	11356_1	10/8/2015
11356	Delete	Platform (Stone Energy-200-74)	Chart No. 1: L10	N 28 50' 25.637"	W 090 50' 17.365"	28.84045	-90.83816	LNM 39/15, 8th Dist	62	11356_1	10/8/2015
11356	Delete	Platform (Stone Energy-200-63)	Chart No. 1: L10	N 28 49' 34.910"	W 090 50' 27.236"	28.82636	-90.8409	LNM 39/15, 8th Dist	62	11356_1	10/8/2015
11356	Delete	Platform (Stone Energy-200-65)	Chart No. 1: L10	N 28 49' 50.952"	W 090 50' 31.070"	28.83082	-90.84196	LNM 39/15, 8th Dist	62	11356_1	10/8/2015
