Chart: 11358, Current Edition: 58, Print Date: May. /2014, Barataria Bay and approaches
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11358	Add	Submerged Obstruction	Obstn PA     Chart No. 1:K40	N 29 24' 19.000"	W 090 03' 01.800"	29.40528	-90.0505	LNM 26/17, 8th Dist	60	11358_1	Not Yet
11358	Add	Submerged Obstruction (PA)	Obstn PA      Chart No. 1:K40	N 29 12' 18.200"	W 090 02' 43.800"	29.20506	-90.0455	LNM 21/17, 8th Dist	60	11358_1	6/8/2017
11358	Add	CPRA Barataria Basin Scientific Platform Light	Q 16ft Priv	N 29 18' 16.280"	W 089 35' 49.230"	29.30452	-89.59701	LNM 21/17, 8th Dist	60	11358_1	6/8/2017
11358	Add	CPRA Barataria Basin Scientific Platform Light	Q 16ft Priv	N 29 23' 09.220"	W 089 54' 07.250"	29.38589	-89.90202	LNM 21/17, 8th Dist	60	11358_1	6/8/2017
11358	Add	CPRA Barataria Basin Scientific Platform Light	Q 16ft Priv	N 29 13' 52.880"	W 090 02' 54.680"	29.23136	-90.04852	LNM 21/17, 8th Dist	60	11358_1	6/8/2017
11358	Add	Dangerous Wreck	PA     Chart No. 1: K28	N 29 17' 30.000"	W 089 54' 24.000"	29.29167	-89.90667	LNM 18/17, 8th Dist	60	11358_1	5/11/2017
11358	Delete	Platform (Chevron-129-2)	Chart No. 1: L10	N 29 06' 15.000"	W 089 45' 10.000"	29.10417	-89.75278	LNM 15/17, 8th Dist	60	11358_1	4/20/2017
11358	Delete	Platform (Chevron-129-4)	Chart No. 1: L10	N 29 05' 38.000"	W 089 45' 19.000"	29.09389	-89.75528	LNM 15/17, 8th Dist	60	11358_1	4/20/2017
11358	Delete	Platform (Chevron-137-6)	Chart No. 1: L10	N 29 10' 28.000"	W 089 39' 30.000"	29.17444	-89.65833	LNM 15/17, 8th Dist	60	11358_1	4/20/2017
11358	Add	Shoaling Label	Shoaling rep 2017 PA	N 29 13' 40.000"	W 089 36' 42.700"	29.22778	-89.61186	LNM 14/17, 8th Dist	60	11358_1	4/13/2017
11358	Add	Piles	Piles     Chart No. 1: F22	N 29 28' 28.800"	W 090 05' 10.300"	29.47467	-90.0862	LNM 12/17, 8th Dist	60	11358_1	3/30/2017
11358	Delete	Platform (Chevron-104-181)	Chart No. 1: L10	N 29 01' 46.000"	W 090 08' 04.000"	29.02944	-90.13445	LNM 12/17, 8th Dist	60	11358_1	3/30/2017
11358	Delete	Platform:  (Chevron-104-123)	Chart No. 1: L10	N 29 02' 07.000"	W 090 07' 32.000"	29.03528	-90.12556	LNM 11/17, 8th Dist	60	11358_1	3/23/2017
11358	Delete	Platform:  (Chevron-105-20)	Chart No. 1: L10	N 29 07' 43.480"	W 089 34' 10.102"	29.12874	-89.56947	LNM 10/17, 8th Dist	60	11358_1	3/16/2017
11358	Delete	Platform:  (Chevron-105-14)	Chart No. 1: L10	N 29 09' 09.000"	W 089 35' 46.000"	29.1525	-89.59611	LNM 09/17, 8th Dist	60	11358_1	3/9/2017
11358	Add	Platform  (Chevron-104-165)	Chart No. 1: L10	N 29 06' 12.932"	W 090 09' 13.073"	29.10359	-90.15363	LNM 05/17, 8th Dist	60	11358_1	2/16/2017
11358	Add	Platform:  (Chevron-104-235)	Chart No. 1: L10	N 29 05' 57.710"	W 090 06' 32.548"	29.09936	-90.10904	LNM 02/17, 8th Dist	60	11358_1	1/26/2017
11358	Delete	Fifi Island West Danger Daybeacon	W Bns Priv	N 29 15' 54.000"	W 089 57' 46.000"	29.265	-89.96278	LNM 51/16, 8th Dist	60	11358_1	1/12/2017
11358	Add	Fifi Island Danger Breakwater Light	Fl 2.5s 12ft Priv	N 29 15' 59.400"	W 089 57' 43.740"	29.2665	-89.96215	LNM 51/16, 8th Dist	60	11358_1	1/12/2017
11358	Add	Platform:  (Chevron-104-237)	Chart No. 1: L10	N 29 03' 39.121"	W 090 09' 38.099"	29.06087	-90.16058	LNM 49/16, 8th Dist	60	11358_1	12/15/2016
11358	Add	Platform:  (Chevron-104-230)	Chart No. 1: L10	N 29 04' 39.457"	W 090 10' 20.880"	29.07763	-90.17247	LNM 48/16, 8th Dist	60	11358_1	12/8/2016
11358	Add	Platform:  (Chevron-104-225)	Chart No. 1: L10	N 29 05' 58.552"	W 090 09' 08.025"	29.0996	-90.15223	LNM 47/16, 8th Dist	60	11358_1	12/1/2016
11358	Add	Platform:  (Chevron-104-16)	Chart No. 1: L10	N 29 06' 38.621"	W 090 08' 44.455"	29.11073	-90.14568	LNM 45/16, 8th Dist	60	11358_1	11/17/2016
11358	Add	Platform:  (Chevron-104-162)	Chart No. 1: L10	N 29 06' 10.850"	W 090 09' 40.288"	29.10301	-90.16119	LNM 45/16, 8th Dist	60	11358_1	11/17/2016
11358	Add	Submerged Obstruction	Obstn PA	N 29 15' 13.200"	W 089 58' 38.000"	29.25367	-89.97722	LNM 41/16, 8th Dist	60	11358_1	10/27/2016
11358	Delete	Platform:  (GOM Shelf-800-10)	Chart No. 1: L10	N 28 59' 54.000"	W 089 52' 58.000"	28.99833	-89.88277	LNM 40/16, 8th Dist	60	11358_1	10/13/2016
11358	Add	Platform:  (EA14-21653-001(LLOX))	Chart No. 1: L10	N 29 28' 07.000"	W 089 59' 24.000"	29.46861	-89.99	LNM 37/16, 8th Dist	60	11358_1	9/22/2016
11358	Add	Obstruction	Obstn PA         Chart No. 1: K40	N 28 53' 19.740"	W 089 49' 39.960"	28.88882	-89.82777	LNM 37/16, 8th Dist	60	11358_1	9/8/2016
11358	Add	Piles	Piles PA     Chart No. 1: F22	N 29 18' 40.700"	W 089 54' 36.100"	29.31131	-89.91003	LNM 33/16, 8th Dist	60	11358_1	8/25/2016
11358	Add	Submarine Pipeline  PT 1 OF 6	Chart No. 1: L40.1	N 29 06' 02.440"	W 090 11' 27.810"	29.10068	-90.19106	LNM 34/16, 8th Dist	60	11358_1	8/25/2016
11358	Add	Submarine Pipeline  PT 2 OF 6	Chart No. 1: L40.1	N 29 03' 11.870"	W 090 10' 46.080"	29.0533	-90.17947	LNM 34/16, 8th Dist	60	11358_1	8/25/2016
11358	Add	Submarine Pipeline  PT 3 OF 6	Chart No. 1: L40.1	N 29 02' 50.970"	W 090 10' 27.610"	29.04749	-90.17434	LNM 34/16, 8th Dist	60	11358_1	8/25/2016
11358	Add	Submarine Pipeline  PT 4 OF 6	Chart No. 1: L40.1	N 29 02' 44.650"	W 090 10' 04.960"	29.04574	-90.16805	LNM 34/16, 8th Dist	60	11358_1	8/25/2016
11358	Add	Submarine Pipeline  PT 5 OF 6	Chart No. 1: L40.1	N 29 02' 47.700"	W 090 09' 44.930"	29.04658	-90.16248	LNM 34/16, 8th Dist	60	11358_1	8/25/2016
11358	Add	Submarine Pipeline  PT 6 OF 6	Chart No. 1: L40.1	N 29 02' 48.620"	W 090 09' 45.220"	29.04684	-90.16256	LNM 34/16, 8th Dist	60	11358_1	8/25/2016
11358	Add	Submarine Pipeline  PT 1 OF 12	Chart No. 1: L40.1	N 29 06' 13.500"	W 090 09' 04.510"	29.10375	-90.15125	LNM 34/16, 8th Dist	60	11358_1	8/18/2016
11358	Add	Submarine Pipeline  PT 2 OF 12	Chart No. 1: L40.1	N 29 06' 19.570"	W 090 09' 11.120"	29.10544	-90.15309	LNM 34/16, 8th Dist	60	11358_1	8/18/2016
11358	Add	Submarine Pipeline  PT 3 OF 12	Chart No. 1: L40.1	N 29 06' 25.230"	W 090 09' 24.760"	29.10701	-90.15688	LNM 34/16, 8th Dist	60	11358_1	8/18/2016
11358	Add	Submarine Pipeline  PT 4 OF 12	Chart No. 1: L40.1	N 29 06' 29.320"	W 090 09' 45.360"	29.10814	-90.1626	LNM 34/16, 8th Dist	60	11358_1	8/18/2016
11358	Add	Submarine Pipeline  PT 5 OF 12	Chart No. 1: L40.1	N 29 06' 24.160"	W 090 10' 18.590"	29.10671	-90.17183	LNM 34/16, 8th Dist	60	11358_1	8/18/2016
11358	Add	Submarine Pipeline  PT 6 OF 12	Chart No. 1: L40.1	N 29 06' 07.920"	W 090 10' 32.020"	29.1022	-90.17556	LNM 34/16, 8th Dist	60	11358_1	8/18/2016
11358	Add	Submarine Pipeline  PT 7 OF 12	Chart No. 1: L40.1	N 29 05' 57.870"	W 090 10' 37.520"	29.09941	-90.17709	LNM 34/16, 8th Dist	60	11358_1	8/18/2016
11358	Add	Submarine Pipeline  PT 8 OF 12	Chart No. 1: L40.1	N 29 05' 57.280"	W 090 10' 49.290"	29.09925	-90.18036	LNM 34/16, 8th Dist	60	11358_1	8/18/2016
11358	Add	Submarine Pipeline  PT 9 OF 12	Chart No. 1: L40.1	N 29 05' 59.470"	W 090 11' 03.660"	29.09985	-90.18435	LNM 34/16, 8th Dist	60	11358_1	8/18/2016
11358	Add	Submarine Pipeline  PT 10 OF 12	Chart No. 1: L40.1	N 29 06' 04.390"	W 090 11' 15.180"	29.10122	-90.18755	LNM 34/16, 8th Dist	60	11358_1	8/18/2016
11358	Add	Submarine Pipeline  PT 11 OF 12	Chart No. 1: L40.1	N 29 06' 04.780"	W 090 11' 15.990"	29.10133	-90.18777	LNM 34/16, 8th Dist	60	11358_1	8/18/2016
11358	Add	Submarine Pipeline  PT 12 OF 12	Chart No. 1: L40.1	N 29 06' 06.510"	W 090 11' 19.440"	29.10181	-90.18874	LNM 34/16, 8th Dist	60	11358_1	8/18/2016
11358	Add	Platform (EA30-SL21345-003 LLOX)	Chart No. 1: L10	N 29 28' 07.000"	W 089 59' 24.000"	29.46861	-89.99	LNM 27/16, 8th Dist	60	11358_1	7/14/2016
11358	Relocate	Barataria Waterway Light 6	Fl R 2.5s 17ft 3M "6" Ra Ref	N 29 17' 26.942"	W 089 58' 21.928"	29.29082	-89.97276	LNM 25/16, 8th Dist	60	11358_1	7/7/2016
11358	Add	Jules Melancon Aquaculture Farm Special Lighted Buoy A	Y Fl Y 2.5s "A" Priv	N 29 18' 07.896"	W 089 56' 14.851"	29.30219	-89.93746	LNM 13/16, 8th Dist	60	11358_1	4/7/2016
11358	Add	Jules Melancon Aquaculture Farm Special Lighted Buoy B	Y Fl Y2.5s "B" Priv	N 29 18' 07.750"	W 089 56' 06.599"	29.30215	-89.93517	LNM 13/16, 8th Dist	60	11358_1	4/7/2016
11358	Add	Jules Melancon Aquaculture Farm Special Lighted Buoy C	Y Fl Y2.5s "C" Priv	N 29 18' 00.240"	W 089 56' 06.613"	29.30007	-89.93517	LNM 13/16, 8th Dist	60	11358_1	4/7/2016
11358	Add	Jules Melancon Aquaculture Farm Special Lighted Buoy D	Y Fl Y2.5s "D" Priv	N 29 18' 00.359"	W 089 56' 17.782"	29.3001	-89.93827	LNM 13/16, 8th Dist	60	11358_1	4/7/2016
