Chart: 11363, Current Edition: 45, Print Date: Jan. /2017, Chandeleur and Breton Sounds
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11363	Relocate	Baptiste Collette Bayou Light 3	Fl G 6s 17ft 4M "3" Ra Ref	N 29 23' 57.926"	W 089 18' 26.575"	29.39942	-89.30738	LNM 22/17, 8th Dist	55	11363_1	6/8/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light C	Fl 2.5s 17ft 5M "C" Ra Ref	N 29 44' 06.670"	W 089 03' 27.150"	29.73519	-89.05754	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light B	Fl 2.5s 17ft 5M "B" Ra Ref	N 29 48' 50.160"	W 089 01' 36.480"	29.81393	-89.0268	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light A	Fl 2.5s 17ft 5M "A" Ra Ref	N 29 56' 20.580"	W 088 59' 39.610"	29.93905	-88.99434	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 20, magenta circle Chart No. 1: S17.2, AIS label.	Fl R 2.5s 17ft 4M "20" Ra Ref AIS  Chart No. 1: S17.2  	N 30 01' 16.343"	W 088 59' 57.979"	30.02121	-88.99944	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 23	Fl G 4s 17ft 5M "23" Ra Ref AIS  Chart No. 1: S17.2 	N 29 59' 17.570"	W 089 00' 02.708"	29.98821	-89.00076	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 28	Fl R 4s 17ft 5M "28" Ra Ref AIS  Chart No. 1: S17.2,	N 29 57' 19.071"	W 089 00' 11.972"	29.9553	-89.00333	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 31	Fl G 6s 17ft 5M "31" Ra Ref AIS  Chart No. 1: S17.2	N 29 55' 20.331"	W 089 00' 16.692"	29.92231	-89.00464	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 36	Q R 17ft 5M "36" Ra Ref	N 29 53' 20.440"	W 089 00' 26.027"	29.88901	-89.00723	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 37	Fl G 2.5s 17ft 5M "37" Ra Ref	N 29 52' 34.528"	W 089 00' 41.707"	29.87626	-89.01159	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 42	Fl R 2.5s 17ft 5M "42" Ra Ref	N 29 50' 42.809"	W 089 01' 28.092"	29.84522	-89.02447	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 45	Fl G 4s 17ft 5M "45" Ra Ref	N 29 48' 49.795"	W 089 02' 10.154"	29.81383	-89.03616	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 50	Fl R 4s 17ft 5M "50" Ra Ref	N 29 46' 58.068"	W 089 02' 56.482"	29.7828	-89.04903	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 53	Fl G 6s 17ft 5M "53" Ra Ref	N 29 45' 05.049"	W 089 03' 38.490"	29.7514	-89.06069	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Buoy 56	R N "56"	N 29 44' 09.507"	W 089 04' 02.670"	29.73597	-89.06741	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 58	Fl R 6s 17ft 5M "58" Ra Ref	N 29 43' 13.313"	W 089 04' 24.760"	29.72037	-89.07355	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Buoy 59	G C "59"	N 29 42' 40.991"	W 089 04' 35.049"	29.71139	-89.0764	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 61	Fl G 2.5s 17ft 5M "61" Ra Ref	N 29 41' 20.283"	W 089 05' 06.715"	29.68897	-89.0852	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Buoy 63	G C "63"	N 29 40' 24.090"	W 089 05' 28.754"	29.67336	-89.09132	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 66	Q R 17ft 5M "66" Ra Ref AIS   Chart No. 1: S17.2	N 29 39' 33.567"	W 089 05' 50.959"	29.65932	-89.09749	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
11363	Delete	Breton/Chandeleur ICW Alternate Route Light 67	Fl G 4s 17ft 5M "67" Ra Ref AIS  Chart No. 1: S17.2	N 29 38' 56.604"	W 089 06' 36.514"	29.64906	-89.11015	LNM 20/17, 8th Dist	55	11363_1	6/1/2017
