Chart: 11366, Current Edition: 16, Print Date: Jun. /2015, Approaches to Mississippi River
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11366	Delete	TEXACO-SP-54-A RACON	RACON (-..-)     Chart No. 1: S3.1	N 28 51' 58.000"	W 089 15' 39.000"	28.86611	-89.26083	LNM 26/17, 8th Dist	2886	11366_1	Not Yet
11366	Delete	Platform (Union Texas-106-3)	Chart No. 1: L10	N 28 28' 30.000"	W 090 14' 09.000"	28.475	-90.23583	LNM 25/17, 8th Dist	2886	11366_1	6/29/2017
11366	Delete	Platform (Energy Resources-160-2)	Chart No. 1: L10	N 29 47' 12.055"	W 088 20' 57.082"	29.78668	-88.34919	LNM 20/17, 8th Dist	2886	11366_1	6/1/2017
11366	Delete	Platform (Chevron-184-6)	Chart No. 1: L10	N 29 23' 30.000"	W 088 38' 44.000"	29.39167	-88.64555	LNM 17/17, 8th Dist	2886	11366_1	5/4/2017
11366	Delete	Platform (Chevron-205-7)	Chart No. 1: L10	N 28 40' 37.000"	W 090 09' 57.000"	28.67694	-90.16583	LNM 17/17, 8th Dist	2886	11366_1	5/4/2017
11366	Delete	Platform (Chevron-216-1)	Chart No. 1: L10	N 29 51' 11.638"	W 088 23' 45.224"	29.85323	-88.3959	LNM 17/17, 8th Dist	2886	11366_1	5/4/2017
11366	Delete	Platform (Chevron-147-5)	Chart No. 1: L10	N 29 56' 24.318"	W 088 22' 36.665"	29.94009	-88.37685	LNM 14/17, 8th Dist	2886	11366_1	4/13/2017
11366	Delete	Platform (Chevron-136-5)	Chart No. 1: L10	N 28 42' 32.000"	W 090 07' 21.000"	28.70889	-90.1225	LNM 13/17, 8th Dist	2886	11366_1	4/6/2017
11366	Delete	Well	Well (cov 19fms)     Chart No. 1: L20	N 29 39' 50.275"	W 088 28' 22.935"	29.66397	-88.47304	LNM 09/17, 8th Dist	2886	11366_1	3/9/2017
11366	Delete	Platform:  (Chevron-136-4)	Chart No. 1: L10	N 28 40' 12.112"	W 090 07' 45.170"	28.67003	-90.12921	LNM 04/17, 8th Dist	2886	11366_1	2/9/2017
11366	Add	Sounding in Fathoms & Feet	7_4	N 29 48' 38.100"	W 088 43' 50.800"	29.81058	-88.73078	Not Yet Published	2886	11366_1	2/2/2017
11366	Add	Obstruction in Fathoms	4 Obstn       Chart No. 1: K41	N 29 38' 22.000"	W 088 53' 29.600"	29.63944	-88.89156	LNM 51/16, 8th Dist	2886	11366_1	12/15/2016
11366	Add	Wreck in Fathoms	4 Wk    Chart No. 1: K26	N 29 38' 31.400"	W 088 53' 54.400"	29.64206	-88.89845	LNM 51/16, 8th Dist	2886	11366_1	12/15/2016
11366	Delete	Dangerous Wreck	PA (5 fms rep)    Chart No. 1: K28	N 29 38' 24.680"	W 088 53' 57.890"	29.64019	-88.89941	LNM 51/16, 8th Dist	2886	11366_1	12/15/2016
11366	Delete	Dangerous Wreck	PA (4_4 fms rep)    Chart No. 1: K28	N 29 38' 20.700"	W 088 53' 23.740"	29.63908	-88.88993	LNM 51/16, 8th Dist	2886	11366_1	12/15/2016
11366	Add	Platform	Chart No. 1: L10	N 28 41' 51.300"	W 089 23' 46.000"	28.69758	-89.39611	LNM 45/16, 8th Dist	2886	11366_1	11/3/2016
11366	Add	Sounding in Fathoms & Feet	2_3	N 29 32' 56.200"	W 089 00' 57.100"	29.54894	-89.01586	LNM 45/16, 8th Dist	2886	11366_1	11/3/2016
11366	Add	Submerged Obstruction 	Obstn PA 	N 29 21' 11.000"	W 089 14' 22.000"	29.35306	-89.23944	LNM 41/16, 8th Dist	2886	11366_1	10/27/2016
11366	Add	Sounding in Fathoms & Feet	7_4	N 29 48' 38.100"	W 088 43' 50.800"	29.81058	-88.73078	LNM 39/16, 8th Dist	2886	11366_1	9/22/2016
11366	Add	Obstruction in Fathoms	4 Obstn       Chart No. 1: K41	N 29 44' 41.300"	W 088 46' 15.400"	29.74481	-88.77094	LNM 37/16, 8th Dist	2886	11366_1	9/8/2016
11366	Add	Obstruction	Obstn PA         Chart No. 1: K40	N 28 53' 19.740"	W 089 49' 39.960"	28.88882	-89.82777	LNM 37/16, 8th Dist	2886	11366_1	9/8/2016
11366	Relocate	Energy XXI-102-10 (Lighted Horn Buoy)	G Q G HORN Priv	N 29 14' 20.408"	W 088 52' 59.480"	29.239	-88.88319	LNM 34/16, 8th Dist	2886	11366_1	9/1/2016
11366	Add	Submarine Pipeline  PT 1 OF 2	Chart No. 1: L40.1	N 28 12' 20.140"	W 088 33' 50.730"	28.2056	-88.56409	LNM 36/16, 8th Dist	2886	11366_1	9/1/2016
