Chart: 11369, Current Edition: 48, Print Date: Jun. /2012, Lakes Pontchartrain and Maurepas
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11369	Add	Dangerous Wreck	PA     Chart No. 1: K28	N 30 12' 12.700"	W 089 49' 59.200"	30.20353	-89.83311	LNM 20/17, 8th Dist	54	11369_1	6/1/2017
11369	Delete	Mississippi River - Gulf Outlet Light 111	Fl G 2.5s 17ft 4M "111" Ra Ref	N 29 54' 10.764"	W 089 47' 03.828"	29.90299	-89.78439	LNM 12/17, 8th Dist	54	11369_1	3/30/2017
11369	Add	PASS MANCHAC LIGHTHOUSE WRECK LIGHT WR8	Q R 17ft 4M "WR8" Ra Ref	N 30 17' 46.329"	W 090 17' 53.090"	30.2962	-90.29808	LNM 02/17, 8th Dist	54	11369_1	1/26/2017
11369	Add	Dotted Fish Haven and Label PT 4 OF 4	Obstn Fish Haven (auth min 6 ft)	N 30 01' 47.190"	W 090 07' 16.120"	30.02978	-90.12115	LNM 40/16, 8th Dist	54	11369_1	9/29/2016
11369	Add	Dotted Fish Haven and Label PT 3 OF 4	Obstn Fish Haven (auth min 6 ft)	N 30 01' 47.650"	W 090 07' 09.280"	30.0299	-90.11925	LNM 40/16, 8th Dist	54	11369_1	9/29/2016
11369	Add	Dotted Fish Haven and Label PT 2 OF 4	Obstn Fish Haven (auth min 6 ft)	N 30 01' 54.700"	W 090 07' 11.130"	30.03186	-90.11976	LNM 40/16, 8th Dist	54	11369_1	9/29/2016
11369	Add	Dotted Fish Haven and Label PT 1 OF 4	Obstn Fish Haven (auth min 6 ft)	N 30 01' 54.230"	W 090 07' 17.980"	30.03173	-90.12166	LNM 40/16, 8th Dist	54	11369_1	9/29/2016
11369	Add	Visible Wreck	PA    Chart No. 1: K24	N 30 25' 02.000"	W 090 07' 28.200"	30.41722	-90.1245	LNM 34/16, 8th Dist	54	11369_1	9/1/2016
11369	Add	Obstruction	Obstn PA 	N 30 17' 47.900"	W 090 17' 50.700"	30.29664	-90.29742	LNM 32/16, 8th Dist	54	11369_1	8/18/2016
11369	Change	Bayou Bonfouca Channel Light 5	Fl G 2.5s 17ft 3M "5"	N 30 14' 24.699"	W 089 52' 04.782"	30.24019	-89.868	LNM 19/16, 8th Dist	54	11369_1	5/19/2016
11369	Change	Bayou Bonfouca Channel Light 10	Q R 17ft 3M "10"	N 30 14' 55.287"	W 089 51' 55.764"	30.24869	-89.86549	LNM 19/16, 8th Dist	54	11369_1	5/19/2016
11369	Add	Chef Menteur Pass Lighted Buoy 6	R "6" Fl R 4s	N 30 06' 02.714"	W 089 48' 59.962"	30.10075	-89.81666	LNM 17/16, 8th Dist	54	11369_1	5/5/2016
11369	Change	Amite River Entrance Light	Fl 4S 25ft 4M	N 30 17' 49.888"	W 090 33' 28.614"	30.29719	-90.55795	LNM 42/15, 8th Dist	54	11369_1	11/5/2015
11369	Change	Amite River Entrance Light	Fl 4s 25ft 4M "1"	N 30 17' 49.888"	W 090 33' 28.614"	30.29719	-90.55795	LNM 42/15, 8th Dist	54	11369_1	10/29/2015
11369	Add	Amite River Buoy 5	G C "5"	N 30 18' 03.392"	W 090 33' 33.086"	30.30094	-90.55919	LNM 42/15, 8th Dist	54	11369_1	10/29/2015
11369	Add	Amite River Buoy 3	G C "3"	N 30 17' 58.024"	W 090 33' 26.979"	30.29945	-90.5575	LNM 42/15, 8th Dist	54	11369_1	10/29/2015
