Chart: 11370, Current Edition: 29, Print Date: Sep. /2013, Mississippi River-New Orleans to Baton Rouge
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11370	Relocate	Upper Baton Rouge Anchorage Lower Daybeacon 230.6	Y Bn Ra Ref (230.6)	N 30 27' 42.922"	W 091 11' 32.455"	30.46192	-91.19235	LNM 26/17, 8th Dist	8	11370_4	Not Yet
11370	Add	Obstruction	Obstn PA     Chart No. 1: K40	N 29 56' 57.900"	W 090 18' 23.300"	29.94942	-90.30647	LNM 22/17, 8th Dist	5	11370_1	6/15/2017
11370	Add	Submerged Obstruction	Obstn PA     Chart No. 1:K40	N 30 06' 38.070"	W 090 59' 25.440"	30.11057	-90.9904	LNM 22/17, 8th Dist	7	11370_3	6/15/2017
11370	Add	Shoaling Label	Shoaling rep 2016 PA	N 30 23' 33.000"	W 091 12' 53.000"	30.3925	-91.21472	WNM 19/17, NGA	7	11370_3	5/25/2017
11370	Add	Submerged Obstruction	Obstn PA	N 30 02' 34.700"	W 090 36' 22.000"	30.04297	-90.60611	WNM 44/16, NGA	5	11370_1	11/10/2016
11370	Add	Submerged Obstruction	Obstn PA	N 29 59' 29.020"	W 090 24' 18.800"	29.99139	-90.40522	WNM 44/16, NGA	5	11370_1	11/10/2016
11370	Relocate	Upper Grand View Reach Anchorage Upper Daybeacon 148.8	Y Bn Ra Ref (148.8)	N 30 01' 20.680"	W 090 42' 44.060"	30.02241	-90.71224	LNM 40/16, 8th Dist	5	11370_1	10/13/2016
11370	Relocate	Huey P Long Bridge Approach Buoy B	RG N "B" AIS	N 29 56' 42.112"	W 090 10' 02.151"	29.94503	-90.16727	LNM 32/16, 8th Dist	5	11370_1	8/18/2016
11370	Relocate	Huey P Long Bridge Approach Buoy A	RG N "A" AIS	N 29 56' 46.075"	W 090 09' 57.629"	29.94613	-90.16601	LNM 32/16, 8th Dist	5	11370_1	8/18/2016
11370	Change	Alhambra Range Rear D Light 	ALHAMBRA RANGE "D" REAR (189.3)     Iso R 6s	N 30 12' 50.026"	W 091 05' 42.532"	30.2139	-91.09515	LNM 03/16, 8th Dist	7	11370_3	2/25/2016
