Chart: 11374, Current Edition: 38, Print Date: May. /2015, Intracoastal Waterway Dauphin Island to Dog Keys Pass
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11374	Change	tabulation - Horn Island Pass Pascagoula Harbor and Bayou Casotte Channel Depths	tabulation - Horn Island Pass Pascagoula Harbor and Bayou Casotte Channel Depths	N 30 24' 17.000"	W 088 33' 44.000"	30.40472	-88.56223	LNM 15/17, 8th Dist	19	11374_2	4/13/2017
11374	Add	Alma Bryant Aquaculture Special Light G	Fl Y 2.5s "G" Priv	N 30 22' 42.970"	W 088 18' 57.120"	30.3786	-88.31586	LNM 07/17, 8th Dist	19	11374_2	3/2/2017
11374	Add	Alma Bryant Aquaculture Special Light H	Fl Y 2.5s "H" Priv	N 30 22' 41.220"	W 088 18' 53.240"	30.37812	-88.31479	LNM 07/17, 8th Dist	19	11374_2	3/2/2017
11374	Add	Alma Bryant Aquaculture Special Light I	Fl Y 2.5s "I" Priv	N 30 22' 39.460"	W 088 18' 49.360"	30.37763	-88.31371	LNM 07/17, 8th Dist	19	11374_2	3/2/2017
11374	Add	Alma Bryant Aquaculture Special Light J	Fl Y 2.5s "J" Priv	N 30 22' 38.240"	W 088 18' 46.560"	30.37729	-88.31293	LNM 07/17, 8th Dist	19	11374_2	3/2/2017
11374	Add	Alma Bryant Aquaculture Special Light K	Fl Y 2.5s "K" Priv	N 30 22' 34.970"	W 088 18' 48.640"	30.37638	-88.31351	LNM 07/17, 8th Dist	19	11374_2	3/2/2017
11374	Add	Alma Bryant Aquaculture Special Light L	Fl Y 2.5s "L" Priv	N 30 22' 31.190"	W 088 18' 50.940"	30.37533	-88.31415	LNM 07/17, 8th Dist	19	11374_2	3/2/2017
11374	Add	Alma Bryant Aquaculture Special Light M	Fl Y 2.5s "M" Priv	N 30 22' 26.900"	W 088 18' 53.550"	30.37414	-88.31487	LNM 07/17, 8th Dist	19	11374_2	3/2/2017
11374	Add	Alma Bryant Aquaculture Special Light N	Fl Y 2.5s "N" Priv	N 30 22' 23.120"	W 088 18' 55.840"	30.37309	-88.31551	LNM 07/17, 8th Dist	19	11374_2	3/2/2017
11374	Add	Alma Bryant Aquaculture Special Light O	Fl Y 2.5s "O" Priv	N 30 22' 19.850"	W 088 18' 57.830"	30.37218	-88.31606	LNM 07/17, 8th Dist	19	11374_2	3/2/2017
