Chart: 11376, Current Edition: 58, Print Date: Nov. /2015, Mobile Bay Mobile Ship Channel-Northern End
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11376	Delete	Platform (Union-213-1)	Chart No. 1: L10	N 30 04' 55.000"	W 087 53' 11.000"	30.08194	-87.88639	LNM 26/17, 8th Dist	50	11376_1	Not Yet
11376	Delete	Platform (Union-213-5)	Chart No. 1: L10	N 30 04' 40.000"	W 087 57' 50.000"	30.07778	-87.96389	LNM 26/17, 8th Dist	50	11376_1	Not Yet
11376	Delete	Platform (Union-213-9)	Chart No. 1: L10	N 30 06' 00.000"	W 087 54' 08.000"	30.1	-87.90222	LNM 26/17, 8th Dist	50	11376_1	Not Yet
11376	Add	Terrys Landing Oyster Farm Special Lights	2 Fl Y 2.5s 7ft Priv 	N 30 15' 18.880"	W 087 48' 00.370"	30.25525	-87.8001	LNM 26/17, 8th Dist	50	11376_1	Not Yet
11376	Add	Submerged Obstruction	Obstn PA	N 30 33' 48.000"	W 087 58' 36.000"	30.56333	-87.97667	LNM 25/17, 8th Dist	50	11376_1	6/29/2017
11376	Change	tabulation - Mobile Bay and River Channel Depths	tabulation - Mobile Bay and River Channel Depths	N 30 38' 08.000"	W 088 12' 46.000"	30.63556	-88.21278	LNM 25/17, 8th Dist	50	11376_1	6/15/2017
11376	Change	Mobile Channel Lighted Buoy 54	R "54" Fl R 4s	N 30 28' 37.352"	W 088 00' 56.393"	30.47704	-88.01566	LNM 23/17, 8th Dist	50	11376_1	6/15/2017
11376	Change	Mobile Channel Lighted Buoy 46	R "46" Q R	N 30 25' 44.489"	W 088 00' 44.895"	30.42903	-88.01247	LNM 23/17, 8th Dist	50	11376_1	6/15/2017
11376	Relocate	Mobile Channel Lighted Buoy 46	R "46" Q R	N 30 25' 44.329"	W 088 00' 44.989"	30.42898	-88.0125	LNM 23/17, 8th Dist	50	11376_1	6/15/2017
11376	Delete	Platform (Exxon-188-12)	Chart No. 1: L10	N 30 08' 56.000"	W 088 08' 44.000"	30.14889	-88.14555	LNM 16/17, 8th Dist	50	11376_1	4/27/2017
11376	Change	Fly Creek Buoy 7	G C "7"	N 30 32' 34.986"	W 087 54' 16.723"	30.54305	-87.90465	LNM 16/17, 8th Dist	50	11376_1	4/27/2017
11376	Change	Fly Creek Buoy 5	G C "5"	N 30 32' 37.270"	W 087 54' 24.603"	30.54369	-87.90684	LNM 16/17, 8th Dist	50	11376_1	4/27/2017
11376	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 16' 00.580"	W 087 58' 24.470"	30.26683	-87.97346	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 15' 59.800"	W 087 58' 26.570"	30.26661	-87.97404	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 16' 47.760"	W 087 58' 03.790"	30.27993	-87.96772	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 16' 50.280"	W 087 58' 04.790"	30.28063	-87.96799	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 16' 49.670"	W 087 59' 06.850"	30.28046	-87.98524	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 16' 51.320"	W 087 59' 05.680"	30.28092	-87.98491	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 17' 14.330"	W 087 57' 21.210"	30.28731	-87.95589	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 17' 15.760"	W 087 57' 22.800"	30.28771	-87.95634	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 17' 19.870"	W 087 57' 14.690"	30.28885	-87.95408	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 17' 21.300"	W 087 57' 16.260"	30.28925	-87.95451	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Point Clear Reef Special Light	Fl Y 2.5s Priv	N 30 27' 54.060"	W 087 57' 43.920"	30.46502	-87.9622	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Point Clear Reef Special Light	Fl Y 2.5s Priv	N 30 27' 59.460"	W 087 57' 44.460"	30.46652	-87.96235	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Point Clear Reef Special Light	Fl Y 2.5s Priv	N 30 27' 54.600"	W 087 57' 38.640"	30.46517	-87.96073	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Point Clear Reef Special Light	Fl Y 2.5s Priv	N 30 28' 00.360"	W 087 57' 38.220"	30.46677	-87.96062	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Point Clear Reef Special Light	Fl Y 2.5s Priv	N 30 28' 01.980"	W 087 57' 41.220"	30.46722	-87.96145	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Add	ADCNR Point Clear Reef Special Light	Fl Y 2.5s Priv	N 30 27' 56.940"	W 087 57' 47.760"	30.46582	-87.96326	LNM 15/17, 8th Dist	50	11376_1	4/20/2017
11376	Change	tabulation - MOBILE BAY AND RIVER CHANNEL DEPTHS	tabulation - MOBILE BAY AND RIVER CHANNEL DEPTHS	N 30 38' 08.000"	W 088 12' 46.000"	30.63556	-88.21278	LNM 13/17, 8th Dist	50	11376_1	3/23/2017
11376	Delete	Blakeley River Light 2	Fl R4s 14ft "2" Priv	N 30 37' 21.000"	W 087 56' 20.000"	30.6225	-87.93889	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Delete	Blakeley River Daybeacon 3	G "3" Priv	N 30 36' 30.000"	W 087 55' 48.000"	30.60833	-87.93	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Delete	Blakeley River Daybeacon 4	R "4" Priv	N 30 36' 31.000"	W 087 55' 48.000"	30.60861	-87.93	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Delete	Blakeley River Daybeacon 5	G "5" Priv	N 30 36' 32.000"	W 087 55' 48.000"	30.60889	-87.93	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Delete	Blakeley River Daybeacon 6	R "6" Priv	N 30 36' 32.000"	W 087 55' 48.000"	30.60889	-87.93	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Delete	Blakeley River Daybeacon 7	G "7" Priv	N 30 36' 48.000"	W 087 55' 54.000"	30.61333	-87.93166	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Delete	Blakeley River Daybeacon 8	R "8" Priv	N 30 37' 02.000"	W 087 55' 39.000"	30.61722	-87.9275	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Delete	Blakeley River Daybeacon 9	G "9" Priv	N 30 37' 00.000"	W 087 55' 53.000"	30.61667	-87.93139	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Delete	Blakeley River Daybeacon 10	R "10" Priv	N 30 37' 13.000"	W 087 55' 39.000"	30.62028	-87.9275	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Delete	Blakeley River Daybeacon 11	G "11" Priv	N 30 37' 09.000"	W 087 55' 53.000"	30.61917	-87.93139	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Delete	Blakeley River Daybeacon 12	R "12" Priv	N 30 37' 19.000"	W 087 55' 43.000"	30.62194	-87.92861	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Delete	Blakeley River Daybeacon 14	R "14" Priv	N 30 37' 30.000"	W 087 55' 43.000"	30.625	-87.92861	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Delete	Blakeley River Daybeacon 16	R "16" Priv	N 30 37' 42.000"	W 087 55' 43.000"	30.62833	-87.92861	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Delete	Blakeley River Daybeacon 18	R "18" Priv	N 30 37' 54.000"	W 087 55' 40.000"	30.63167	-87.92778	LNM 10/17, 8th Dist	50	11376_1	3/16/2017
11376	Change	Mobile Channel Lighted Buoy 40	R "40" Fl R 6s	N 30 22' 42.601"	W 088 01' 09.926"	30.3785	-88.01942	LNM 07/17, 8th Dist	50	11376_1	3/2/2017
11376	Change	Mobile Channel Lighted Buoy 42	R "42" Fl R 4s	N 30 23' 33.365"	W 088 01' 02.614"	30.3926	-88.0174	LNM 07/17, 8th Dist	50	11376_1	3/2/2017
11376	Change	Mobile Channel Lighted Buoy 59	G "59" Oc G 4s	N 30 31' 20.460"	W 088 01' 24.512"	30.52235	-88.02348	LNM 07/17, 8th Dist	50	11376_1	3/2/2017
11376	Add	magenta channel reach separator PT 1 OF 2	magenta channel reach separator	N 30 26' 44.040"	W 088 00' 52.150"	30.44557	-88.01449	LNM 09/17, 8th Dist	50	11376_1	2/23/2017
11376	Add	magenta channel reach separator PT 2 OF 2	magenta channel reach separator	N 30 26' 44.250"	W 088 00' 46.460"	30.44563	-88.01291	LNM 09/17, 8th Dist	50	11376_1	2/23/2017
