Chart: 11378, Current Edition: 38, Print Date: Apr. /2013, Intracoastal Waterway Santa Rosa Sound to Dauphin Island
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11378	Add	Terrys Landing Oyster Farm Special Lights	2 Fl Y 2.5s 7ft Priv 	N 30 15' 18.880"	W 087 48' 00.370"	30.25525	-87.8001	LNM 26/17, 8th Dist	11	11378_2	Not Yet
11378	Change	Depth Legend - Mobile Bar Channel to:	41½ FT FOR A WIDTH OF 600 FT NOV 2016	N 30 09' 52.300"	W 088 03' 07.000"	30.16453	-88.05194	LNM 24/17, 8th Dist	17	11378_7	6/15/2017
11378	Change	Fixed Bridge Label	FIXED BRIDGE HOR CL 101 FT VERT CL 14 FT	N 30 22' 53.990"	W 087 16' 53.060"	30.38166	-87.2814	LNM 23/17, 8th Dist	10	11378_1	6/1/2017
11378	Change	tabulation - PENSACOLA HARBOR AND BAYOU CHICO CHANNELS	tabulation - PENSACOLA HARBOR AND BAYOU CHICO CHANNELS	N 30 20' 11.000"	W 087 03' 20.000"	30.33639	-87.05556	LNM 23/17, 8th Dist	10	11378_1	6/1/2017
11378	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 16' 00.580"	W 087 58' 24.470"	30.26683	-87.97346	LNM 15/17, 8th Dist	15	11378_6	4/20/2017
11378	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 15' 59.800"	W 087 58' 26.570"	30.26661	-87.97404	LNM 15/17, 8th Dist	15	11378_6	4/20/2017
11378	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 16' 47.760"	W 087 58' 03.790"	30.27993	-87.96772	LNM 15/17, 8th Dist	15	11378_6	4/20/2017
11378	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 16' 50.280"	W 087 58' 04.790"	30.28063	-87.96799	LNM 15/17, 8th Dist	15	11378_6	4/20/2017
11378	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 16' 49.670"	W 087 59' 06.850"	30.28046	-87.98524	LNM 15/17, 8th Dist	15	11378_6	4/20/2017
11378	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 16' 51.320"	W 087 59' 05.680"	30.28092	-87.98491	LNM 15/17, 8th Dist	15	11378_6	4/20/2017
11378	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 17' 14.330"	W 087 57' 21.210"	30.28731	-87.95589	LNM 15/17, 8th Dist	15	11378_6	4/20/2017
11378	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 17' 15.760"	W 087 57' 22.800"	30.28771	-87.95634	LNM 15/17, 8th Dist	15	11378_6	4/20/2017
11378	Add	ADCNR Legacy Reef Special Light	Fl Y 2.5s Priv	N 30 17' 19.870"	W 087 57' 14.690"	30.28885	-87.95408	LNM 15/17, 8th Dist	15	11378_6	4/20/2017
