Chart: 11383, Current Edition: 54, Print Date: Oct. /2013, Pensacola Bay
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11383	Change	Fixed Bridge Label	FIXED BRIDGE HOR CL 101 FT VERT CL 14 FT	N 30 22' 53.990"	W 087 16' 53.060"	30.38166	-87.2814	LNM 23/17, 8th Dist	134	11383_1	6/1/2017
11383	Change	tabulation - PENSACOLA HARBOR AND BAYOU CHICO CHANNELS	tabulation - PENSACOLA HARBOR AND BAYOU CHICO CHANNELS	N 30 27' 03.000"	W 087 15' 28.000"	30.45083	-87.25777	LNM 23/17, 8th Dist	134	11383_1	6/1/2017
11383	Change	tabulation - PENSACOLA HARBOR ENTRANCE CHANNEL	tabulation - PENSACOLA HARBOR ENTRANCE CHANNEL	N 30 21' 10.000"	W 087 20' 22.000"	30.35278	-87.33945	LNM 08/17, 8th Dist	134	11383_1	2/16/2017
11383	Change	tabulation - PENSACOLA HARBOR AND BAYOU CHICO CHANNELS	tabulation - PENSACOLA HARBOR AND BAYOU CHICO CHANNELS	N 30 27' 03.000"	W 087 15' 28.000"	30.45083	-87.25777	LNM 08/17, 8th Dist	134	11383_1	2/16/2017
11383	Change	tabulation - PENSACOLA HARBOR ENTRANCE CHANNEL	tabulation - PENSACOLA HARBOR ENTRANCE CHANNEL	N 30 21' 10.000"	W 087 20' 22.000"	30.35278	-87.33945	LNM 34/16, 8th Dist	134	11383_1	8/18/2016
11383	Change	tabulation - PENSACOLA HARBOR AND BAYOU CHICO CHANNELS	tabulation - PENSACOLA HARBOR AND BAYOU CHICO CHANNELS	N 30 27' 03.000"	W 087 15' 28.000"	30.45083	-87.25777	LNM 34/16, 8th Dist	134	11383_1	8/18/2016
11383	Add	FDOA Pensacola Bay Oyster Company East Bay Special Light C	Fl Y 2.5s "C" Priv	N 30 26' 25.400"	W 087 05' 08.400"	30.44039	-87.08567	LNM 24/16, 8th Dist	134	11383_1	8/18/2016
11383	Add	FDOA Pensacola Bay Oyster Company East Bay Special Light D	Fl Y 2.5s "D" Priv	N 30 26' 25.500"	W 087 05' 11.600"	30.44042	-87.08656	LNM 24/16, 8th Dist	134	11383_1	6/30/2016
11383	Add	FDOA Pensacola Bay Oyster Company Escambia Bay Special Light A	Fl Y 2.5s "A" Priv	N 30 26' 17.000"	W 087 10' 10.700"	30.43806	-87.16964	LNM 24/16, 8th Dist	134	11383_1	6/30/2016
11383	Add	FDOA Pensacola Bay Oyster Company Escambia Bay Special Light B	Fl Y 2.5s "B" Priv	N 30 26' 24.300"	W 087 10' 09.100"	30.44008	-87.1692	LNM 24/16, 8th Dist	134	11383_1	6/30/2016
11383	Add	FDOA Pensacola Bay Oyster Company Escambia Bay Special Light C	Fl Y 2.5s "C" Priv	N 30 26' 24.900"	W 087 10' 12.800"	30.44025	-87.17022	LNM 24/16, 8th Dist	134	11383_1	6/30/2016
11383	Add	FDOA Pensacola Bay Oyster Company Escambia Bay Special Light D	Fl Y 2.5s "D" Priv	N 30 26' 17.600"	W 087 10' 14.300"	30.43822	-87.17064	LNM 24/16, 8th Dist	134	11383_1	6/30/2016
11383	Add	FDOA Pensacola Bay Oyster Company East Bay Special Light A	Fl Y 2.5s "A" Priv	N 30 26' 17.800"	W 087 05' 17.800"	30.43828	-87.08828	LNM 24/16, 8th Dist	134	11383_1	6/30/2016
11383	Add	FDOA Pensacola Bay Oyster Company East Bay Special Light B	Fl Y 2.5s "B" Priv	N 30 26' 17.590"	W 087 05' 14.610"	30.43822	-87.08739	LNM 24/16, 8th Dist	134	11383_1	6/30/2016
11383	Change	tabulation - PENSACOLA HARBOR AND BAYOU CHICO CHANNELS	tabulation - PENSACOLA HARBOR AND BAYOU CHICO CHANNELS	N 30 27' 03.000"	W 087 15' 28.000"	30.45083	-87.25777	LNM 21/16, 8th Dist	134	11383_1	5/19/2016
11383	Change	tabulation - PENSACOLA HARBOR ENTRANCE CHANNEL	tabulation - PENSACOLA HARBOR ENTRANCE CHANNEL	N 30 21' 10.000"	W 087 20' 22.000"	30.35278	-87.33945	LNM 41/15, 8th Dist	134	11383_1	10/8/2015
11383	Change	tabulation - PENSACOLA HARBOR AND BAYOU CHICO CHANNELS	tabulation - PENSACOLA HARBOR AND BAYOU CHICO CHANNELS	N 30 27' 03.000"	W 087 15' 28.000"	30.45083	-87.25777	LNM 41/15, 8th Dist	134	11383_1	10/8/2015
11383	Relocate	Pensacola Bay Navy Range Front Light	FL G 2.5s 34ft	N 30 20' 04.514"	W 087 18' 58.739"	30.33459	-87.31631	LNM 33/15, 8th Dist	134	11383_1	8/27/2015
