Chart: 11449, Current Edition: 17, Print Date: Dec. /2005, Intracoastal Waterway Matecumbe to Grassy Key
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11449	Delete	Duck Key Channel Daybeacon 1	G "1" Priv	N 24 45' 46.108"	W 080 55' 27.500"	24.76281	-80.92431	LNM 11/16, 7th Dist	324	11449_1	3/24/2016
11449	Delete	Duck Key Channel Daybeacon 11	G "11" Priv	N 24 46' 29.000"	W 080 55' 30.000"	24.77472	-80.925	LNM 11/16, 7th Dist	324	11449_1	3/24/2016
11449	Delete	Duck Key Channel Daybeacon 12	R "12" Priv	N 24 46' 27.500"	W 080 55' 27.000"	24.77431	-80.92416	LNM 11/16, 7th Dist	324	11449_1	3/24/2016
11449	Delete	Duck Key Channel Daybeacon 13	G "13" Priv	N 24 46' 29.000"	W 080 55' 19.000"	24.77472	-80.92194	LNM 11/16, 7th Dist	324	11449_1	3/24/2016
11449	Delete	Duck Key Channel Daybeacon 14	R "14" Priv	N 24 46' 28.500"	W 080 55' 19.000"	24.77458	-80.92194	LNM 11/16, 7th Dist	324	11449_1	3/24/2016
11449	Delete	Duck Key Channel Daybeacon 16	R "16" Priv	N 24 46' 26.000"	W 080 55' 06.500"	24.77389	-80.91847	LNM 11/16, 7th Dist	324	11449_1	3/24/2016
11449	Delete	Duck Key Channel Daybeacon 3	G "3" Priv	N 24 45' 54.100"	W 080 55' 28.000"	24.76503	-80.92445	LNM 11/16, 7th Dist	324	11449_1	3/24/2016
11449	Delete	Duck Key Channel Daybeacon 5	G "5" Priv	N 24 46' 04.100"	W 080 55' 27.300"	24.76781	-80.92425	LNM 11/16, 7th Dist	324	11449_1	3/24/2016
11449	Delete	Duck Key Channel Daybeacon 6	R "6" Priv	N 24 46' 04.000"	W 080 55' 22.500"	24.76778	-80.92292	LNM 11/16, 7th Dist	324	11449_1	3/24/2016
11449	Delete	Duck Key Channel Daybeacon 7	G "7" Priv	N 24 46' 16.500"	W 080 55' 25.800"	24.77125	-80.92384	LNM 11/16, 7th Dist	324	11449_1	3/24/2016
11449	Delete	Duck Key Channel Daybeacon 8	R "8" Priv	N 24 46' 17.600"	W 080 55' 22.400"	24.77155	-80.92289	LNM 11/16, 7th Dist	324	11449_1	3/24/2016
11449	Delete	Tennessee Reef East Lighted Buoy 18	R "18" Fl R 2.5s	N 24 47' 32.496"	W 080 41' 36.228"	24.79236	-80.6934	LNM 51/15, 7th Dist	324	11449_1	12/31/2015
11449	Delete	Alligator Reef Light	Fl (4) 60s 136ft 13M RACON (__-)	N 24 51' 06.435"	W 080 37' 07.857"	24.85179	-80.61885	LNM 36/15, 7th Dist	324	11449_1	9/17/2015
