Chart: 11453, Current Edition: 17, Print Date: May. /2006, Florida Keys Grassy Key to Bahia Honda Key
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11453	Delete	Boot Key Harbor North Channel Daybeacon 5B	G "5B" PA	N 24 42' 29.800"	W 081 05' 28.200"	24.70828	-81.09116	LNM 11/16, 7th Dist	325	11453_1	3/24/2016
11453	Change	Bahia Honda Key Light 49A	Fl G 6s 20ft 5M "49A"	N 24 37' 29.946"	W 081 14' 08.442"	24.62498	-81.23568	LNM 42/15, 7th Dist	325	11453_1	10/29/2015
11453	Relocate	Sombrero Key Light	Fl (5) 60s 19ft 7M	N 24 37' 39.900"	W 081 06' 30.841"	24.62775	-81.10857	LNM 33/15, 7th Dist	325	11453_1	8/20/2015
11453	Delete	Sombrero Key Light	Fl (5) 60s 142ft 12M RACON (__)	N 24 37' 40.240"	W 081 06' 38.927"	24.62784	-81.11081	LNM 31/15, 7th Dist	325	11453_1	8/13/2015
11453	Add	Abandoned Light House	TOWER (ABAND LT HO)	N 24 37' 40.240"	W 081 06' 38.927"	24.62784	-81.11081	LNM 31/15, 7th Dist	325	11453_1	8/13/2015
11453	Add	Sombrero Key Light	Fl (5) 60s 19ft 7M	N 24 37' 40.080"	W 081 06' 31.260"	24.6278	-81.10868	LNM 31/15, 7th Dist	325	11453_1	8/13/2015
11453	Relocate	Pigeon Key Light 21	Fl G 4s 16ft 5M "21"	N 24 42' 55.022"	W 081 09' 06.098"	24.71528	-81.1517	LNM 22/15, 7th Dist	325	11453_1	6/4/2015
11453	Change	Moser Channel Light 13	Fl G 2.5s 16ft 5M "13"	N 24 45' 53.134"	W 081 10' 24.417"	24.76476	-81.17345	LNM 20/15, 7th Dist	325	11453_1	5/28/2015
11453	Change	Moser Channel Light 8	Fl R 6s 16ft 5M "8"	N 24 43' 21.855"	W 081 10' 13.252"	24.72274	-81.17035	LNM 20/15, 7th Dist	325	11453_1	5/28/2015
11453	Add	Sounding in Feet	27 Co Hd	N 24 40' 12.300"	W 081 01' 59.600"	24.67008	-81.03323	LNM 13/15, 7th Dist	325	11453_1	3/26/2015
11453	Change	Bamboo Key Light 13	Fl G 6s 16ft 5M "13"	N 24 46' 20.984"	W 081 01' 50.233"	24.7725	-81.03062	LNM 51/14, 7th Dist	325	11453_1	1/1/2015
11453	Change	East Turtle Shoal Light 45	Q G 20ft 4M "45"	N 24 43' 28.774"	W 080 55' 59.001"	24.72466	-80.93305	LNM 37/14, 7th Dist	325	11453_1	9/25/2014
11453	Relocate	Moser Channel Light 12	Fl R 2.5s 16ft 3M "12"	N 24 45' 14.881"	W 081 10' 15.776"	24.75413	-81.17105	LNM 26/14, 7th Dist	325	11453_1	7/17/2014
11453	Relocate	Moser Channel Light 10	Fl R 4s 16ft 5M "10"	N 24 44' 01.652"	W 081 10' 14.873"	24.73379	-81.1708	LNM 25/14, 7th Dist	325	11453_1	6/26/2014
11453	Relocate	Moser Channel Light 8	Fl R 6s 16ft 4M "8"	N 24 43' 21.855"	W 081 10' 13.252"	24.72274	-81.17035	LNM 25/14, 7th Dist	325	11453_1	6/26/2014
11453	Change	Pigeon Key Light 21	Fl G 4s 16ft 5M "21"	N 24 42' 55.227"	W 081 09' 06.108"	24.71534	-81.1517	LNM 17/14, 7th Dist	325	11453_1	5/8/2014
