Chart: 11460, Current Edition: 43, Print Date: Jul. /2012, Cape Canaveral to Key West
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11460	Delete	Capron Shoal Buoy 10A	R N "10A"	N 27 26' 36.216"	W 080 13' 19.168"	27.44339	-80.22199	LNM 15/17, 7th Dist	375	11460_1	4/27/2017
11460	Change	Dotted Fish Haven Label	Obstn (6 1/2 fms)	N 25 59' 05.700"	W 080 05' 12.700"	25.98492	-80.08686	LNM 12/17, 7th Dist	375	11460_1	3/16/2017
11460	Add	Dashed Fish Haven Label	Fish Haven (auth min 4 1/4 fms)	N 26 52' 35.890"	W 080 01' 47.600"	26.87664	-80.02989	LNM 50/16, 7th Dist	375	11460_1	12/29/2016
11460	Add	Dotted Fish Haven PT 1 OF 4	Chart No. 1: K46.2	N 26 53' 06.000"	W 080 01' 23.000"	26.885	-80.02306	LNM 50/16, 7th Dist	375	11460_1	12/29/2016
11460	Add	Dotted Fish Haven PT 2 OF 4	Chart No. 1: K46.2	N 26 52' 06.000"	W 080 01' 23.000"	26.86833	-80.02306	LNM 50/16, 7th Dist	375	11460_1	12/29/2016
11460	Add	Dotted Fish Haven PT 3 OF 4	Chart No. 1: K46.2	N 26 52' 06.000"	W 080 02' 12.000"	26.86833	-80.03667	LNM 50/16, 7th Dist	375	11460_1	12/29/2016
11460	Add	Dotted Fish Haven PT 4 OF 4	Chart No. 1: K46.2	N 26 53' 06.000"	W 080 02' 12.000"	26.885	-80.03667	LNM 50/16, 7th Dist	375	11460_1	12/29/2016
11460	Change	NOAA Life Support Lighted Buoy Aquarius characteristics to:	Y Fl (4) Y 20s Priv PA	N 24 57' 00.160"	W 080 27' 11.900"	24.95004	-80.45331	LNM 49/16, 7th Dist	375	11460_1	12/1/2016
11460	Add	Dotted Fish Haven Label	Obstn Fish Haven (auth min 50 ft)	N 26 39' 51.000"	W 080 00' 49.500"	26.66417	-80.01375	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Add	Dotted Fish Haven PT 1 OF 8	Chart No. 1: K46.2	N 26 39' 24.000"	W 080 02' 01.000"	26.65667	-80.03361	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Add	Dotted Fish Haven PT 2 OF 8	Chart No. 1: K46.2	N 26 41' 19.000"	W 080 01' 51.000"	26.68861	-80.03083	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Add	Dotted Fish Haven PT 3 OF 8	Chart No. 1: K46.2	N 26 41' 19.000"	W 080 01' 38.000"	26.68861	-80.02722	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Add	Dotted Fish Haven PT 4 OF 8	Chart No. 1: K46.2	N 26 40' 48.000"	W 080 01' 40.000"	26.68	-80.02778	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Add	Dotted Fish Haven PT 5 OF 8	Chart No. 1: K46.2	N 26 40' 48.000"	W 080 01' 13.000"	26.68	-80.02028	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Add	Dotted Fish Haven PT 6 OF 8	Chart No. 1: K46.2	N 26 40' 21.000"	W 080 01' 13.000"	26.6725	-80.02028	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Add	Dotted Fish Haven PT 7 OF 8	Chart No. 1: K46.2	N 26 40' 20.700"	W 080 00' 56.300"	26.67242	-80.01564	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Add	Dotted Fish Haven PT 8 OF 8	Chart No. 1: K46.2	N 26 39' 23.500"	W 080 00' 59.300"	26.65653	-80.01647	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Delete	Dotted Fish Haven PT 1 OF 6	Chart No. 1: K46.2	N 26 40' 29.940"	W 080 01' 41.960"	26.67498	-80.02832	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Delete	Dotted Fish Haven PT 2 OF 6	Chart No. 1: K46.2	N 26 41' 19.030"	W 080 01' 42.270"	26.68862	-80.02841	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Delete	Dotted Fish Haven PT 3 OF 6	Chart No. 1: K46.2	N 26 41' 19.000"	W 080 01' 38.000"	26.68861	-80.02722	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Delete	Dotted Fish Haven PT 4 OF 6	Chart No. 1: K46.2	N 26 40' 48.000"	W 080 01' 40.000"	26.68	-80.02778	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Delete	Dotted Fish Haven PT 5 OF 6	Chart No. 1: K46.2	N 26 40' 47.740"	W 080 01' 36.000"	26.67993	-80.02666	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Delete	Dotted Fish Haven PT 6 OF 6	Chart No. 1: K46.2	N 26 40' 30.070"	W 080 01' 36.060"	26.67502	-80.02668	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Add	Dotted Fish Haven Label	Obstn Fish Haven (auth min 10 ft)	N 26 40' 00.200"	W 080 01' 26.000"	26.66672	-80.02389	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Add	Dotted Fish Haven PT 1 OF 4	Chart No. 1: K46.2	N 26 40' 20.700"	W 080 00' 56.300"	26.67242	-80.01564	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Add	Dotted Fish Haven PT 2 OF 4	Chart No. 1: K46.2	N 26 40' 21.000"	W 080 00' 40.000"	26.6725	-80.01111	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Add	Dotted Fish Haven PT 3 OF 4	Chart No. 1: K46.2	N 26 39' 23.000"	W 080 00' 41.000"	26.65639	-80.01139	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Add	Dotted Fish Haven PT 4 OF 4	Chart No. 1: K46.2	N 26 39' 23.500"	W 080 00' 59.300"	26.65653	-80.01647	LNM 31/16, 7th Dist	375	11460_1	7/28/2016
11460	Change	Fowey Rocks Light	Fl 10s 110ft 7M RACON (___)	N 25 35' 26.249"	W 080 05' 48.242"	25.59062	-80.09673	LNM 10/16, 7th Dist	375	11460_1	3/17/2016
11460	Delete	Biscayne National Park North Lighted Buoy N	Y "N" Fl Y 2.5s	N 25 38' 44.473"	W 080 05' 22.160"	25.64569	-80.08949	LNM 06/16, 7th Dist	375	11460_1	2/18/2016
11460	Delete	Tennessee Reef East Lighted Buoy 18	R "18" Fl R 2.5s	N 24 47' 32.496"	W 080 41' 36.228"	24.79236	-80.6934	LNM 51/15, 7th Dist	375	11460_1	12/31/2015
11460	Delete	Crocker Reef Buoy 16	R N "16"	N 24 54' 29.771"	W 080 31' 28.335"	24.90827	-80.52454	LNM 51/15, 7th Dist	375	11460_1	12/31/2015
11460	Add	Minimum Size (2mm sq.) Dotted Fish Haven and Label	Obstn (1 fm), Chart No. 1 K46.2	N 27 19' 40.660"	W 080 13' 37.570"	27.32796	-80.2271	LNM 47/15, 7th Dist	375	11460_1	11/19/2015
11460	Add	Minimum Size (2mm sq.) Dotted Fish Haven and Label	Obstn (1 fm), Chart No. 1 K46.2	N 27 22' 31.150"	W 080 14' 58.960"	27.37532	-80.24971	LNM 47/15, 7th Dist	375	11460_1	11/19/2015
11460	Delete	Dotted Fish Haven Label	Obstn Fish Haven (8 1/4 fms)	N 28 23' 05.400"	W 080 17' 44.500"	28.38483	-80.29569	LNM 43/15, 7th Dist	375	11460_1	10/22/2015
11460	Add	Dotted Fish Haven Label	Obstn Fish Haven (auth min 8 fms)	N 28 23' 05.400"	W 080 17' 44.500"	28.38483	-80.29569	LNM 43/15, 7th Dist	375	11460_1	10/22/2015
11460	Add	Dotted Fish Haven PT 1 OF 8	Chart No. 1: K46.2	N 28 24' 44.130"	W 080 18' 46.730"	28.41226	-80.31298	LNM 43/15, 7th Dist	375	11460_1	10/22/2015
11460	Add	Dotted Fish Haven PT 2 OF 8	Chart No. 1: K46.2	N 28 24' 32.350"	W 080 18' 42.350"	28.40899	-80.31177	LNM 43/15, 7th Dist	375	11460_1	10/22/2015
11460	Add	Dotted Fish Haven PT 3 OF 8	Chart No. 1: K46.2	N 28 24' 30.400"	W 080 18' 56.700"	28.40845	-80.31575	LNM 43/15, 7th Dist	375	11460_1	10/22/2015
