Chart: 11462, Current Edition: 27, Print Date: Jan. /2013, Fowey Rocks to Alligator Reef
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11462	Relocate	Mosquito Bank Light 35	Fl G 4s 37ft 5M "35"	N 25 04' 22.931"	W 080 23' 34.184"	25.07304	-80.39283	LNM 21/17, 7th Dist	351	11462_1	6/1/2017
11462	Relocate	Ocean Reef Harbor Entrance Light 2	Fl R 4s 16ft 5M "2"	N 25 18' 30.959"	W 080 16' 03.348"	25.3086	-80.26759	LNM 21/17, 7th Dist	351	11462_1	6/1/2017
11462	Add	Madeira Drive Canal Daybeacon 2	R "2" Priv	N 25 05' 10.740"	W 080 25' 06.940"	25.08632	-80.41859	LNM 05/17, 7th Dist	351	11462_1	2/9/2017
11462	Change	NOAA Life Support Lighted Buoy Aquarius characteristics to:	Y Fl (4) Y 20s Priv PA	N 24 57' 00.160"	W 080 27' 11.900"	24.95004	-80.45331	LNM 49/16, 7th Dist	351	11462_1	12/1/2016
11462	Relocate	Caesar Creek Daybeacon 12	R "12"	N 25 23' 04.574"	W 080 12' 53.502"	25.3846	-80.21486	LNM 43/16, 7th Dist	351	11462_1	11/3/2016
11462	Relocate	Caesar Creek Daybeacon 14	R "14"	N 25 23' 01.798"	W 080 13' 13.400"	25.38383	-80.22039	LNM 43/16, 7th Dist	351	11462_1	11/3/2016
11462	Change	Angelfish Creek Light 6	Fl R 4s 12ft 5M "6"	N 25 19' 56.915"	W 080 15' 14.191"	25.33248	-80.25394	LNM 39/16, 7th Dist	351	11462_1	10/6/2016
11462	Relocate	Caesar Creek Daybeacon 6	R "6"	N 25 23' 06.812"	W 080 11' 59.243"	25.38523	-80.19979	LNM 34/16, 7th Dist	351	11462_1	9/1/2016
11462	Relocate	Caesar Creek Daybeacon 7	G "7"	N 25 23' 00.693"	W 080 12' 27.285"	25.38353	-80.20758	LNM 32/16, 7th Dist	351	11462_1	8/18/2016
11462	Relocate	Caesar Creek Daybeacon 17	G "17"	N 25 23' 01.507"	W 080 13' 27.449"	25.38375	-80.22429	LNM 32/16, 7th Dist	351	11462_1	8/18/2016
11462	Relocate	Bowles Bank Light 8	Fl R 4s 16ft 5M "8"	N 25 30' 26.263"	W 080 08' 43.996"	25.5073	-80.14555	LNM 19/16, 7th Dist	351	11462_1	5/19/2016
11462	Change	Turtle Harbor West Shoal Preferred Channel Light	Fl (2+1) G 6s 16ft 4M	N 25 18' 15.647"	W 080 12' 50.269"	25.30435	-80.21397	LNM 12/16, 7th Dist	351	11462_1	3/31/2016
11462	Change	Fowey Rocks Light	Fl 10s 110ft 7M RACON (___)	N 25 35' 26.249"	W 080 05' 48.242"	25.59062	-80.09673	LNM 10/16, 7th Dist	351	11462_1	3/17/2016
11462	Change	Caesar Creek Daybeacon 17	G "17"	N 25 22' 59.525"	W 080 13' 29.478"	25.3832	-80.22485	LNM 07/16, 7th Dist	351	11462_1	2/25/2016
11462	Change	Caesar Creek Daybeacon 2	R "2"	N 25 23' 06.431"	W 080 11' 40.091"	25.38512	-80.19447	LNM 06/16, 7th Dist	351	11462_1	2/18/2016
11462	Change	Caesar Creek Daybeacon 6	R "6"	N 25 23' 08.599"	W 080 11' 59.134"	25.38572	-80.19976	LNM 06/16, 7th Dist	351	11462_1	2/18/2016
11462	Change	Caesar Creek Daybeacon 7	G "7"	N 25 22' 59.701"	W 080 12' 28.909"	25.38325	-80.20803	LNM 06/16, 7th Dist	351	11462_1	2/18/2016
11462	Change	Caesar Creek Daybeacon 12	R "12"	N 25 23' 03.300"	W 080 12' 55.136"	25.38425	-80.21532	LNM 06/16, 7th Dist	351	11462_1	2/18/2016
11462	Change	Caesar Creek Daybeacon 14	R "14"	N 25 22' 59.979"	W 080 13' 15.175"	25.38333	-80.22088	LNM 06/16, 7th Dist	351	11462_1	2/18/2016
11462	Delete	Crocker Reef Buoy 16	R N "16"	N 24 54' 29.771"	W 080 31' 28.335"	24.90827	-80.52454	LNM 51/15, 7th Dist	351	11462_1	12/31/2015
11462	Relocate	Key Largo Daybeacon 27	G "27"	N 25 15' 57.134"	W 080 15' 38.960"	25.26587	-80.26082	LNM 48/15, 7th Dist	351	11462_1	12/10/2015
11462	Change	Old Rhodes Key Light 22	Fl R 2.5s 12ft 5M "22"	N 25 20' 53.256"	W 080 12' 20.178"	25.34813	-80.2056	LNM 47/15, 7th Dist	351	11462_1	11/26/2015
11462	Change	Key Largo Light 32	Fl R 2.5s 16ft 5M "32"	N 25 10' 36.785"	W 080 20' 21.988"	25.17689	-80.33944	LNM 46/15, 7th Dist	351	11462_1	11/26/2015
11462	Delete	Alligator Reef Light	Fl (4) 60s 136ft 13M RACON (__-)	N 24 51' 06.435"	W 080 37' 07.857"	24.85179	-80.61885	LNM 36/15, 7th Dist	351	11462_1	9/17/2015
11462	Add	Abandoned Light House	TOWER (ABAND LT HO)	N 24 51' 06.435"	W 080 37' 07.857"	24.85179	-80.61885	LNM 36/15, 7th Dist	351	11462_1	9/17/2015
11462	Add	Alligator Reef Light	Fl (4) 60s 16ft 7M	N 24 51' 04.754"	W 080 37' 03.754"	24.85132	-80.61771	LNM 36/15, 7th Dist	351	11462_1	9/17/2015
11462	Change	Angelfish Creek Light 2	Fl R 4s 12ft 5M "2"	N 25 19' 42.390"	W 080 15' 00.720"	25.32844	-80.2502	LNM 36/15, 7th Dist	351	11462_1	9/17/2015
11462	Change	Elliott Key Light 20	Fl R 4s 16ft 5M "20"	N 25 23' 08.151"	W 080 11' 29.757"	25.3856	-80.1916	LNM 29/15, 7th Dist	351	11462_1	7/30/2015
11462	Delete	Conch Reef Buoy 12	R N "12"	N 24 56' 58.475"	W 080 27' 26.208"	24.94958	-80.45728	LNM 28/15, 7th Dist	351	11462_1	7/23/2015
11462	Delete	Dixie Shoal Buoy 8	R N "8"	N 25 04' 39.563"	W 080 18' 43.110"	25.07766	-80.31197	LNM 28/15, 7th Dist	351	11462_1	7/23/2015
11462	Change	Largo Sound Channel Light 2	Fl R 4s 16ft 5M "2"	N 25 05' 46.424"	W 080 23' 50.545"	25.09623	-80.39738	LNM 23/15, 7th Dist	351	11462_1	6/18/2015
11462	Change	Mosquito Bank Light 2	Fl R 2.5s 16ft 5M "2"	N 25 04' 36.059"	W 080 25' 38.197"	25.07668	-80.42728	LNM 18/15, 7th Dist	351	11462_1	5/14/2015
11462	Change	Snake Creek Light 2	Fl R 4s 16ft 5M "2"	N 24 56' 28.948"	W 080 34' 51.876"	24.94137	-80.58108	LNM 17/15, 7th Dist	351	11462_1	5/7/2015
11462	Change	Ocean Reef Harbor Entrance Light 2	Fl R 4s 16ft 5M "2"	N 25 18' 30.863"	W 080 16' 03.159"	25.30857	-80.26755	LNM 13/15, 7th Dist	351	11462_1	4/9/2015
11462	Add	Dangerous Wreck	PA	N 25 32' 30.000"	W 080 08' 36.000"	25.54167	-80.14333	LNM 44/10, 7th Dist	351	11462_1	4/9/2015
11462	Delete	Carysfort Reef Light	Fl (3) 60s 100ft 13M RACON (_._.)	N 25 13' 18.735"	W 080 12' 41.106"	25.22187	-80.21142	LNM 26/14, 7th Dist	351	11462_1	7/17/2014
11462	Add	Abandoned Light House	TOWER (ABAND LT HO)	N 25 13' 18.735"	W 080 12' 41.106"	25.22187	-80.21142	LNM 26/14, 7th Dist	351	11462_1	7/17/2014
11462	Add	Carysfort Reef Light	Fl (3) 60s 40ft 13M	N 25 13' 36.890"	W 080 12' 33.221"	25.22691	-80.20923	LNM 26/14, 7th Dist	351	11462_1	7/17/2014
11462	Change	Whale Harbor Light 1	Fl G 2.5s 16ft 5M "1"	N 24 55' 51.909"	W 080 35' 43.218"	24.93109	-80.59534	LNM 16/14, 7th Dist	351	11462_1	5/8/2014
11462	Relocate	Elliot Key Daybeacon 14	R "14"	N 25 27' 47.559"	W 080 10' 04.549"	25.46321	-80.16793	LNM 08/14, 7th Dist	351	11462_1	3/13/2014
11462	Relocate	Snake Creek Light 2	Fl R 4s 16ft 4M "2"	N 24 56' 28.948"	W 080 34' 51.876"	24.94137	-80.58108	LNM 08/14, 7th Dist	351	11462_1	3/13/2014
11462	Relocate	Whale Harbor Daybeacon 2	R "2"	N 24 55' 54.533"	W 080 35' 44.443"	24.93181	-80.59568	LNM 08/14, 7th Dist	351	11462_1	3/13/2014
