Chart: 11466, Current Edition: 40, Print Date: Dec. /2016, Jupiter Inlet to Fowey Rocks;Lake Worth Inlet
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11466	Delete	Miami Anchorage Buoy A	Y N "A"	N 25 48' 20.702"	W 080 05' 42.532"	25.80575	-80.09515	LNM 33/17, 7th Dist	348	11466_1	Not Yet
11466	Delete	Miami Anchorage Buoy B	Y N "B"	N 25 46' 22.686"	W 080 06' 09.240"	25.77297	-80.10257	LNM 33/17, 7th Dist	348	11466_1	Not Yet
11466	Delete	SFOMF Restricted Area Lighted Buoy D	W Or "D" Fl 2s Priv	N 26 04' 45.180"	W 080 05' 00.420"	26.07922	-80.08345	LNM 33/17, 7th Dist	348	11466_1	8/31/2017
11466	Delete	SFOMF Restricted Area Lighted Buoy E	W Or "E" Fl 4s Priv	N 26 04' 14.820"	W 080 05' 03.240"	26.07078	-80.08424	LNM 33/17, 7th Dist	348	11466_1	8/31/2017
11466	Delete	SFOMF Restricted Area Lighted Buoy F	W Or "F" Fl 6s Priv	N 26 03' 30.000"	W 080 05' 29.700"	26.05833	-80.09158	LNM 33/17, 7th Dist	348	11466_1	8/31/2017
11466	Delete	SFOMF Restricted Area Lighted Buoy H	W Or "H" Fl 6s Priv	N 26 03' 30.180"	W 080 06' 00.540"	26.05838	-80.10015	LNM 33/17, 7th Dist	348	11466_1	8/31/2017
11466	Add	Anchorage Area A Point 1 of 4	Anchorage Area A 110.188 (see note A)	N 25 47' 57.687"	W 080 05' 37.225"	25.79936	-80.09367	LNM 31/17, 7th Dist	348	11466_1	8/24/2017
11466	Add	Anchorage Area A Point 2 of 4	Anchorage Area A 110.188 (see note A)	N 25 47' 57.341"	W 080 05' 26.466"	25.79926	-80.09068	LNM 31/17, 7th Dist	348	11466_1	8/24/2017
11466	Add	Anchorage Area A Point 3 of 4	Anchorage Area A 110.188 (see note A)	N 25 46' 31.443"	W 080 05' 27.069"	25.7754	-80.09085	LNM 31/17, 7th Dist	348	11466_1	8/24/2017
11466	Add	Anchorage Area A Point 4 of 4	Anchorage Area A 110.188 (see note A)	N 25 46' 31.557"	W 080 05' 37.868"	25.77543	-80.09385	LNM 31/17, 7th Dist	348	11466_1	8/24/2017
11466	Add	Anchorage Area B Point 1 of 4	Anchorage Area B 110.188 (see note A)	N 25 48' 13.841"	W 080 04' 59.155"	25.80384	-80.0831	LNM 31/17, 7th Dist	348	11466_1	8/24/2017
11466	Add	Anchorage Area B Point 2 of 4	Anchorage Area B 110.188 (see note A)	N 25 48' 04.617"	W 080 04' 04.582"	25.80128	-80.06794	LNM 31/17, 7th Dist	348	11466_1	8/24/2017
11466	Add	Anchorage Area B Point 3 of 4	Anchorage Area B 110.188 (see note A)	N 25 46' 32.712"	W 080 04' 28.387"	25.77575	-80.07455	LNM 31/17, 7th Dist	348	11466_1	8/24/2017
11466	Add	Anchorage Area B Point 4 of 4	Anchorage Area B 110.188 (see note A)	N 25 46' 43.770"	W 080 05' 02.360"	25.77883	-80.08399	LNM 31/17, 7th Dist	348	11466_1	8/24/2017
11466	Delete	Anchorage Area Point 1 of 4	Anchorage Area	N 25 48' 03.740"	W 080 04' 04.330"	25.80104	-80.06787	LNM 31/17, 7th Dist	348	11466_1	8/24/2017
11466	Delete	Anchorage Area Point 2 of 4	Anchorage Area	N 25 48' 21.130"	W 080 05' 42.590"	25.80587	-80.09516	LNM 31/17, 7th Dist	348	11466_1	8/24/2017
11466	Delete	Anchorage Area Point 3 of 4	Anchorage Area	N 25 46' 23.400"	W 080 06' 07.630"	25.77317	-80.10212	LNM 31/17, 7th Dist	348	11466_1	8/24/2017
11466	Delete	Anchorage Area Point 4 of 4	Anchorage Area	N 25 46' 02.790"	W 080 04' 11.690"	25.76744	-80.06992	LNM 31/17, 7th Dist	348	11466_1	8/24/2017
11466	Add	Channel Limits PT 1 OF 12	Chart No. 1: I20	N 26 05' 27.190"	W 080 06' 50.940"	26.09089	-80.11415	LNM 27/17, 7th Dist	348	11466_1	7/6/2017
11466	Add	Channel Limits PT 2 OF 12	Chart No. 1: I20	N 26 05' 10.380"	W 080 06' 45.750"	26.08622	-80.11271	LNM 27/17, 7th Dist	348	11466_1	7/6/2017
