Chart: 11467, Current Edition: 44, Print Date: Jan. /2017, Intracoastal Waterway West Palm Beach to Miami
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11467	Change	tabulation - PORT EVERGLADES CHANNEL DEPTHS	tabulation - PORT EVERGLADES CHANNEL DEPTHS	N 26 35' 34.000"	W 080 00' 03.000"	26.59278	-80.00083	Not Yet Published	311	11467_1	7/6/2017
11467	Change	channel reach name to	MAIN TURNING BASIN	N 26 05' 37.500"	W 080 07' 06.000"	26.09375	-80.11833	Not Yet Published	313	11467_2	7/6/2017
11467	Delete	Channel Limits PT 1 OF 7	Chart No. 1: I20	N 26 05' 24.950"	W 080 06' 53.720"	26.09026	-80.11492	Not Yet Published	312	11467_5	7/6/2017
11467	Delete	Channel Limits PT 2 OF 7	Chart No. 1: I20	N 26 05' 12.190"	W 080 06' 49.110"	26.08672	-80.11364	Not Yet Published	312	11467_5	7/6/2017
11467	Delete	Channel Limits PT 3 OF 7	Chart No. 1: I20	N 26 03' 53.960"	W 080 06' 51.150"	26.06499	-80.11421	Not Yet Published	312	11467_5	7/6/2017
11467	Delete	Channel Limits PT 4 OF 7	Chart No. 1: I20	N 26 03' 53.890"	W 080 06' 52.460"	26.06497	-80.11457	Not Yet Published	312	11467_5	7/6/2017
11467	Delete	Channel Limits PT 5 OF 7	Chart No. 1: I20	N 26 05' 09.360"	W 080 06' 50.590"	26.08593	-80.11405	Not Yet Published	312	11467_5	7/6/2017
11467	Delete	Channel Limits PT 6 OF 7	Chart No. 1: I20	N 26 05' 14.440"	W 080 06' 51.460"	26.08735	-80.1143	Not Yet Published	312	11467_5	7/6/2017
11467	Delete	Channel Limits PT 7 OF 7	Chart No. 1: I20	N 26 05' 24.040"	W 080 06' 54.940"	26.09001	-80.11526	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 1 OF 6	Chart No. 1: I20	N 26 05' 27.190"	W 080 06' 50.940"	26.09089	-80.11415	Not Yet Published	313	11467_2	7/6/2017
11467	Add	Channel Limits PT 2 OF 6	Chart No. 1: I20	N 26 05' 10.380"	W 080 06' 45.750"	26.08622	-80.11271	Not Yet Published	313	11467_2	7/6/2017
11467	Add	Channel Limits PT 3 OF 6	Chart No. 1: I20	N 26 05' 07.990"	W 080 06' 46.210"	26.08555	-80.11284	Not Yet Published	313	11467_2	7/6/2017
11467	Add	Channel Limits PT 4 OF 6	Chart No. 1: I20	N 26 05' 08.400"	W 080 06' 50.640"	26.08567	-80.11407	Not Yet Published	313	11467_2	7/6/2017
11467	Add	Channel Limits PT 5 OF 6	Chart No. 1: I20	N 26 05' 10.110"	W 080 06' 50.220"	26.08614	-80.11395	Not Yet Published	313	11467_2	7/6/2017
11467	Add	Channel Limits PT 6 OF 6	Chart No. 1: I20	N 26 05' 24.130"	W 080 06' 54.580"	26.09004	-80.11516	Not Yet Published	313	11467_2	7/6/2017
11467	Delete	Channel Limits PT 1 OF 4	Chart No. 1: I20	N 26 04' 01.380"	W 080 06' 50.850"	26.06705	-80.11413	Not Yet Published	314	11467_3	7/6/2017
11467	Delete	Channel Limits PT 2 OF 4	Chart No. 1: I20	N 26 03' 53.960"	W 080 06' 51.150"	26.06499	-80.11421	Not Yet Published	314	11467_3	7/6/2017
11467	Delete	Channel Limits PT 3 OF 4	Chart No. 1: I20	N 26 03' 53.890"	W 080 06' 52.460"	26.06497	-80.11457	Not Yet Published	314	11467_3	7/6/2017
11467	Delete	Channel Limits PT 4 OF 4	Chart No. 1: I20	N 26 04' 01.460"	W 080 06' 52.280"	26.06707	-80.11452	Not Yet Published	314	11467_3	7/6/2017
11467	Add	Channel Limits PT 1 OF 12	Chart No. 1: I20	N 26 05' 27.190"	W 080 06' 50.940"	26.09089	-80.11415	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 2 OF 12	Chart No. 1: I20	N 26 05' 10.380"	W 080 06' 45.750"	26.08622	-80.11271	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 3 OF 12	Chart No. 1: I20	N 26 04' 46.680"	W 080 06' 49.320"	26.07963	-80.1137	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 4 OF 12	Chart No. 1: I20	N 26 03' 53.890"	W 080 06' 50.610"	26.06497	-80.11406	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 5 OF 12	Chart No. 1: I20	N 26 03' 53.930"	W 080 06' 52.490"	26.06498	-80.11458	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 6 OF 12	Chart No. 1: I20	N 26 03' 53.970"	W 080 06' 54.710"	26.06499	-80.1152	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 7 OF 12	Chart No. 1: I20	N 26 04' 21.810"	W 080 06' 53.920"	26.07273	-80.11497	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 8 OF 12	Chart No. 1: I20	N 26 04' 21.810"	W 080 06' 54.270"	26.07273	-80.11507	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 9 OF 12	Chart No. 1: I20	N 26 04' 42.830"	W 080 06' 53.880"	26.07856	-80.11497	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 10 OF 12	Chart No. 1: I20	N 26 04' 42.830"	W 080 06' 54.490"	26.07856	-80.11514	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 11 OF 12	Chart No. 1: I20	N 26 05' 10.110"	W 080 06' 50.220"	26.08614	-80.11395	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 12 OF 12	Chart No. 1: I20	N 26 05' 24.130"	W 080 06' 54.580"	26.09004	-80.11516	Not Yet Published	312	11467_5	7/6/2017
11467	Add	soundings inside channel PT 1 OF 2	soundings inside channel	N 26 05' 25.370"	W 080 06' 52.800"	26.09038	-80.11467	Not Yet Published	313	11467_2	7/6/2017
11467	Add	soundings inside channel PT 2 OF 2	soundings inside channel	N 26 05' 08.410"	W 080 06' 48.250"	26.08567	-80.1134	Not Yet Published	313	11467_2	7/6/2017
11467	Change	channel reach name	INNER ENTRANCE CHANNEL	N 26 05' 37.000"	W 080 06' 30.500"	26.09361	-80.10847	Not Yet Published	313	11467_2	7/6/2017
11467	Add	Channel Limits PT 1 OF 4	Chart No. 1: I20	N 26 04' 23.180"	W 080 06' 54.390"	26.0731	-80.1151	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 2 OF 4	Chart No. 1: I20	N 26 04' 23.090"	W 080 07' 05.340"	26.07308	-80.11815	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 3 OF 4	Chart No. 1: I20	N 26 04' 29.460"	W 080 07' 05.470"	26.07485	-80.11819	Not Yet Published	312	11467_5	7/6/2017
11467	Add	Channel Limits PT 4 OF 4	Chart No. 1: I20	N 26 04' 29.550"	W 080 06' 54.240"	26.07487	-80.11507	Not Yet Published	312	11467_5	7/6/2017
11467	Delete	Channel Limits PT 1 OF 6	Chart No. 1: I20	N 26 05' 24.950"	W 080 06' 53.720"	26.09026	-80.11492	Not Yet Published	313	11467_2	7/6/2017
11467	Delete	Channel Limits PT 2 OF 6	Chart No. 1: I20	N 26 05' 12.190"	W 080 06' 49.110"	26.08672	-80.11364	Not Yet Published	313	11467_2	7/6/2017
11467	Delete	Channel Limits PT 3 OF 6	Chart No. 1: I20	N 26 05' 08.300"	W 080 06' 49.100"	26.08564	-80.11364	Not Yet Published	313	11467_2	7/6/2017
11467	Delete	Channel Limits PT 4 OF 6	Chart No. 1: I20	N 26 05' 09.360"	W 080 06' 50.590"	26.08593	-80.11405	Not Yet Published	313	11467_2	7/6/2017
11467	Delete	Channel Limits PT 5 OF 6	Chart No. 1: I20	N 26 05' 14.440"	W 080 06' 51.460"	26.08735	-80.1143	Not Yet Published	313	11467_2	7/6/2017
11467	Delete	Channel Limits PT 6 OF 6	Chart No. 1: I20	N 26 05' 24.040"	W 080 06' 54.940"	26.09001	-80.11526	Not Yet Published	313	11467_2	7/6/2017
