Chart: 11468, Current Edition: 44, Print Date: Mar. /2014, Miami Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11468	Relocate	Lummus Island Turning Basin Light E	Fl Y 4s 16ft 4M "E"	N 25 46' 02.589"	W 080 10' 14.014"	25.76739	-80.17056	LNM 25/17, 7th Dist	309	11468_1	6/29/2017
11468	Relocate	Lummus Island Turning Basin Light E	Fl Y 4s 16ft 4M "E"	N 25 46' 02.554"	W 080 10' 13.523"	25.76738	-80.17043	LNM 22/17, 7th Dist	309	11468_1	6/22/2017
11468	Relocate	Lummus Island Turning Basin Light B	Fl Y 4s 16ft 4M "B"	N 25 45' 53.860"	W 080 09' 58.338"	25.76496	-80.16621	LNM 13/17, 7th Dist	309	11468_1	4/13/2017
11468	Add	Bent Light	Fl 4s 25ft Priv	N 25 45' 11.048"	W 080 06' 28.821"	25.75307	-80.10801	LNM 13/17, 7th Dist	309	11468_1	4/13/2017
11468	Change	Miami Main Channel Lighted Buoy 10	R "10" Fl R 2.5s	N 25 45' 34.904"	W 080 07' 16.078"	25.7597	-80.12113	LNM 04/17, 7th Dist	309	11468_1	2/2/2017
11468	Change	Miami Main Channel Lighted Buoy 12	R "12" Q R	N 25 45' 39.563"	W 080 07' 28.837"	25.76099	-80.12468	LNM 04/17, 7th Dist	309	11468_1	2/2/2017
11468	Change	Miami Main Channel Lighted Buoy 8	R "8" Q R	N 25 45' 30.958"	W 080 06' 58.262"	25.7586	-80.11618	LNM 04/17, 7th Dist	309	11468_1	2/2/2017
11468	Relocate	Fishermans Channel Light 7	Fl G 4s 16ft 5M "7"	N 25 45' 52.945"	W 080 09' 19.374"	25.76471	-80.15538	LNM 51/16, 7th Dist	309	11468_1	12/22/2016
11468	Relocate	Miami Turning Basin Articulated Light A	Art "A" Iso 6s	N 25 47' 04.711"	W 080 10' 48.868"	25.78464	-80.18024	LNM 43/16, 7th Dist	309	11468_1	11/3/2016
11468	Relocate	Miami Turning Basin Articulated Light E	Art "E" Iso 6s	N 25 46' 54.793"	W 080 11' 00.294"	25.78189	-80.18342	LNM 43/16, 7th Dist	309	11468_1	11/3/2016
