Chart: 11480, Current Edition: 41, Print Date: Nov. /2010, Charleston Light to Cape Canaveral
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11480	Add	Cable Area  PT 2 OF 4	Chart No. 1: L30.2	N 30 28' 48.000"	W 080 00' 54.000"	30.48	-80.015	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Add	Cable Area  PT 1 OF 4	Chart No. 1: L30.2	N 30 28' 48.000"	W 080 22' 30.000"	30.48	-80.375	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Add	Cable Area  PT 3 OF 4	Chart No. 1: L30.2	N 30 03' 00.000"	W 080 06' 36.000"	30.05	-80.11	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Add	Cable Area  PT 4 OF 4	Chart No. 1: L30.2	N 30 03' 00.000"	W 080 29' 00.000"	30.05	-80.48333	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Add	Submarine Cable  PT 1 OF 10	Chart No. 1: L30.1	N 30 22' 19.980"	W 081 17' 02.900"	30.37222	-81.28414	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Add	Submarine Cable  PT 2 OF 10	Chart No. 1: L30.1	N 30 20' 34.280"	W 081 07' 45.720"	30.34286	-81.12936	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Add	Submarine Cable  PT 3 OF 10	Chart No. 1: L30.1	N 30 20' 48.160"	W 081 06' 24.610"	30.34671	-81.10683	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Add	Submarine Cable  PT 4 OF 10	Chart No. 1: L30.1	N 30 20' 32.580"	W 081 05' 01.180"	30.34238	-81.08366	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Add	Submarine Cable  PT 5 OF 10	Chart No. 1: L30.1	N 30 19' 47.320"	W 081 03' 11.990"	30.32981	-81.05333	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Add	Submarine Cable  PT 6 OF 10	Chart No. 1: L30.1	N 30 18' 28.590"	W 080 56' 33.740"	30.30794	-80.9427	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Add	Submarine Cable  PT 7 OF 10	Chart No. 1: L30.1	N 30 16' 00.310"	W 080 50' 17.080"	30.26675	-80.83808	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Add	Submarine Cable  PT 8 OF 10	Chart No. 1: L30.1	N 30 12' 20.900"	W 080 33' 42.690"	30.2058	-80.56186	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Add	Submarine Cable  PT 9 OF 10	Chart No. 1: L30.1	N 30 11' 26.430"	W 080 31' 48.070"	30.19068	-80.53002	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Add	Submarine Cable  PT 10 OF 10	Chart No. 1: L30.1	N 30 10' 31.330"	W 080 27' 06.190"	30.17537	-80.45172	LNM 25/17, 7th Dist	376	11480_1	6/15/2017
11480	Delete	Nassau Sound Approach Buoy 6A	R N "6A" AIS	N 30 29' 23.952"	W 081 22' 50.791"	30.48999	-81.38078	LNM 14/17, 7th Dist	376	11480_1	4/13/2017
11480	Add	Submerged Buoy	dashed line circle and label: Subm buoy	N 30 28' 48.000"	W 080 00' 54.000"	30.48	-80.015	LNM 48/16, 7th Dist	376	11480_1	11/24/2016
11480	Add	Submerged Buoy	dashed line circle and label: Subm buoy	N 30 28' 48.000"	W 080 22' 30.000"	30.48	-80.375	LNM 48/16, 7th Dist	376	11480_1	11/24/2016
11480	Add	Submerged Buoy	dashed line circle and label: Subm buoy	N 30 03' 00.000"	W 080 06' 36.000"	30.05	-80.11	LNM 48/16, 7th Dist	376	11480_1	11/24/2016
11480	Add	Submerged Buoy	dashed line circle and label: Subm buoy	N 30 03' 00.000"	W 080 29' 00.000"	30.05	-80.48333	LNM 48/16, 7th Dist	376	11480_1	11/24/2016
11480	Delete	Non-Dangerous Obstruction	Subm buoy	N 30 28' 48.000"	W 080 29' 00.000"	30.48	-80.48333	WNM 46/10, NGA	376	11480_1	8/25/2016
11480	Delete	Non-Dangerous Obstruction	Subm buoy	N 30 28' 48.000"	W 080 06' 36.000"	30.48	-80.11	WNM 46/10, NGA	376	11480_1	8/25/2016
11480	Delete	Non-Dangerous Obstruction	Subm buoy	N 30 03' 00.000"	W 080 06' 36.000"	30.05	-80.11	WNM 46/10, NGA	376	11480_1	8/25/2016
11480	Delete	Non-Dangerous Obstruction	Subm buoy	N 30 03' 00.000"	W 080 29' 00.000"	30.05	-80.48333	WNM 46/10, NGA	376	11480_1	8/25/2016
11480	Add	Sounding in Fathoms 	7 1/4	N 32 32' 59.291"	W 079 40' 32.524"	32.5498	-79.6757	LNM 25/16, 7th Dist	376	11480_1	6/16/2016
11480	Add	Obstruction in Fathoms	6 Obstn       Chart No. 1: K41	N 32 33' 01.500"	W 079 46' 55.300"	32.55042	-79.78203	LNM 52/15, 7th Dist	376	11480_1	12/24/2015
11480	Change	St Marys Entrance Lighted Buoy STM	RW "STM" Mo (A) AIS	N 30 42' 54.032"	W 081 14' 38.648"	30.71501	-81.24407	LNM 48/15, 7th Dist	376	11480_1	12/10/2015
11480	Add	Wreck in Fathoms	4 3/4 Wk    Chart No. 1: K26	N 32 33' 27.174"	W 079 42' 03.384"	32.55755	-79.70094	LNM 48/15, 7th Dist	376	11480_1	11/26/2015
11480	Add	Depth Note - Mayport to:	Dump Site (dredged material) (see note S) Depths from survey of 2007-2008	N 30 19' 29.900"	W 081 17' 45.000"	30.32497	-81.29583	LNM 47/15, 7th Dist	376	11480_1	11/19/2015
11480	Delete	Dump Site	dump site, (use Chart No. 1: N1.1)	N 30 21' 02.100"	W 081 18' 09.200"	30.35058	-81.30256	LNM 47/15, 7th Dist	376	11480_1	11/19/2015
11480	Add	Dump Site PT 1 OF 6	dump site, (use Chart No. 1: N1.1)	N 30 21' 30.840"	W 081 18' 33.300"	30.35857	-81.30925	LNM 47/15, 7th Dist	376	11480_1	11/19/2015
11480	Add	Dump Site PT 2 OF 6	dump site, (use Chart No. 1: N1.1)	N 30 21' 30.840"	W 081 17' 25.320"	30.35857	-81.29037	LNM 47/15, 7th Dist	376	11480_1	11/19/2015
11480	Add	Dump Site PT 3 OF 6	dump site, (use Chart No. 1: N1.1)	N 30 20' 30.900"	W 081 17' 25.320"	30.34192	-81.29037	LNM 47/15, 7th Dist	376	11480_1	11/19/2015
11480	Add	Dump Site PT 4 OF 6	dump site, (use Chart No. 1: N1.1)	N 30 20' 30.900"	W 081 17' 00.720"	30.34192	-81.28353	LNM 47/15, 7th Dist	376	11480_1	11/19/2015
