Chart: 11487, Current Edition: 20, Print Date: Apr. /2006, St. Johns River Racy Point to Crescent Lake
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11487	Relocate	Upper Palatka Light 1	Fl G 4s 12ft 5M "1"	N 29 38' 34.407"	W 081 37' 22.185"	29.64289	-81.62283	LNM 05/17, 7th Dist	273	11487_1	2/9/2017
11487	Relocate	Palatka Light 48	Fl R 4s 12ft 5M "48"	N 29 39' 02.433"	W 081 37' 19.843"	29.65068	-81.62218	LNM 04/17, 7th Dist	273	11487_1	2/2/2017
11487	Change	Rice Creek Entrance Light 5	Fl G 2.5s 16ft 5M "5"	N 29 41' 45.240"	W 081 38' 53.040"	29.6959	-81.64806	LNM 15/16, 7th Dist	273	11487_1	4/21/2016
11487	Delete	Dancy Point Range Front Light	Q 14ft	N 29 42' 33.025"	W 081 34' 50.899"	29.70917	-81.5808	LNM 51/15, 7th Dist	273	11487_1	12/31/2015
11487	Delete	Dancy Point Range Rear Light	Iso 6s 34ft	N 29 42' 14.460"	W 081 35' 08.820"	29.70402	-81.58578	LNM 51/15, 7th Dist	273	11487_1	12/31/2015
11487	Delete	Forrester Point Light 41	Fl G 4s 12ft 5M "41"	N 29 42' 36.180"	W 081 37' 02.400"	29.71005	-81.61733	LNM 51/15, 7th Dist	273	11487_1	12/31/2015
11487	Add	Bodine Point Light 39	Fl G 2.5s 14ft 3M "39"	N 29 43' 32.330"	W 081 33' 51.250"	29.72565	-81.56424	LNM 51/15, 7th Dist	273	11487_1	12/31/2015
11487	Add	Dancy Point Light 41	Q G 12ft 3M "41"	N 29 42' 33.025"	W 081 34' 50.899"	29.70917	-81.5808	LNM 51/15, 7th Dist	273	11487_1	12/31/2015
11487	Add	Forrester Point Light 41A	Fl G 4s 12ft 5M "41A"	N 29 42' 36.180"	W 081 37' 02.400"	29.71005	-81.61733	LNM 51/15, 7th Dist	273	11487_1	12/31/2015
11487	Change	Rice Creek Light 9	Fl G 4s 16ft 5M "9"	N 29 42' 03.060"	W 081 39' 12.720"	29.70085	-81.65353	LNM 39/15, 7th Dist	273	11487_1	10/8/2015
11487	Change	Devils Elbow Light 4	Fl R 4s 16ft 5M "4"	N 29 38' 01.920"	W 081 36' 50.400"	29.63387	-81.614	LNM 37/15, 7th Dist	273	11487_1	9/24/2015
11487	Change	Forrester Point Light 42A	Fl R 2.5s 16ft 5M "42A"	N 29 41' 44.683"	W 081 38' 14.179"	29.69575	-81.63728	LNM 37/15, 7th Dist	273	11487_1	9/24/2015
11487	Change	Forrester Point Light 41	Fl G 4s 12ft 5M "41"	N 29 42' 36.180"	W 081 37' 02.400"	29.71005	-81.61733	LNM 37/15, 7th Dist	273	11487_1	9/24/2015
11487	Change	Masons Creek Light 38	Fl R 4s 16ft 5M "38"	N 29 44' 08.304"	W 081 33' 20.195"	29.73564	-81.55561	LNM 37/15, 7th Dist	273	11487_1	9/24/2015
11487	Change	Buffalo Bluff Light 29	Fl G 2.5s 12ft 5M "29"	N 29 35' 10.500"	W 081 40' 58.380"	29.58625	-81.68288	LNM 30/15, 7th Dist	273	11487_1	8/6/2015
11487	Change	Rat Island Light 15	Fl G 4s 12ft 5M "15"	N 29 35' 23.040"	W 081 37' 20.460"	29.58973	-81.62235	LNM 30/15, 7th Dist	273	11487_1	8/6/2015
11487	Change	Rat Island Light 15	Fl G 4s 12ft 5M "15"	N 29 35' 23.040"	W 081 37' 20.460"	29.58973	-81.62235	LNM 30/15, 7th Dist	274	11487_2	8/6/2015
11487	Change	Seven Sisters Island Light 30	Fl R 4s 16ft 5M "30"	N 29 34' 48.990"	W 081 41' 08.795"	29.58027	-81.68578	LNM 30/15, 7th Dist	273	11487_1	8/6/2015
11487	Change	Nine Mile Point Light 36	Fl R 2.5s 12ft 5M "36"	N 29 46' 27.840"	W 081 33' 09.600"	29.7744	-81.55267	LNM 21/15, 7th Dist	273	11487_1	6/4/2015
11487	Change	Murphy Island Light 23	Fl G 2.5s 16ft 5M "23"	N 29 35' 52.543"	W 081 39' 49.745"	29.59793	-81.66382	LNM 10/15, 7th Dist	273	11487_1	3/19/2015
11487	Change	Murphy Island Light 26	Fl R 4s 16ft 5M "26"	N 29 35' 31.987"	W 081 40' 22.947"	29.59222	-81.67304	LNM 10/15, 7th Dist	273	11487_1	3/19/2015
11487	Change	Crescent Lake Light 16	Fl R 4s 16ft 5M "16"	N 29 35' 30.900"	W 081 38' 03.720"	29.59192	-81.63437	LNM 04/15, 7th Dist	273	11487_1	2/5/2015
11487	Change	Crescent Lake Light 16	Fl R 4s 16ft 5M "16"	N 29 35' 30.900"	W 081 38' 03.720"	29.59192	-81.63437	LNM 04/15, 7th Dist	274	11487_2	2/5/2015
11487	Change	Rivercrest Light 10	Fl R 4s 16ft 5M "10"	N 29 37' 57.480"	W 081 35' 33.180"	29.63263	-81.59255	LNM 04/15, 7th Dist	273	11487_1	2/5/2015
11487	Change	Upper Palatka Light 2	Fl R 4s 16ft 5M "2"	N 29 38' 17.825"	W 081 37' 23.241"	29.63828	-81.62312	LNM 04/15, 7th Dist	273	11487_1	2/5/2015
11487	Change	Federal Point Light 37	Fl G 4s 17ft 5M "37"	N 29 45' 00.300"	W 081 32' 57.900"	29.75008	-81.54942	LNM 02/15, 7th Dist	273	11487_1	1/22/2015
11487	Change	Forrester Point Light 42	Fl R 4s 16ft 5M "42"	N 29 42' 28.560"	W 081 37' 56.100"	29.70793	-81.63225	LNM 02/15, 7th Dist	273	11487_1	1/22/2015
11487	Change	Lower Palatka Light 47	Fl G 4s 16ft 5M "47"	N 29 39' 22.260"	W 081 37' 02.580"	29.65618	-81.61739	LNM 02/15, 7th Dist	273	11487_1	1/22/2015
11487	Change	Rice Creek Entrance Channel Light 8	Fl R 4s 16ft 5M "8"	N 29 41' 57.480"	W 081 39' 06.960"	29.6993	-81.65193	LNM 02/14, 7th Dist	273	11487_1	1/30/2014
11487	Change	Overhead Power Cable Label	OVHD PWR CAB SAFE CL 90 FT	N 29 37' 17.550"	W 081 36' 17.200"	29.62154	-81.60477	LNM 42/13, 7th Dist	273	11487_1	10/10/2013
11487	Change	Murphy Island Light 19	Fl G 2.5s 12ft 5M "19"	N 29 35' 50.700"	W 081 38' 54.780"	29.59742	-81.64855	LNM 05/13, 7th Dist	273	11487_1	2/14/2013
11487	Relocate	Buffalo Bluff Light 28	Fl R 4s 16ft 5M "28"	N 29 35' 16.680"	W 081 41' 01.003"	29.58797	-81.68361	LNM 50/12, 7th Dist	273	11487_1	1/23/2013
11487	Relocate	Dancy Point Range Front Light	Q 14ft	N 29 42' 33.025"	W 081 34' 50.899"	29.70917	-81.5808	LNM 21/12, 7th Dist	273	11487_1	6/11/2012
11487	Relocate	Racy Point Cut Range Front Light	Q G 16ft	N 29 47' 50.643"	W 081 32' 59.799"	29.7974	-81.54994	LNM 21/12, 7th Dist	273	11487_1	6/11/2012
11487	Relocate	Racy Point Cut Range Rear Light	Iso G 6s 27ft	N 29 48' 00.589"	W 081 32' 59.601"	29.80016	-81.54989	LNM 21/12, 7th Dist	273	11487_1	6/11/2012
11487	Relocate	Racy Point Cut Range Rear Light	Iso G 6s 27ft	N 29 48' 00.589"	W 081 32' 59.601"	29.80016	-81.54989	LNM 21/12, 7th Dist	273	11487_1	6/11/2012
11487	Change	Dancy Point Range Front Light	Q 14ft	N 29 42' 33.025"	W 081 34' 50.899"	29.70917	-81.5808	LNM 21/12, 7th Dist	273	11487_1	6/11/2012
11487	Change	Racy Point Cut Range Rear Light	Iso G 6s 27ft	N 29 48' 00.589"	W 081 32' 59.601"	29.80016	-81.54989	LNM 21/12, 7th Dist	273	11487_1	6/11/2012
11487	Change	Palatka Light 44	Fl R 6s 12ft 5M "44"	N 29 40' 04.080"	W 081 37' 29.940"	29.6678	-81.62498	LNM 15/12, 7th Dist	273	11487_1	4/24/2012
11487	Relocate	Palatka Light 44	Fl R 6s 12ft 4M "44"	N 29 40' 04.080"	W 081 37' 29.940"	29.6678	-81.62498	LNM 14/12, 7th Dist	273	11487_1	4/10/2012
11487	Change	Palatka Light 44	Fl R 6s 12ft 5M "44"	N 29 40' 04.080"	W 081 37' 29.940"	29.6678	-81.62498	LNM 14/12, 7th Dist	273	11487_1	4/10/2012
11487	Change	Verdiere Point Light 40	Fl R 2.5s 12ft 5M "40"	N 29 43' 00.480"	W 081 34' 26.640"	29.7168	-81.57407	LNM 06/12, 7th Dist	273	11487_1	2/28/2012
11487	Change	Devils Elbow Light 6	Fl R 4s 16ft 5M "6"	N 29 38' 31.260"	W 081 36' 12.360"	29.64202	-81.60343	LNM 05/12, 7th Dist	273	11487_1	2/16/2012
11487	Change	San Mateo Light 12	Fl G 4s 16ft 5M "12"	N 29 36' 36.840"	W 081 35' 50.220"	29.61023	-81.59728	LNM 05/12, 7th Dist	273	11487_1	2/16/2012
11487	Change	San Mateo Light 12	Fl G 4s 16ft 5M "12"	N 29 36' 36.840"	W 081 35' 50.220"	29.61023	-81.59728	LNM 05/12, 7th Dist	274	11487_2	2/16/2012
11487	Change	Upper Palatka Light 1	Fl G 4s 12ft 5M "1"	N 29 38' 34.076"	W 081 37' 22.120"	29.6428	-81.62281	LNM 05/12, 7th Dist	273	11487_1	2/16/2012
11487	Change	Murphy Island Light 20	Fl R 4s 16ft 5M "20"	N 29 35' 55.477"	W 081 39' 04.207"	29.59874	-81.65117	LNM 05/12, 7th Dist	273	11487_1	2/16/2012
11487	Change	Murphy Island Light 22	Fl R 4s 16ft 5M "22"	N 29 35' 49.759"	W 081 39' 18.982"	29.59715	-81.65527	LNM 05/12, 7th Dist	273	11487_1	2/16/2012
11487	Change	Buffalo Bluff Light 28	Fl R 4s 16ft 5M "28"	N 29 35' 16.200"	W 081 41' 00.960"	29.58783	-81.6836	LNM 29/11, 7th Dist	273	11487_1	7/28/2011
11487	Change	Palatka Light 48	Fl R 4s 12ft 5M "48"	N 29 39' 02.280"	W 081 37' 19.800"	29.65063	-81.62217	LNM 29/11, 7th Dist	273	11487_1	7/28/2011
11487	Delete	Rice Creek Daybeacon 11	G "11"	N 29 42' 04.560"	W 081 39' 15.300"	29.70127	-81.65425	LNM 27/11, 7th Dist	273	11487_1	7/18/2011
11487	Delete	Rice Creek Daybeacon 13	G "13"	N 29 42' 04.200"	W 081 39' 32.460"	29.70117	-81.65902	LNM 27/11, 7th Dist	273	11487_1	7/18/2011
11487	Delete	Rice Creek Daybeacon 12	R "12"	N 29 42' 03.480"	W 081 39' 25.080"	29.70097	-81.65697	LNM 27/11, 7th Dist	273	11487_1	7/18/2011
11487	Delete	Rice Creek Daybeacon 14	R "14"	N 29 41' 53.460"	W 081 40' 02.520"	29.69818	-81.66737	LNM 27/11, 7th Dist	273	11487_1	7/18/2011
11487	Delete	Rice Creek Daybeacon 16	R "16"	N 29 41' 44.100"	W 081 40' 17.520"	29.69558	-81.67153	LNM 27/11, 7th Dist	273	11487_1	7/18/2011
11487	Delete	Rice Creek Daybeacon 12	R "12"	N 29 42' 03.480"	W 081 39' 25.080"	29.70097	-81.65697	LNM 25/11, 7th Dist	273	11487_1	6/28/2011
11487	Delete	Rice Creek Daybeacon 11	G "11"	N 29 42' 04.560"	W 081 39' 15.300"	29.70127	-81.65425	LNM 25/11, 7th Dist	273	11487_1	6/28/2011
11487	Delete	Rice Creek Daybeacon 13	G "13"	N 29 42' 04.200"	W 081 39' 32.460"	29.70117	-81.65902	LNM 25/11, 7th Dist	273	11487_1	6/28/2011
11487	Delete	Rice Creek Daybeacon 14	R "14"	N 29 41' 53.460"	W 081 40' 02.520"	29.69818	-81.66737	LNM 25/11, 7th Dist	273	11487_1	6/28/2011
11487	Delete	Rice Creek Daybeacon 16	R "16"	N 29 41' 44.100"	W 081 40' 17.520"	29.69558	-81.67153	LNM 25/11, 7th Dist	273	11487_1	6/28/2011
11487	Delete	Rice Creek Daybeacon 18	R "18"	N 29 41' 29.460"	W 081 40' 51.960"	29.69152	-81.6811	LNM 25/11, 7th Dist	273	11487_1	6/28/2011
11487	Add	Rice Creek Daybeacon 11	G "11"	N 29 42' 04.200"	W 081 39' 32.460"	29.70117	-81.65902	LNM 25/11, 7th Dist	273	11487_1	6/28/2011
11487	Change	Palatka Light 48	Fl R 4s 12ft 4M "48"	N 29 39' 02.280"	W 081 37' 19.800"	29.65063	-81.62217	LNM 17/11, 7th Dist	273	11487_1	5/2/2011
11487	Change	Palatka Light 48	Fl R 4s 12ft 5M "48"	N 29 39' 02.280"	W 081 37' 19.800"	29.65063	-81.62217	LNM 12/11, 7th Dist	273	11487_1	3/30/2011
11487	Relocate	Murphy Island Light 23	Fl G 2.5s 16ft 3M "23"	N 29 35' 52.543"	W 081 39' 49.745"	29.59793	-81.66382	LNM 07/07, 7th Dist	273	11487_1	3/19/2009
11487	Add	HURRICANES AND TROPICAL STORMS NOTE	Hurricanes, tropical storms and other major storms may cause considerable damage to marine structures, aids to navigation and moored vessels, resulting in submerged debris in unknown locations. Charted soundings, channel depths and shoreline may not reflect actual conditions following these storms. Fixed aids to navigation may have been damaged or destroyed. Buoys may have been moved from charted positions, damaged, sunk extinguished or otherwise made inoperative. Mariners should not rely upon the position or operation of an aid to navigation. Wrecks and submerged obstructions may have been displaced from charted locations. Pipelines may have become uncovered or moved. Mariners are urged to exercise extreme caution and are requested to report aids to navigation discrepancies and hazards to navigation to the nearest United States Coast Guard unit.	N 29 37' 11.000"	W 081 37' 27.000"	29.61972	-81.62417	LNM 15/06, 7th Dist	273	11487_1	2/13/2008
