Chart: 11489, Current Edition: 40, Print Date: Feb. /2015, Intracoastal Waterway St. Simons Sound to Tolomato River
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11489	Delete	Cumberland Sound Shoal Light A	Fl 4s "A" Priv	N 30 43' 39.000"	W 081 28' 52.200"	30.7275	-81.48116	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Delete	Cumberland Sound Shoal Light B	Fl 4s "B" Priv	N 30 43' 56.400"	W 081 28' 59.400"	30.73233	-81.48317	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Delete	Cumberland Sound Shoal Light C	Fl 4s "C" Priv	N 30 44' 13.200"	W 081 28' 59.400"	30.737	-81.48317	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Delete	Cumberland Sound Shoal Light D	Fl 4s "D" Priv	N 30 44' 27.000"	W 081 29' 10.800"	30.74083	-81.48634	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Delete	Cumberland Sound Shoal Light E	Fl 4s "E" Priv	N 30 44' 41.400"	W 081 28' 55.200"	30.74483	-81.482	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Delete	Cumberland Sound Shoal Light F	Fl 4s "F" Priv	N 30 44' 43.200"	W 081 29' 09.000"	30.74533	-81.48583	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Delete	Cumberland Sound Shoal Light G	Fl 4s "G" Priv	N 30 44' 55.200"	W 081 29' 13.000"	30.74867	-81.48695	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Delete	Cumberland Sound Shoal Light H	Fl 4s "H" Priv	N 30 45' 10.800"	W 081 28' 56.400"	30.753	-81.48233	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Delete	Cumberland Sound Shoal Light I	Fl 4s "I" Priv	N 30 46' 03.000"	W 081 29' 04.200"	30.7675	-81.4845	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Relocate	Cumberland River Daybeacon 33A	G "33A"	N 30 58' 14.049"	W 081 25' 21.028"	30.97057	-81.42251	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Add	Cumberland Sound Shoal Light A	Fl 4s 12ft 5M "A"	N 30 43' 38.979"	W 081 28' 52.160"	30.72749	-81.48116	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Add	Cumberland Sound Shoal Light B	Fl 4s 12ft 5M "B"	N 30 43' 56.442"	W 081 28' 59.412"	30.73235	-81.48317	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Add	Cumberland Sound Shoal Light C	Fl 4s 12ft 5M "C"	N 30 44' 13.181"	W 081 28' 59.339"	30.73699	-81.48315	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Add	Cumberland Sound Shoal Light D	Fl 4s 12ft 5M "D"	N 30 44' 27.000"	W 081 29' 10.800"	30.74083	-81.48634	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Add	Cumberland Sound Shoal Light E	Fl 4s 12ft 5M "E"	N 30 44' 43.804"	W 081 28' 52.582"	30.7455	-81.48127	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Add	Cumberland Sound Shoal Light F	Fl 4s 12ft 5M "F"	N 30 44' 40.980"	W 081 29' 09.711"	30.74472	-81.48603	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Add	Cumberland Sound Shoal Light G	Fl 4s 12ft 5M "G"	N 30 45' 09.909"	W 081 28' 55.678"	30.75275	-81.48213	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Add	Cumberland Sound Shoal Light H	Fl 4s 12ft 5M "H"	N 30 45' 16.312"	W 081 29' 08.692"	30.75453	-81.48575	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Add	Cumberland Sound Shoal Light I	Fl 4s 12ft 5M "I"	N 30 46' 00.138"	W 081 29' 03.919"	30.7667	-81.48442	LNM 23/17, 7th Dist	260	11489_1	6/22/2017
11489	Add	Visible Wreck	PA	N 30 59' 28.400"	W 081 27' 35.900"	30.99122	-81.45997	LNM 22/17, 7th Dist	260	11489_1	6/22/2017
11489	Change	Kings Bay Lower Range E Front Light	Q G 18ft	N 30 46' 23.362"	W 081 29' 08.993"	30.77316	-81.48583	LNM 20/17, 7th Dist	260	11489_1	6/1/2017
11489	Delete	Mile Point Jetty East Daybeacon	W Bn	N 30 22' 46.796"	W 081 27' 23.856"	30.37967	-81.45663	LNM 19/17, 7th Dist	261	11489_2	5/18/2017
11489	Delete	Mile Point Jetty East Daybeacon	W Bn	N 30 22' 46.796"	W 081 27' 23.856"	30.37967	-81.45663	LNM 19/17, 7th Dist	262	11489_3	5/18/2017
