Chart: 11492, Current Edition: 21, Print Date: Jul. /2006, St. John's River Jacksonville to Racy Point
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11492	Change	Fixed Bridge Label	FIXED BRIDGE HOR CL 90 FT VERT CL 45 FT	N 29 59' 04.140"	W 081 37' 07.520"	29.98448	-81.61876	LNM 13/17, 7th Dist	272	11492_2	3/23/2017
11492	Change	Bayard Point Light 24	Fl R 4s 19ft 5M "24"	N 29 56' 15.960"	W 081 36' 01.800"	29.93777	-81.6005	LNM 40/15, 7th Dist	272	11492_2	10/15/2015
11492	Change	Red Bay Point Light 22	Fl R 4s 18ft 5M "22"	N 29 58' 29.722"	W 081 36' 42.731"	29.97492	-81.61187	LNM 40/15, 7th Dist	272	11492_2	10/15/2015
11492	Add	Minimum Size (2mm sq.) Dotted Fish Haven and Label	Obstn Fish Haven (auth min 6 ft), Chart No. 1 K46.2	N 30 17' 58.350"	W 081 40' 17.390"	30.29954	-81.67149	LNM 34/15, 7th Dist	271	11492_1	8/20/2015
11492	Change	Christopher Point Light 5	Fl G 4s 16ft 5M "5"	N 30 15' 08.545"	W 081 39' 27.962"	30.25237	-81.65777	LNM 31/15, 7th Dist	271	11492_1	8/13/2015
11492	Change	New Switzerland Point Light 17	Fl G 4s 18ft 5M "17"	N 30 03' 40.260"	W 081 40' 23.580"	30.06118	-81.67322	LNM 31/15, 7th Dist	271	11492_1	8/13/2015
11492	Change	New Switzerland Point Light 17	Fl G 4s 18ft 5M "17"	N 30 03' 40.260"	W 081 40' 23.580"	30.06118	-81.67322	LNM 31/15, 7th Dist	272	11492_2	8/13/2015
11492	Change	Orange Park Light 10	Fl R 4s 16ft 5M "10"	N 30 09' 30.780"	W 081 41' 23.940"	30.15855	-81.68998	LNM 31/15, 7th Dist	271	11492_1	8/13/2015
11492	Change	Ragged Point Light 12	Fl R 4s 12ft 5M "12"	N 30 07' 14.387"	W 081 40' 48.015"	30.12066	-81.68001	LNM 31/15, 7th Dist	271	11492_1	8/13/2015
11492	Change	Solano Point Light 29	Fl G 2.5s 10ft 5M "29"	N 29 52' 27.180"	W 081 35' 16.740"	29.87422	-81.58798	LNM 28/15, 7th Dist	272	11492_2	7/23/2015
11492	Change	Solano Point Light 31	Fl G 2.5s 10ft 5M "31"	N 29 51' 47.880"	W 081 35' 00.360"	29.8633	-81.58344	LNM 28/15, 7th Dist	272	11492_2	7/23/2015
11492	Change	Winter Point Light 2	Fl R 4s 16ft 5M "2"	N 30 17' 37.687"	W 081 40' 38.112"	30.2938	-81.67725	LNM 24/15, 7th Dist	271	11492_1	6/25/2015
11492	Delete	Piney Point Light 7	Fl G 2.5s 16ft 3M "7"	N 30 13' 18.306"	W 081 39' 04.624"	30.22175	-81.65128	LNM 23/15, 7th Dist	271	11492_1	6/18/2015
11492	Delete	Switzerland Light 15	Fl G 2.5s 16ft 5M "15"	N 30 05' 55.587"	W 081 40' 16.966"	30.09877	-81.67138	LNM 23/15, 7th Dist	271	11492_1	6/18/2015
11492	Delete	Beauclerc Bluff Daybeacon 9	G "9"	N 30 12' 12.960"	W 081 39' 14.220"	30.2036	-81.65395	LNM 22/15, 7th Dist	271	11492_1	6/4/2015
11492	Add	Beauclerc Bluff Light 9	Fl G 2.5s 16ft 5M "9"	N 30 12' 12.960"	W 081 39' 14.220"	30.2036	-81.65395	LNM 22/15, 7th Dist	271	11492_1	6/4/2015
11492	Change	Popo Point Light 18	Fl R 2.5s 16ft 5M "18"	N 30 01' 26.700"	W 081 40' 33.060"	30.02408	-81.67585	LNM 21/15, 7th Dist	272	11492_2	6/4/2015
11492	Delete	Epping Forest Yacht Club Buoy 1	G C "1" Priv	N 30 14' 50.000"	W 081 38' 39.400"	30.24722	-81.64428	LNM 20/15, 7th Dist	271	11492_1	5/28/2015
11492	Delete	Epping Forest Yacht Club Buoy 2	R N "2" Priv	N 30 14' 48.500"	W 081 38' 38.000"	30.24681	-81.64389	LNM 20/15, 7th Dist	271	11492_1	5/28/2015
11492	Delete	Epping Forest Yacht Club Buoy 3	G C "3" Priv	N 30 14' 51.500"	W 081 38' 37.000"	30.24764	-81.64361	LNM 20/15, 7th Dist	271	11492_1	5/28/2015
