Chart: 11495, Current Edition: 17, Print Date: Nov. /2013, St. Johns River Dunns Creek to Lake Dexter
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11495	Delete	Lake George South End Range Rear Light	Iso 6s 40ft	N 29 12' 12.000"	W 081 34' 41.760"	29.20333	-81.57827	LNM 06/17, 7th Dist	276	11495_1	2/23/2017
11495	Add	Lake George Light 14	Fl R 2.5s 15ft 5M "14"	N 29 12' 41.368"	W 081 34' 49.590"	29.21149	-81.58044	LNM 05/17, 7th Dist	276	11495_1	2/9/2017
11495	Delete	Lake George South End Range Front Light	Q 15ft	N 29 12' 41.520"	W 081 34' 49.740"	29.21153	-81.58048	LNM 05/17, 7th Dist	276	11495_1	2/9/2017
11495	Delete	Lake George North End Range Rear Light	Iso 6s 33ft	N 29 22' 45.089"	W 081 37' 31.386"	29.37919	-81.62538	LNM 44/15, 7th Dist	275	11495_2	11/12/2015
11495	Relocate	Mount Royal Daybeacon 62	R "62"	N 29 25' 42.024"	W 081 39' 31.914"	29.42834	-81.65887	LNM 43/15, 7th Dist	275	11495_2	11/5/2015
11495	Delete	Mount Royal Daybeacon 62A	R "62A"	N 29 25' 42.024"	W 081 39' 31.914"	29.42834	-81.65887	LNM 43/15, 7th Dist	275	11495_2	11/5/2015
11495	Change	Norwalk Point Light 59	Fl G 4s 16ft 5M "59"	N 29 26' 02.450"	W 081 40' 58.394"	29.43401	-81.68288	LNM 40/15, 7th Dist	275	11495_2	10/15/2015
11495	Change	Horse Landing Light 37	Fl G 4s 12ft 5M "37"	N 29 32' 25.141"	W 081 42' 13.595"	29.54032	-81.70377	LNM 40/15, 7th Dist	275	11495_2	10/15/2015
11495	Change	Norwalk Point Light 58	Fl R 4s 16ft 5M "58"	N 29 26' 11.808"	W 081 41' 11.138"	29.43661	-81.68642	LNM 39/15, 7th Dist	275	11495_2	10/8/2015
11495	Change	Buffalo Bluff Light 29	Fl G 2.5s 12ft 5M "29"	N 29 35' 10.500"	W 081 40' 58.380"	29.58625	-81.68288	LNM 30/15, 7th Dist	275	11495_2	8/6/2015
11495	Change	Grand View Light 40A	Fl R 2.5s 16ft 5M "40A"	N 29 31' 19.728"	W 081 40' 49.644"	29.52215	-81.68046	LNM 30/15, 7th Dist	275	11495_2	8/6/2015
11495	Change	Little Lake George Light 53	Fl G 4s 16ft 5M "53"	N 29 27' 45.936"	W 081 41' 09.755"	29.46276	-81.68604	LNM 30/15, 7th Dist	275	11495_2	8/6/2015
11495	Change	Rat Island Light 15	Fl G 4s 12ft 5M "15"	N 29 35' 23.040"	W 081 37' 20.460"	29.58973	-81.62235	LNM 30/15, 7th Dist	275	11495_2	8/6/2015
11495	Change	Seven Sisters Island Light 30	Fl R 4s 16ft 5M "30"	N 29 34' 48.990"	W 081 41' 08.795"	29.58027	-81.68578	LNM 30/15, 7th Dist	275	11495_2	8/6/2015
11495	Change	Black Point Light 68	Fl R 4s 16ft 5M "68"	N 29 23' 31.260"	W 081 39' 27.120"	29.39202	-81.65753	LNM 30/15, 7th Dist	275	11495_2	8/6/2015
11495	Change	Georgetown Light 70	Fl R 4s 12ft 5M "70"	N 29 23' 11.460"	W 081 38' 37.560"	29.38652	-81.64377	LNM 30/15, 7th Dist	275	11495_2	8/6/2015
