Chart: 11498, Current Edition: 18, Print Date: Nov. /2013, St. Johns River Lake Dexter to Lake Harney
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11498	Add	Bascule Bridge Label	RR BASCULE BRIDGE HOR CL 90 FT HOR CL 7 FT	N 28 50' 17.300"	W 081 19' 28.200"	28.83814	-81.3245	LNM 43/16, 7th Dist	277	11498_1	10/20/2016
11498	Add	Bascule Bridge Label	RR BASCULE BRIDGE HOR CL 90 FT HOR CL 7 FT	N 28 50' 17.300"	W 081 19' 28.200"	28.83814	-81.3245	LNM 43/16, 7th Dist	278	11498_2	10/20/2016
11498	Change	Alexander Island Light 113	Fl G 4s 17ft 5M "113"	N 28 50' 52.362"	W 081 21' 11.700"	28.84788	-81.35325	LNM 45/15, 7th Dist	277	11498_1	11/19/2015
11498	Change	Alexander Island Light 113	Fl G 4s 17ft 5M "113"	N 28 50' 52.362"	W 081 21' 11.700"	28.84788	-81.35325	LNM 45/15, 7th Dist	278	11498_2	11/19/2015
11498	Change	Sanford Cut Light 13	Fl G 4s 16ft 5M "13"	N 28 49' 01.686"	W 081 16' 10.080"	28.81713	-81.26947	LNM 44/15, 7th Dist	278	11498_2	11/12/2015
11498	Delete	Sanford Cut Light 5	Fl G 4s 16ft 4M "5"	N 28 49' 01.686"	W 081 16' 10.080"	28.81713	-81.26947	LNM 43/15, 7th Dist	278	11498_2	11/5/2015
11498	Add	Sanford Cut Light 13	Fl G 4s 16ft 4M "13"	N 28 49' 01.686"	W 081 16' 10.080"	28.81713	-81.26947	LNM 43/15, 7th Dist	278	11498_2	11/5/2015
11498	Change	Snake Creek Cutoff Light 79	Fl G 4s 17ft 5M "79"	N 28 55' 54.654"	W 081 21' 05.916"	28.93185	-81.35165	LNM 30/15, 7th Dist	277	11498_1	8/6/2015
11498	Delete	Woodruff Creek Buoy 7	G C "7"	N 28 48' 31.962"	W 081 13' 09.738"	28.80888	-81.21937	LNM 05/15, 7th Dist	278	11498_2	2/12/2015
11498	Change	Idlewilde Light 16	Q R 16ft 4M "16"	N 29 05' 54.255"	W 081 30' 09.012"	29.0984	-81.5025	LNM 04/15, 7th Dist	277	11498_1	2/5/2015
11498	Change	Lake Dexter Light 12	Fl R 4s 17ft 5M "12"	N 29 06' 44.763"	W 081 30' 25.705"	29.11243	-81.50714	LNM 04/15, 7th Dist	277	11498_1	2/5/2015
11498	Change	Lake Dexter Light 15	Fl G 4s 12ft 5M "15"	N 29 06' 07.112"	W 081 29' 58.933"	29.10198	-81.4997	LNM 04/15, 7th Dist	277	11498_1	2/5/2015
11498	Change	Beresford Cutoff Light 63	Fl G 4s 17ft 5M "63"	N 28 58' 25.368"	W 081 20' 46.794"	28.97371	-81.34633	LNM 04/15, 7th Dist	277	11498_1	2/5/2015
11498	Change	Happy Hill Light 41	Fl G 4s 17ft 5M "41"	N 28 59' 52.596"	W 081 22' 38.184"	28.99794	-81.37727	LNM 04/15, 7th Dist	277	11498_1	2/5/2015
11498	Change	Hermitage Point Light 35	Fl G 4s 17ft 5M "35"	N 29 01' 32.058"	W 081 23' 40.290"	29.02557	-81.39452	LNM 04/15, 7th Dist	277	11498_1	2/5/2015
11498	Change	Hermitage Point Light 39	Fl G 4s 17ft 5M "39"	N 29 01' 09.330"	W 081 23' 21.534"	29.01926	-81.38931	LNM 04/15, 7th Dist	277	11498_1	2/5/2015
11498	Change	Hontoun Island Light 60	Fl R 4s 12ft 5M "60"	N 28 58' 42.846"	W 081 20' 59.742"	28.97857	-81.34993	LNM 04/15, 7th Dist	277	11498_1	2/5/2015
11498	Change	Kimball Island Light 18	Fl R 4s 17ft 5M "18"	N 29 05' 43.136"	W 081 28' 21.648"	29.09532	-81.47268	LNM 04/15, 7th Dist	277	11498_1	2/5/2015
11498	Change	Pine Island Light 81	Fl G 4s 17ft 5M "81"	N 28 55' 22.812"	W 081 21' 07.596"	28.923	-81.35211	LNM 04/15, 7th Dist	277	11498_1	2/5/2015
11498	Change	Riverside Light 45	Fl G 4s 17ft 5M "45"	N 28 59' 37.722"	W 081 22' 15.264"	28.99381	-81.3709	LNM 04/15, 7th Dist	277	11498_1	2/5/2015
11498	Change	St Francis Light 26	Fl R 4s 17ft 5M "26"	N 29 02' 15.842"	W 081 25' 03.139"	29.03773	-81.41754	LNM 04/15, 7th Dist	277	11498_1	2/5/2015
11498	Change	Butchers Bend Light 109	Fl G 4s 17ft 5M "109"	N 28 51' 27.228"	W 081 21' 02.520"	28.85756	-81.3507	LNM 03/15, 7th Dist	277	11498_1	1/22/2015
