Chart: 11507, Current Edition: 36, Print Date: Jun. /2015, Intracoastal Waterway Beaufort River to St. Simons Sound
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11507	Add	Harbour Town Lighthouse	Fl 30s Priv	N 32 08' 19.100"	W 080 48' 45.400"	32.13864	-80.81261	LNM 35/17, 7th Dist	251	11507_5	Not Yet
11507	Change	Depth Legend - W Elba Island Turning Basin to:	27 FT SEP 2012	N 32 05' 13.190"	W 080 59' 13.420"	32.087	-80.98706	LNM 35/17, 7th Dist	247	11507_1	8/24/2017
11507	Change	Depth Legend - W Elba Island Turning Basin to:	27 FT SEP 2012	N 32 05' 13.190"	W 080 59' 13.420"	32.087	-80.98706	LNM 35/17, 7th Dist	248	11507_2	8/24/2017
11507	Add	Visible Wreck	PA	N 31 17' 45.000"	W 081 16' 53.400"	31.29583	-81.2815	LNM 22/17, 7th Dist	252	11507_6	6/22/2017
11507	Relocate	Walls Cut Light 42	Fl R 4s 16ft 5M "42"	N 32 05' 00.735"	W 080 55' 05.605"	32.08354	-80.91822	LNM 13/17, 7th Dist	247	11507_1	4/13/2017
11507	Relocate	Hell Gate Buoy 90	R N "90"	N 31 51' 33.806"	W 081 05' 02.056"	31.85939	-81.08391	LNM 07/17, 7th Dist	249	11507_3	2/23/2017
11507	Change	Elba Island Basin Range Rear Light	Iso 6s 45ft	N 32 05' 58.584"	W 080 59' 43.505"	32.09961	-80.99541	LNM 07/17, 7th Dist	248	11507_2	2/23/2017
11507	Change	Calibogue Sound Light 32	Q R 16ft 5M "32"	N 32 08' 59.617"	W 080 49' 49.530"	32.14989	-80.83042	LNM 06/17, 7th Dist	247	11507_1	2/23/2017
11507	Change	Depth Note to:	The controlling depth at Mean Lower Low Water was 5 feet for a width of 150 feet from  Doboy Sound to Darien. May 2016	N 31 21' 23.000"	W 081 21' 33.000"	31.35639	-81.35917	LNM 07/17, 7th Dist	252	11507_6	2/16/2017
11507	Relocate	Bear River Daybeacon 109	G "109"	N 31 45' 19.449"	W 081 10' 16.575"	31.7554	-81.17127	LNM 03/17, 7th Dist	250	11507_4	1/26/2017
11507	Relocate	Vernon River Light 81	Fl G 4s 16ft 5M "81"	N 31 53' 59.008"	W 081 05' 40.118"	31.89972	-81.09447	LNM 03/17, 7th Dist	249	11507_3	1/26/2017
11507	Relocate	Jenkins Island Flat Daybeacon 27	G "27"	N 32 13' 07.139"	W 080 47' 12.191"	32.21865	-80.78672	LNM 28/16, 7th Dist	247	11507_1	7/21/2016
11507	Relocate	St Augustine Creek Daybeacon A15	G "A15"	N 32 04' 37.193"	W 081 00' 00.223"	32.077	-81.00006	LNM 13/16, 7th Dist	248	11507_2	4/7/2016
11507	Change	Sapelo Sound Light 138	Q R 12ft 4M "138"	N 31 33' 03.142"	W 081 11' 43.876"	31.55087	-81.19552	LNM 13/16, 7th Dist	250	11507_4	4/7/2016
11507	Change	Sapelo Sound Light 138	Q R 12ft 4M "138"	N 31 33' 03.142"	W 081 11' 43.876"	31.55087	-81.19552	LNM 13/16, 7th Dist	252	11507_6	4/7/2016
11507	Delete	Port Royal Sound Light 1	Fl G 4s 16ft 4M "1"	N 32 15' 57.488"	W 080 41' 54.141"	32.26597	-80.69837	LNM 11/16, 7th Dist	247	11507_1	3/24/2016
11507	Add	Port Royal Sound Lighted Buoy 1	G "1" Fl G 4s	N 32 15' 57.488"	W 080 41' 54.141"	32.26597	-80.69837	LNM 11/16, 7th Dist	247	11507_1	3/24/2016
11507	Change	Skidaway River Light 42	Fl R 4s 16ft 5M "42"	N 31 59' 35.749"	W 081 01' 13.832"	31.99326	-81.02051	LNM 03/16, 7th Dist	249	11507_3	1/28/2016
11507	Change	Skidaway River Light 43	Fl G 4s 16ft 5M "43"	N 31 59' 15.068"	W 081 02' 02.783"	31.98752	-81.0341	LNM 03/16, 7th Dist	249	11507_3	1/28/2016
11507	Change	Elba Island Cut Light 10	Q R 16ft 5M "10"	N 32 03' 49.905"	W 080 59' 41.816"	32.06386	-80.99495	LNM 01/16, 7th Dist	248	11507_2	1/7/2016
11507	Change	Burnside River Light 75	Fl G 4s 16ft 5M "75"	N 31 55' 11.991"	W 081 04' 29.030"	31.92	-81.07473	LNM 41/15, 7th Dist	249	11507_3	10/22/2015
11507	Change	Vernon River Light 79	Fl G 4s 16ft 5M "79"	N 31 55' 10.680"	W 081 06' 14.779"	31.91963	-81.1041	LNM 41/15, 7th Dist	249	11507_3	10/22/2015
11507	Change	Jenkins Island Flat Light 24	Fl R 4s 12ft 5M "24"	N 32 13' 09.620"	W 080 47' 18.495"	32.21934	-80.78847	LNM 40/15, 7th Dist	247	11507_1	10/15/2015
11507	Change	Skull Creek Light 18	Fl R 2.5s 16ft 5M "18"	N 32 13' 32.597"	W 080 46' 01.905"	32.22572	-80.7672	LNM 40/15, 7th Dist	247	11507_1	10/15/2015
11507	Change	Doboy Island Light 180	Fl R 4s 16ft 5M "180"	N 31 24' 11.640"	W 081 19' 45.720"	31.40323	-81.32937	LNM 39/15, 7th Dist	252	11507_6	10/8/2015
11507	Change	Front River Light 151	Fl G 4s 16ft 5M "151"	N 31 31' 21.937"	W 081 17' 27.261"	31.52276	-81.29091	LNM 39/15, 7th Dist	252	11507_6	10/8/2015
11507	Delete	Sounding in Feet	18	N 32 05' 08.200"	W 080 55' 17.500"	32.08561	-80.92152	LNM 40/15, 7th Dist	247	11507_1	10/8/2015
11507	Add	Depth Legend to:	13 ft Rep (2015)	N 32 05' 06.500"	W 080 55' 17.900"	32.08514	-80.92164	LNM 40/15, 7th Dist	247	11507_1	10/8/2015
11507	Relocate	South Newport River Light 135	Fl G 4s 16ft 5M "135"	N 31 34' 37.112"	W 081 11' 17.084"	31.57697	-81.18808	LNM 37/15, 7th Dist	250	11507_4	9/24/2015
11507	Change	Creighton Narrows Light 155A	Fl G 4s 16ft 5M "155A"	N 31 29' 46.000"	W 081 19' 32.000"	31.49611	-81.32555	LNM 34/15, 7th Dist	252	11507_6	8/27/2015
11507	Change	Old Teakettle Creek Light 173	Fl G 4s 16ft 5M "173"	N 31 26' 31.756"	W 081 18' 11.491"	31.44215	-81.30319	LNM 34/15, 7th Dist	252	11507_6	8/27/2015
11507	Change	Sapelo River Light 149	Fl G 4s 16ft 5M "149"	N 31 31' 54.627"	W 081 16' 19.938"	31.53184	-81.2722	LNM 34/15, 7th Dist	252	11507_6	8/27/2015
11507	Relocate	Sapelo Sound Buoy 6	R N "6"	N 31 31' 57.480"	W 081 09' 07.407"	31.53263	-81.15205	LNM 34/15, 7th Dist	250	11507_4	8/27/2015
11507	Relocate	Sapelo Sound Buoy 6	R N "6"	N 31 31' 57.480"	W 081 09' 07.407"	31.53263	-81.15205	LNM 34/15, 7th Dist	252	11507_6	8/27/2015
11507	Add	Tidebox - 11507	Tidebox	N 31 19' 13.000"	W 081 14' 37.000"	31.32028	-81.24361	LNM 34/15, 7th Dist	252	11507_6	8/20/2015
11507	Relocate	Ramshorn Creek Lighted Buoy 40	R "40" Fl R 2.5s	N 32 06' 51.957"	W 080 53' 52.702"	32.11443	-80.89797	LNM 28/15, 7th Dist	247	11507_1	7/23/2015
11507	Change	Middle Marsh Light 93	Fl G 4s 12ft 5M "93"	N 31 51' 24.461"	W 081 06' 16.000"	31.85679	-81.10445	LNM 28/15, 7th Dist	249	11507_3	7/23/2015
11507	Change	Skull Creek Light 19	Fl G 4s 12ft 5M "19"	N 32 13' 26.053"	W 080 46' 01.532"	32.2239	-80.76709	LNM 28/15, 7th Dist	247	11507_1	7/23/2015
11507	Change	Vernon River Light 86	Fl R 4s 16ft 5M "86"	N 31 52' 18.834"	W 081 04' 34.288"	31.8719	-81.07619	LNM 28/15, 7th Dist	249	11507_3	7/23/2015
11507	Relocate	Ramshorn Creek Lighted Buoy 40	R "40" Fl R 2.5s	N 32 06' 53.957"	W 080 53' 52.702"	32.11499	-80.89797	LNM 24/15, 7th Dist	247	11507_1	6/25/2015
11507	Relocate	Calibogue Sound Light 31	Fl G 4s 18ft 5M "31"	N 32 10' 01.731"	W 080 47' 45.848"	32.16715	-80.79607	LNM 23/15, 7th Dist	247	11507_1	6/18/2015
11507	Relocate	Calibogue Sound Light 31	Fl G 4s 18ft 5M "31"	N 32 10' 01.731"	W 080 47' 45.848"	32.16715	-80.79607	LNM 23/15, 7th Dist	251	11507_5	6/18/2015
11507	Change	Calibogue Sound Light 31	Fl G 4s 18ft 5M "31"	N 32 10' 01.731"	W 080 47' 45.848"	32.16715	-80.79607	LNM 23/15, 7th Dist	247	11507_1	6/18/2015
11507	Change	Calibogue Sound Light 31	Fl G 4s 18ft 5M "31"	N 32 10' 01.731"	W 080 47' 45.848"	32.16715	-80.79607	LNM 23/15, 7th Dist	251	11507_5	6/18/2015
11507	Change	Depth Legend - HARBOR TOWN MARINA to:	8 ft rep 2014	N 32 08' 16.500"	W 080 48' 41.000"	32.13792	-80.81139	LNM 23/15, 7th Dist	251	11507_5	6/11/2015
11507	Delete	Sounding in Feet	4	N 32 08' 16.900"	W 080 48' 42.600"	32.13803	-80.81184	LNM 23/15, 7th Dist	251	11507_5	6/11/2015
