Chart: 11509, Current Edition: 32, Print Date: Feb. /2012, Tybee Island to Doboy Sound
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11509	Delete	Savannah River Entrance Channel Special Purpose Lighted Buoy	Y Fl Y 4s Priv	N 31 59' 30.000"	W 080 44' 06.000"	31.99167	-80.735	LNM 29/17, 7th Dist	254	11509_1	8/3/2017
11509	Relocate	Cabbage Island Spit Light 16	Fl R 4s 16ft 5M "16"	N 31 55' 08.430"	W 080 56' 44.490"	31.91901	-80.94569	LNM 12/17, 7th Dist	254	11509_1	4/13/2017
11509	Relocate	Vernon River Light 81	Fl G 4s 16ft 5M "81"	N 31 53' 59.008"	W 081 05' 40.118"	31.89972	-81.09447	LNM 03/17, 7th Dist	254	11509_1	1/26/2017
11509	Relocate	Bloody Point Range Lighted Buoy 9	G "9" Fl G 2.5s	N 32 00' 24.867"	W 080 47' 50.678"	32.00691	-80.79741	LNM 02/17, 7th Dist	254	11509_1	1/12/2017
11509	Change	Sapelo Sound Light 138	Q R 12ft 4M "138"	N 31 33' 03.142"	W 081 11' 43.876"	31.55087	-81.19552	LNM 13/16, 7th Dist	254	11509_1	4/7/2016
11509	Relocate	Ossabaw Sound North Channel Buoy 10A	R N "10A"	N 31 51' 42.531"	W 081 03' 01.861"	31.86181	-81.05051	LNM 47/15, 7th Dist	254	11509_1	11/26/2015
11509	Relocate	South Newport River Light 135	Fl G 4s 16ft 5M "135"	N 31 34' 37.112"	W 081 11' 17.084"	31.57697	-81.18808	LNM 37/15, 7th Dist	254	11509_1	9/24/2015
11509	Relocate	Doboy Sound Buoy 3	G C "3"	N 31 21' 37.795"	W 081 13' 26.308"	31.3605	-81.22398	LNM 34/15, 7th Dist	254	11509_1	8/27/2015
11509	Relocate	Sapelo Sound Buoy 6	R N "6"	N 31 31' 57.480"	W 081 09' 07.407"	31.53263	-81.15205	LNM 34/15, 7th Dist	254	11509_1	8/27/2015
11509	Change	Middle Marsh Light 93	Fl G 4s 12ft 5M "93"	N 31 51' 24.461"	W 081 06' 16.000"	31.85679	-81.10445	LNM 28/15, 7th Dist	254	11509_1	7/23/2015
11509	Change	Vernon River Light 86	Fl R 4s 16ft 5M "86"	N 31 52' 18.834"	W 081 04' 34.288"	31.8719	-81.07619	LNM 28/15, 7th Dist	254	11509_1	7/23/2015
