Chart: 11510, Current Edition: 20, Print Date: Sep. /2007, Sapelo and Doboy Sounds
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11510	Change	Depth Note to:	The controlling depth at Mean Lower Low Water was 5 feet for a width of 150 feet from Doboy Sound to Darien. May 2016	N 31 21' 00.000"	W 081 23' 56.000"	31.35	-81.39889	LNM 07/17, 7th Dist	244	11510_1	2/16/2017
11510	Change	Sapelo Sound Light 138	Q R 12ft 4M "138"	N 31 33' 03.142"	W 081 11' 43.876"	31.55087	-81.19552	LNM 13/16, 7th Dist	244	11510_1	4/7/2016
11510	Change	Doboy Island Light 180	Fl R 4s 16ft 5M "180"	N 31 24' 11.640"	W 081 19' 45.720"	31.40323	-81.32937	LNM 39/15, 7th Dist	244	11510_1	10/8/2015
11510	Change	Front River Light 151	Fl G 4s 16ft 5M "151"	N 31 31' 21.937"	W 081 17' 27.261"	31.52276	-81.29091	LNM 39/15, 7th Dist	244	11510_1	10/8/2015
11510	Relocate	South Newport River Light 135	Fl G 4s 16ft 5M "135"	N 31 34' 37.112"	W 081 11' 17.084"	31.57697	-81.18808	LNM 37/15, 7th Dist	244	11510_1	9/24/2015
11510	Relocate	Doboy Sound Buoy 3	G C "3"	N 31 21' 37.795"	W 081 13' 26.308"	31.3605	-81.22398	LNM 34/15, 7th Dist	244	11510_1	8/27/2015
11510	Change	Creighton Narrows Light 155A	Fl G 4s 16ft 5M "155A"	N 31 29' 46.000"	W 081 19' 32.000"	31.49611	-81.32555	LNM 34/15, 7th Dist	244	11510_1	8/27/2015
11510	Change	Old Teakettle Creek Light 173	Fl G 4s 16ft 5M "173"	N 31 26' 31.756"	W 081 18' 11.491"	31.44215	-81.30319	LNM 34/15, 7th Dist	244	11510_1	8/27/2015
11510	Change	Sapelo River Light 149	Fl G 4s 16ft 5M "149"	N 31 31' 54.627"	W 081 16' 19.938"	31.53184	-81.2722	LNM 34/15, 7th Dist	244	11510_1	8/27/2015
11510	Relocate	Sapelo Sound Buoy 6	R N "6"	N 31 31' 57.480"	W 081 09' 07.407"	31.53263	-81.15205	LNM 34/15, 7th Dist	244	11510_1	8/27/2015
11510	Delete	Old Teakettle Creek Range A Rear Daybeacon	RW Bn "A"	N 31 28' 55.080"	W 081 19' 01.980"	31.48197	-81.31721	LNM 20/15, 7th Dist	244	11510_1	5/28/2015
11510	Change	Old Teakettle Creek Light 162	Fl R 4s 16ft 5M "162"	N 31 28' 39.287"	W 081 19' 47.350"	31.47758	-81.32982	LNM 20/15, 7th Dist	244	11510_1	5/28/2015
11510	Change	North River Light 178A	Fl R 4s 10ft 5M "178A"	N 31 24' 31.929"	W 081 19' 09.991"	31.40887	-81.31944	LNM 19/15, 7th Dist	244	11510_1	5/21/2015
11510	Change	Rockdedundy River Light 184	Fl R 2.5s 12ft 5M "184"	N 31 23' 00.655"	W 081 19' 59.424"	31.38351	-81.33318	LNM 19/15, 7th Dist	244	11510_1	5/21/2015
11510	Change	Buttermilk Sound Light 213	Fl G 2.5s 16ft 5M "213"	N 31 19' 13.623"	W 081 22' 18.976"	31.32045	-81.37194	LNM 07/15, 7th Dist	244	11510_1	2/26/2015
11510	Delete	Little Mud River Range Front Light B	Q R 16ft	N 31 19' 55.612"	W 081 19' 37.067"	31.33212	-81.32697	LNM 49/14, 7th Dist	244	11510_1	12/18/2014
11510	Delete	Little Mud River Range Rear Light B	Iso R 6s 20ft	N 31 20' 01.980"	W 081 19' 49.320"	31.33388	-81.33037	LNM 49/14, 7th Dist	244	11510_1	12/18/2014
