Chart: 11511, Current Edition: 18, Print Date: Jul. /2011, Ossabaw and St. Catherines Sounds 
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11511	Relocate	Hell Gate Buoy 90	R N "90"	N 31 51' 33.806"	W 081 05' 02.056"	31.85939	-81.08391	LNM 07/17, 7th Dist	243	11511_1	2/23/2017
11511	Relocate	Bear River Daybeacon 109	G "109"	N 31 45' 19.449"	W 081 10' 16.575"	31.7554	-81.17127	LNM 03/17, 7th Dist	243	11511_1	1/26/2017
11511	Relocate	Ossabaw Sound North Channel Buoy 10A	R N "10A"	N 31 51' 42.531"	W 081 03' 01.861"	31.86181	-81.05051	LNM 47/15, 7th Dist	243	11511_1	11/26/2015
11511	Change	Middle Marsh Light 93	Fl G 4s 12ft 5M "93"	N 31 51' 24.461"	W 081 06' 16.000"	31.85679	-81.10445	LNM 28/15, 7th Dist	243	11511_1	7/23/2015
11511	Change	Vernon River Light 86	Fl R 4s 16ft 5M "86"	N 31 52' 18.834"	W 081 04' 34.288"	31.8719	-81.07619	LNM 28/15, 7th Dist	243	11511_1	7/23/2015
11511	Change	Ossabaw Sound South Channel Light 6	Fl R 4s 12ft 5M "6"	N 31 50' 20.886"	W 081 03' 07.969"	31.83913	-81.05222	LNM 28/15, 7th Dist	243	11511_1	7/23/2015
11511	Change	Johnson Creek Light 125	Fl G 4s 12ft 5M "125"	N 31 39' 32.944"	W 081 11' 53.973"	31.65915	-81.19833	LNM 15/15, 7th Dist	243	11511_1	4/23/2015
11511	Delete	Georgia Fish Haven Buoy CAT	Y N "CAT" Priv	N 31 40' 14.860"	W 080 58' 33.210"	31.67079	-80.97589	LNM 46/14, 7th Dist	243	11511_1	11/27/2014
11511	Delete	Georgia Fish Haven Buoy DUA	Y N "DUA" Priv	N 31 46' 46.100"	W 080 54' 11.300"	31.77947	-80.90314	LNM 46/14, 7th Dist	243	11511_1	11/27/2014
11511	Delete	Georgia Fish Haven Buoy BL	Y N "BL" Priv	N 31 38' 31.260"	W 081 04' 47.520"	31.64202	-81.07986	LNM 46/14, 7th Dist	243	11511_1	11/27/2014
11511	Relocate	Ossabaw Sound North Channel Buoy 10A	R N "10A"	N 31 51' 42.539"	W 081 03' 00.848"	31.86182	-81.05023	LNM 29/14, 7th Dist	243	11511_1	7/24/2014
11511	Relocate	Hell Gate Buoy 89	G C "89"	N 31 51' 40.842"	W 081 04' 59.565"	31.86135	-81.08321	LNM 17/14, 7th Dist	243	11511_1	5/8/2014
11511	Change	Bear River Light 105	Q G 10ft 4M "105"	N 31 47' 19.803"	W 081 09' 43.338"	31.78883	-81.16204	LNM 17/14, 7th Dist	243	11511_1	5/8/2014
11511	Change	Raccoon Key Light 87	Fl G 4s 16ft 5M "87"	N 31 51' 59.248"	W 081 04' 42.389"	31.86646	-81.07844	LNM 03/14, 7th Dist	243	11511_1	1/30/2014
11511	Change	Bear River Light 112	Fl R 4s 16ft 5M "112"	N 31 43' 28.447"	W 081 08' 58.550"	31.72457	-81.1496	LNM 49/13, 7th Dist	243	11511_1	12/18/2013
11511	Change	Hell Gate Light 91	Fl G 4s 16ft 5M "91"	N 31 51' 25.341"	W 081 05' 01.184"	31.85704	-81.08366	LNM 41/13, 7th Dist	243	11511_1	10/16/2013
11511	Add	Shoaling rep 2013	Shoaling rep 2013	N 31 52' 13.030"	W 081 03' 52.690"	31.87029	-81.06464	LNM 40/13, 7th Dist	243	11511_1	9/30/2013
11511	Relocate	Florida Passage Light 99	 Fl G 4s 12ft 5M "99"	N 31 50' 17.392"	W 081 09' 17.471"	31.83817	-81.15485	LNM 42/12, 7th Dist	243	11511_1	11/13/2012
11511	Delete	Bear River Range A Rear Daybeacon	RW "A"	N 31 47' 31.742"	W 081 11' 02.485"	31.79215	-81.18402	LNM 26/12, 7th Dist	243	11511_1	7/2/2012
11511	Delete	Bear River Range Front Light A	Fl R 4s 10ft	N 31 47' 35.687"	W 081 10' 58.024"	31.79325	-81.18279	LNM 26/12, 7th Dist	243	11511_1	7/2/2012
11511	Add	Bear River Light 104B	Fl R 4s 10ft 5M "104B"	N 31 47' 35.687"	W 081 10' 58.024"	31.79325	-81.18279	LNM 26/12, 7th Dist	243	11511_1	7/2/2012
11511	Relocate	Bear River Light 104B	Fl R 4s 10ft 5M "104B"	N 31 47' 35.687"	W 081 10' 58.024"	31.79325	-81.18279	LNM 26/12, 7th Dist	243	11511_1	7/2/2012
11511	Change	North Newport River Light 116	Fl R 4s 16ft 5M "116"	N 31 42' 07.820"	W 081 10' 39.906"	31.70217	-81.17775	LNM 16/12, 7th Dist	243	11511_1	5/7/2012
