Chart: 11512, Current Edition: 64, Print Date: Aug. /2014, Savannah River and Wassaw Sound
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11512	Relocate	Landings Harbor Light 1	F G 10ft 4M "1" Priv	N 31 57' 30.200"	W 081 00' 19.000"	31.95839	-81.00528	LNM 35/17, 7th Dist	231	11512_1	Not Yet
11512	Relocate	Landings Harbor Light 2	F R 10ft 4M "2" Priv	N 31 57' 30.490"	W 081 00' 38.580"	31.95847	-81.01072	LNM 35/17, 7th Dist	231	11512_1	Not Yet
11512	Add	Harbour Town Lighthouse	Fl 30s Priv	N 32 08' 19.100"	W 080 48' 45.400"	32.13864	-80.81261	LNM 35/17, 7th Dist	231	11512_1	Not Yet
11512	Change	tabulation - Savannah River Channel Depths	tabulation - Savannah River Channel Depths	N 32 03' 28.150"	W 081 07' 25.410"	32.05782	-81.12373	LNM 35/17, 7th Dist	231	11512_1	8/24/2017
11512	Change	Depth Legend - W Elba Island Turning Basin to:	27 FT SEP 2012	N 32 05' 13.190"	W 080 59' 13.420"	32.087	-80.98706	LNM 35/17, 7th Dist	231	11512_1	8/24/2017
11512	Delete	Savannah River Entrance Channel Special Purpose Lighted Buoy	Y Fl Y 4s Priv	N 31 59' 30.000"	W 080 44' 06.000"	31.99167	-80.735	LNM 29/17, 7th Dist	231	11512_1	8/3/2017
11512	Delete	City Front Channel Light 62	Fl R 4s 16ft 5M "62"	N 32 04' 48.841"	W 081 04' 29.645"	32.08023	-81.0749	LNM 21/17, 7th Dist	231	11512_1	6/1/2017
11512	Relocate	Jones Island Range Lighted Bell Buoy 17	G "17" Fl G 4s BELL	N 32 02' 11.253"	W 080 50' 30.572"	32.03646	-80.84183	LNM 15/17, 7th Dist	231	11512_1	4/27/2017
11512	Relocate	Walls Cut Light 42	Fl R 4s 16ft 5M "42"	N 32 05' 00.735"	W 080 55' 05.605"	32.08354	-80.91822	LNM 13/17, 7th Dist	231	11512_1	4/13/2017
11512	Change	tabulation - Savannah River Channel Depths	tabulation - Savannah River Channel Depths	N 32 02' 22.000"	W 081 08' 56.000"	32.03944	-81.14889	LNM 15/17, 7th Dist	231	11512_1	4/6/2017
11512	Relocate	Cabbage Island Spit Light 16	Fl R 4s 16ft 5M "16"	N 31 55' 08.430"	W 080 56' 44.490"	31.91901	-80.94569	LNM 12/17, 7th Dist	231	11512_1	4/6/2017
11512	Change	Elba Island Basin Range Rear Light	Iso 6s 45ft	N 32 05' 58.584"	W 080 59' 43.505"	32.09961	-80.99541	LNM 07/17, 7th Dist	231	11512_1	2/23/2017
11512	Change	Calibogue Sound Light 32	Q R 16ft 5M "32"	N 32 08' 59.617"	W 080 49' 49.530"	32.14989	-80.83042	LNM 06/17, 7th Dist	231	11512_1	2/23/2017
11512	Relocate	Jones Island Range Lighted Bell Buoy 17	G "17" Fl G 4s BELL	N 32 02' 11.729"	W 080 50' 23.720"	32.03659	-80.83992	LNM 05/17, 7th Dist	231	11512_1	2/9/2017
11512	Relocate	Vernon River Light 81	Fl G 4s 16ft 5M "81"	N 31 53' 59.008"	W 081 05' 40.118"	31.89972	-81.09447	LNM 03/17, 7th Dist	231	11512_1	1/26/2017
11512	Relocate	Bloody Point Range Lighted Buoy 9	G "9" Fl G 2.5s	N 32 00' 24.867"	W 080 47' 50.678"	32.00691	-80.79741	LNM 02/17, 7th Dist	231	11512_1	1/12/2017
11512	Relocate	Calibogue Sound Entrance Lighted Buoy 6	R "6" Fl R 6s	N 32 06' 19.187"	W 080 49' 46.901"	32.10533	-80.8297	LNM 44/16, 7th Dist	231	11512_1	11/3/2016
11512	Change	tabulation - Savannah River	tabulation - Savannah River	N 32 02' 22.000"	W 081 08' 56.000"	32.03944	-81.14889	LNM 30/16, 7th Dist	231	11512_1	8/4/2016
11512	Relocate	St Augustine Creek Daybeacon A15	G "A15"	N 32 04' 37.193"	W 081 00' 00.223"	32.077	-81.00006	LNM 13/16, 7th Dist	231	11512_1	4/7/2016
11512	Change	Skidaway River Light 42	Fl R 4s 16ft 5M "42"	N 31 59' 35.749"	W 081 01' 13.832"	31.99326	-81.02051	LNM 03/16, 7th Dist	231	11512_1	1/28/2016
11512	Change	Skidaway River Light 43	Fl G 4s 16ft 5M "43"	N 31 59' 15.068"	W 081 02' 02.783"	31.98752	-81.0341	LNM 03/16, 7th Dist	231	11512_1	1/28/2016
11512	Change	Elba Island Cut Light 10	Q R 16ft 5M "10"	N 32 03' 49.905"	W 080 59' 41.816"	32.06386	-80.99495	LNM 01/16, 7th Dist	231	11512_1	1/7/2016
