Chart: 11522, Current Edition: 21, Print Date: Apr. /2010, Stono and North Edisto Rivers
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11522	Add	Dangerous Wreck	PA	N 32 31' 10.333"	W 080 06' 25.133"	32.51954	-80.10698	LNM 17/17, 7th Dist	220	11522_1	5/4/2017
11522	Relocate	Stono River Daybeacon 20	R "20"	N 32 46' 04.910"	W 080 00' 39.630"	32.76803	-80.01101	LNM 13/17, 7th Dist	220	11522_1	4/13/2017
11522	Relocate	Wadmalaw River Light 102	Fl R 4s 12ft 5M "102"	N 32 39' 08.495"	W 080 15' 26.861"	32.65236	-80.25746	LNM 17/16, 7th Dist	220	11522_1	5/5/2016
11522	Relocate	Wadmalaw River Daybeacon 89	G "89"	N 32 41' 36.094"	W 080 13' 14.085"	32.69336	-80.22058	LNM 17/16, 7th Dist	220	11522_1	5/5/2016
11522	Relocate	Folly River Buoy 16	R N "16"	N 32 38' 43.211"	W 079 58' 24.405"	32.64534	-79.97344	LNM 12/16, 7th Dist	220	11522_1	3/31/2016
11522	Change	Stono River Preferred Channel Light B	Fl (2+1) G 6s 16ft 5M "B"	N 32 46' 00.622"	W 080 00' 06.063"	32.76684	-80.00169	LNM 24/15, 7th Dist	220	11522_1	6/25/2015
11522	Change	Wadmalaw River Light 99	Fl G 4s 12ft 5M "99"	N 32 39' 15.052"	W 080 14' 26.091"	32.65418	-80.24058	LNM 23/15, 7th Dist	220	11522_1	6/18/2015
11522	Change	Wadmalaw River Light 69	Fl G 4s 12ft 5M "69"	N 32 43' 00.725"	W 080 10' 45.803"	32.71687	-80.17939	LNM 23/15, 7th Dist	220	11522_1	6/18/2015
11522	Relocate	Stono River Daybeacon 49	G "49"	N 32 45' 58.520"	W 080 07' 58.760"	32.76625	-80.13299	LNM 12/15, 7th Dist	220	11522_1	4/2/2015
11522	Change	Stono River Light 21	Fl G 4s 12ft 5M "21"	N 32 46' 03.388"	W 080 01' 27.809"	32.76761	-80.02439	LNM 12/15, 7th Dist	220	11522_1	4/2/2015
11522	Relocate	North Edisto River Inner Lighted Buoy 9	G "9" Fl G 4s	N 32 32' 43.036"	W 080 09' 51.920"	32.54529	-80.16442	LNM 12/15, 7th Dist	220	11522_1	4/2/2015
11522	Relocate	Folly River Buoy 12	R N "12"	N 32 38' 36.877"	W 079 58' 49.862"	32.64358	-79.98051	LNM 11/15, 7th Dist	220	11522_1	3/19/2015
11522	Change	Wadmalaw River Light 102	Fl R 4s 12ft 5M "102"	N 32 39' 08.160"	W 080 15' 27.000"	32.65227	-80.2575	LNM 51/14, 7th Dist	220	11522_1	1/1/2015
