Chart: 11527, Current Edition: 18, Print Date: Nov. /2011, Cooper River Above Goose Creek
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11527	Change	Depth Legend - CHARLESTON HARBOR to:	36 1/2 FT 2011-2012	N 32 54' 30.300"	W 079 56' 46.700"	32.90842	-79.9463	LNM 16/15, 7th Dist	219	11527_1	4/16/2015
11527	Change	Cooper River Light 69	Fl G 4s 16ft 5M "69"	N 32 54' 54.756"	W 079 55' 53.093"	32.91521	-79.93141	LNM 12/15, 7th Dist	219	11527_1	4/2/2015
11527	Change	Cooper River Light 105	Q G 16ft 4M "105"	N 32 59' 40.908"	W 079 55' 27.944"	32.9947	-79.92443	LNM 05/15, 7th Dist	219	11527_1	2/12/2015
11527	Change	Cooper River Light 88	Fl R 2.5s 16ft 5M "88"	N 32 58' 01.000"	W 079 55' 28.000"	32.96695	-79.92445	LNM 05/15, 7th Dist	219	11527_1	2/12/2015
11527	Change	Cooper River Light 99	Fl G 2.5s 16ft 5M "99"	N 32 58' 38.015"	W 079 54' 42.646"	32.97723	-79.91184	LNM 05/15, 7th Dist	219	11527_1	2/12/2015
11527	Change	Cooper River Light 104	Q R 16ft 4M "104"	N 32 59' 04.128"	W 079 55' 19.980"	32.98448	-79.92222	LNM 51/14, 7th Dist	219	11527_1	1/1/2015
11527	Change	Cooper River Light 86	Fl R 4s 16ft 5M "86"	N 32 57' 47.562"	W 079 55' 04.919"	32.96321	-79.91803	LNM 51/14, 7th Dist	219	11527_1	1/1/2015
11527	Add	Fixed Bridge PT 1 OF 2	Chart No. 1: D22	N 32 55' 07.630"	W 079 57' 23.080"	32.91879	-79.95641	LNM 23/14, 7th Dist	219	11527_1	6/12/2014
11527	Add	Fixed Bridge PT 2 OF 2	Chart No. 1: D22	N 32 54' 58.980"	W 079 57' 47.500"	32.91638	-79.9632	LNM 23/14, 7th Dist	219	11527_1	6/12/2014
11527	Add	Fixed Bridge Label	FIXED BRIDGE	N 32 55' 06.590"	W 079 57' 25.920"	32.9185	-79.9572	LNM 23/14, 7th Dist	219	11527_1	6/12/2014
11527	Relocate	Cooper River Range F Rear Light	Iso 6s 22ft	N 32 56' 19.580"	W 079 55' 26.410"	32.93877	-79.924	LNM 46/13, 7th Dist	219	11527_1	12/2/2013
11527	Relocate	Cooper River Range D Rear Light	Iso 6s 23ft	N 32 56' 25.063"	W 079 55' 25.226"	32.9403	-79.92368	LNM 23/13, 7th Dist	219	11527_1	6/21/2013
11527	Change	Cooper River Range D Rear Light	Iso 6s 25ft	N 32 56' 25.063"	W 079 55' 25.226"	32.9403	-79.92368	LNM 23/13, 7th Dist	219	11527_1	6/21/2013
11527	Relocate	Cooper River Range H Front Light	Q 16ft	N 32 58' 25.922"	W 079 54' 37.952"	32.97387	-79.91055	LNM 23/13, 7th Dist	219	11527_1	6/21/2013
11527	Relocate	Cooper River Range H Rear Light	Iso 6s 22ft	N 32 58' 20.610"	W 079 54' 37.405"	32.97239	-79.91039	LNM 23/13, 7th Dist	219	11527_1	6/21/2013
11527	Change	Cooper River Range H Front Light	Q 11ft	N 32 58' 25.922"	W 079 54' 37.952"	32.97387	-79.91055	LNM 23/13, 7th Dist	219	11527_1	6/21/2013
11527	Change	Cooper River Range H Rear Light	Iso 6s 20ft	N 32 58' 20.610"	W 079 54' 37.405"	32.97239	-79.91039	LNM 23/13, 7th Dist	219	11527_1	6/21/2013
11527	Relocate	Cooper River Range I Rear Light	Iso R 6s 22ft	N 32 59' 35.787"	W 079 54' 41.811"	32.99327	-79.91161	LNM 23/13, 7th Dist	219	11527_1	6/21/2013
11527	Change	Cooper River Range I Front Light 110	Q R 12ft "110"	N 32 59' 36.101"	W 079 54' 44.702"	32.99336	-79.91241	LNM 23/13, 7th Dist	219	11527_1	6/21/2013
11527	Change	Cooper River Range I Rear Light	Iso R 6s 19ft	N 32 59' 35.787"	W 079 54' 41.811"	32.99327	-79.91161	LNM 23/13, 7th Dist	219	11527_1	6/21/2013
11527	Change	Cooper River Light 93	Fl G 2.5s 16ft 5M "93"	N 32 58' 26.558"	W 079 55' 10.515"	32.97404	-79.91959	LNM 22/13, 7th Dist	219	11527_1	6/20/2013
11527	Relocate	Cooper River Range E Front Light	Q 16ft	N 32 56' 07.051"	W 079 55' 50.101"	32.93529	-79.93058	LNM 12/13, 7th Dist	219	11527_1	4/2/2013
