Chart: 11531, Current Edition: 23, Print Date: Sep. /2012, Winyah Bay to Bulls Bay
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11531	Change	Winyah Bay Range A Front Light	Iso 4s 13ft (Night) Fl 2.5s 19ft (Day)	N 33 11' 34.023"	W 079 10' 04.771"	33.19278	-79.16799	LNM 48/16, 7th Dist	229	11531_1	12/8/2016
11531	Delete	Channel Limits PT 1 OF 6	Chart No. 1: I20	N 32 59' 16.340"	W 079 27' 55.960"	32.98787	-79.46555	LNM 48/16, 7th Dist	229	11531_1	11/24/2016
11531	Delete	Channel Limits PT 2 OF 6	Chart No. 1: I20	N 33 00' 21.540"	W 079 28' 25.800"	33.00598	-79.47383	LNM 48/16, 7th Dist	229	11531_1	11/24/2016
11531	Delete	Channel Limits PT 3 OF 6	Chart No. 1: I20	N 33 00' 35.790"	W 079 28' 40.360"	33.00994	-79.47787	LNM 48/16, 7th Dist	229	11531_1	11/24/2016
11531	Delete	Channel Limits PT 4 OF 6	Chart No. 1: I20	N 32 59' 15.960"	W 079 27' 57.110"	32.98777	-79.46587	LNM 48/16, 7th Dist	229	11531_1	11/24/2016
11531	Delete	Channel Limits PT 5 OF 6	Chart No. 1: I20	N 33 00' 21.110"	W 079 28' 26.840"	33.00586	-79.47412	LNM 48/16, 7th Dist	229	11531_1	11/24/2016
11531	Delete	Channel Limits PT 6 OF 6	Chart No. 1: I20	N 33 00' 35.160"	W 079 28' 41.270"	33.00977	-79.47813	LNM 48/16, 7th Dist	229	11531_1	11/24/2016
11531	Add	Depth Legend - Town Creek Entrance (Clark Creek) Channel to:	8 FT APR 2016	N 33 00' 15.700"	W 079 28' 32.100"	33.00436	-79.47559	LNM 48/16, 7th Dist	229	11531_1	11/24/2016
11531	Add	Channel Limits PT 1 OF 6	Chart No. 1: I20	N 32 59' 01.030"	W 079 28' 39.760"	32.98362	-79.47771	LNM 48/16, 7th Dist	229	11531_1	11/24/2016
11531	Add	Channel Limits PT 2 OF 6	Chart No. 1: I20	N 33 00' 16.100"	W 079 28' 30.880"	33.00447	-79.47524	LNM 48/16, 7th Dist	229	11531_1	11/24/2016
11531	Add	Channel Limits PT 3 OF 6	Chart No. 1: I20	N 33 00' 35.820"	W 079 28' 39.800"	33.00995	-79.47772	LNM 48/16, 7th Dist	229	11531_1	11/24/2016
11531	Add	Channel Limits PT 4 OF 6	Chart No. 1: I20	N 32 59' 01.210"	W 079 28' 41.950"	32.98367	-79.47832	LNM 48/16, 7th Dist	229	11531_1	11/24/2016
11531	Add	Channel Limits PT 5 OF 6	Chart No. 1: I20	N 33 00' 15.800"	W 079 28' 33.110"	33.00439	-79.47586	LNM 48/16, 7th Dist	229	11531_1	11/24/2016
