Chart: 11532, Current Edition: 22, Print Date: Oct. /2012, Winyah Bay
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11532	Change	Sampit Point Channel Light 46	Fl R 4s 16ft 5M "46"	N 33 21' 55.050"	W 079 17' 17.508"	33.36529	-79.2882	LNM 13/17, 7th Dist	212	11532_1	4/13/2017
11532	Change	Sampit River Side Channel Light 48	Fl R 4s 16ft 5M "48"	N 33 21' 59.712"	W 079 17' 16.488"	33.36658	-79.28791	LNM 13/17, 7th Dist	212	11532_1	4/13/2017
11532	Change	Winyah Bay Range A Front Light	Iso 4s 13ft (Night) Fl 2.5s 19ft (Day)	N 33 11' 34.023"	W 079 10' 04.771"	33.19278	-79.16799	LNM 48/16, 7th Dist	212	11532_1	12/8/2016
11532	Change	Depth Legend - Bypass Channel Turning Basin to:	BYPASS CHANNEL TURNING BASIN 9 FT DEC 2015	N 33 22' 03.200"	W 079 17' 17.300"	33.36755	-79.28814	LNM 46/16, 7th Dist	212	11532_1	11/10/2016
11532	Change	tabulation - WINYAH  BAY  AND  GEORGETOWN  HARBOR	tabulation - WINYAH  BAY  AND  GEORGETOWN  HARBOR	N 33 18' 46.000"	W 079 23' 05.000"	33.31278	-79.38472	LNM 46/16, 7th Dist	212	11532_1	11/10/2016
11532	Add	Sounding in Feet	2	N 33 18' 38.100"	W 079 09' 01.700"	33.31059	-79.15047	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Delete	Sounding in Feet	15	N 33 18' 19.970"	W 079 09' 19.360"	33.30555	-79.15538	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Delete	Sounding in Feet	11	N 33 18' 24.990"	W 079 09' 24.100"	33.30694	-79.15669	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Delete	Sounding in Feet	5	N 33 18' 20.000"	W 079 09' 52.000"	33.30556	-79.16444	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Add	Low water area PT 1 OF 4	Low water area	N 33 18' 27.710"	W 079 09' 18.610"	33.3077	-79.15517	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Add	Low water area PT 2 OF 4	Low water area	N 33 18' 21.960"	W 079 09' 16.000"	33.3061	-79.15444	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Add	Low water area PT 3 OF 4	Low water area	N 33 18' 17.980"	W 079 09' 36.440"	33.30499	-79.16013	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Add	Low water area PT 4 OF 4	Low water area	N 33 18' 21.540"	W 079 09' 38.430"	33.30598	-79.16068	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Delete	Sounding in Feet	5	N 33 18' 45.200"	W 079 09' 24.400"	33.31256	-79.15678	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Delete	12 ft depth curve PT 1 OF 2	12 ft depth curve	N 33 18' 11.700"	W 079 09' 07.000"	33.30325	-79.15195	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Delete	12 ft depth curve PT 2 OF 2	12 ft depth curve	N 33 18' 50.500"	W 079 08' 54.300"	33.31403	-79.14841	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Delete	Sounding in Feet	17	N 33 18' 36.800"	W 079 08' 57.900"	33.31022	-79.14941	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Delete	Sounding in Feet	15	N 33 18' 34.500"	W 079 09' 08.600"	33.30958	-79.15239	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Delete	Sounding in Feet	10	N 33 18' 19.450"	W 079 09' 30.330"	33.3054	-79.15842	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Delete	Sounding in Feet	7	N 33 18' 25.000"	W 079 09' 35.700"	33.30695	-79.15992	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Delete	Sounding in Feet	5	N 33 18' 33.400"	W 079 09' 45.900"	33.30928	-79.16275	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Delete	6 ft depth curve PT 1 OF 2	6 ft depth curve	N 33 18' 11.500"	W 079 09' 52.000"	33.3032	-79.16444	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Delete	6 ft depth curve PT 2 OF 2	6 ft depth curve	N 33 18' 44.000"	W 079 09' 04.200"	33.31222	-79.15117	LNM 33/16, 7th Dist	212	11532_1	8/11/2016
11532	Change	Winyah Bay - Charleston Harbor Light 4 	Fl R 4s 16ft 5M "4"	N 33 11' 43.152"	W 079 16' 19.800"	33.19532	-79.27216	LNM 40/15, 7th Dist	212	11532_1	10/15/2015
11532	Change	tabulation - WINYAH BAY AND GEORGETOWN HARBOR	tabulation - WINYAH BAY AND GEORGETOWN HARBOR	N 33 18' 46.000"	W 079 23' 05.000"	33.31278	-79.38472	LNM 33/15, 7th Dist	212	11532_1	8/13/2015
11532	Change	Little River - Winyah Bay Light 95	Fl G 4s 16ft 5M "95"	N 33 21' 06.247"	W 079 15' 51.836"	33.35173	-79.2644	LNM 25/15, 7th Dist	212	11532_1	7/2/2015
11532	Change	Winyah Bay - Charleston Harbor Light 15	Fl G 4s 16ft 5M "15"	N 33 10' 20.340"	W 079 17' 25.122"	33.17232	-79.29031	LNM 23/15, 7th Dist	212	11532_1	6/18/2015
11532	Add	Magenta Channel Reach Separation Line PT 1 OF 2	Magenta Channel Reach Separation Line	N 33 22' 03.200"	W 079 17' 14.100"	33.36755	-79.28725	LNM 23/15, 7th Dist	212	11532_1	6/11/2015
11532	Add	Magenta Channel Reach Separation Line PT 2 OF 2	Magenta Channel Reach Separation Line	N 33 22' 02.300"	W 079 17' 14.500"	33.36731	-79.28736	LNM 23/15, 7th Dist	212	11532_1	6/11/2015
11532	Change	Channel Reach Name	SAMPIT CHANNEL	N 33 21' 10.000"	W 079 16' 51.000"	33.35278	-79.28083	LNM 23/15, 7th Dist	212	11532_1	6/11/2015
11532	Delete	Magenta Channel Reach Separation Line PT 1 OF 2	Magenta Channel Reach Separation Line	N 33 12' 31.300"	W 079 11' 07.000"	33.20869	-79.18528	LNM 23/15, 7th Dist	212	11532_1	6/11/2015
11532	Delete	Magenta Channel Reach Separation Line PT 2 OF 2	Magenta Channel Reach Separation Line	N 33 12' 32.500"	W 079 11' 02.500"	33.20903	-79.18403	LNM 23/15, 7th Dist	212	11532_1	6/11/2015
11532	Add	Magenta Channel Reach Separation Line PT 1 OF 2	Magenta Channel Reach Separation Line	N 33 12' 27.400"	W 079 11' 05.600"	33.20761	-79.18489	LNM 23/15, 7th Dist	212	11532_1	6/11/2015
11532	Add	Magenta Channel Reach Separation Line PT 2 OF 2	Magenta Channel Reach Separation Line	N 33 12' 29.500"	W 079 11' 00.200"	33.20819	-79.18339	LNM 23/15, 7th Dist	212	11532_1	6/11/2015
