Chart: 11534, Current Edition: 39, Print Date: Nov. /2015, Intracoastal Waterway Myrtle Grove Sound and Cape Fear River to Casino Creek
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11534	Relocate	Cape Fear River - Little River Buoy 46A	R N "46A"	N 33 55' 16.038"	W 078 14' 04.835"	33.92112	-78.23468	LNM 35/17, 5th Dist	203	11534_2	9/7/2017
11534	Relocate	Cape Fear River - Little River Buoy 46A	R N "46A"	N 33 55' 16.038"	W 078 14' 04.835"	33.92112	-78.23468	LNM 35/17, 5th Dist	205	11534_4	9/7/2017
11534	Relocate	Cape Fear River - Little River Buoy 46B	R N "46B"	N 33 55' 15.653"	W 078 14' 10.860"	33.92101	-78.23635	LNM 35/17, 5th Dist	203	11534_2	9/7/2017
11534	Relocate	Cape Fear River - Little River Buoy 46B	R N "46B"	N 33 55' 15.653"	W 078 14' 10.860"	33.92101	-78.23635	LNM 35/17, 5th Dist	205	11534_4	9/7/2017
11534	Add	Pipeline Area  PT 1 OF 4	Chart No. 1: L40.2	N 33 44' 54.470"	W 078 50' 50.190"	33.74846	-78.84727	LNM 31/17, 7th Dist	206	11534_5	8/3/2017
11534	Add	Pipeline Area  PT 2 OF 4	Chart No. 1: L40.2	N 33 45' 02.000"	W 078 50' 56.780"	33.75056	-78.84911	LNM 31/17, 7th Dist	206	11534_5	8/3/2017
11534	Add	Pipeline Area  PT 3 OF 4	Chart No. 1: L40.2	N 33 44' 51.220"	W 078 50' 56.940"	33.74756	-78.84915	LNM 31/17, 7th Dist	206	11534_5	8/3/2017
11534	Add	Pipeline Area  PT 4 OF 4	Chart No. 1: L40.2	N 33 44' 59.000"	W 078 51' 03.930"	33.74972	-78.85109	LNM 31/17, 7th Dist	206	11534_5	8/3/2017
11534	Delete	Upper Winyah Bay Inshore Reef Buoy	Y C Priv	N 33 17' 08.000"	W 079 14' 58.000"	33.28556	-79.24944	LNM 29/17, 7th Dist	209	11534_8	8/3/2017
11534	Delete	depth note: Shl to 1 ft 2017	Shl to 1 FT 2017	N 33 55' 17.450"	W 078 14' 05.940"	33.92151	-78.23499	LNM 31/17, 5th Dist	203	11534_2	7/27/2017
11534	Delete	depth note: Shl to 1 ft 2017	Shl to 1 FT 2017	N 33 55' 17.450"	W 078 14' 05.940"	33.92151	-78.23499	LNM 31/17, 5th Dist	205	11534_4	7/27/2017
11534	Add	depth note: Shl to 3 ft 2017	Shl to 3 FT 2017	N 33 55' 17.150"	W 078 14' 11.270"	33.92143	-78.23647	LNM 31/17, 5th Dist	203	11534_2	7/27/2017
11534	Add	depth note: Shl to 3 ft 2017	Shl to 3 FT 2017	N 33 55' 17.150"	W 078 14' 11.270"	33.92143	-78.23647	LNM 31/17, 5th Dist	205	11534_4	7/27/2017
11534	Add	depth note: Shl to 5 ft 2017	Shl to 5 FT 2017	N 33 55' 17.370"	W 078 14' 03.010"	33.92149	-78.23417	LNM 31/17, 5th Dist	203	11534_2	7/27/2017
11534	Add	depth note: Shl to 5 ft 2017	Shl to 5 FT 2017	N 33 55' 17.370"	W 078 14' 03.010"	33.92149	-78.23417	LNM 31/17, 5th Dist	205	11534_4	7/27/2017
11534	Delete	depth note: Shl to 4 ft 2016	Shl to 4 FT 2016	N 34 04' 51.330"	W 077 52' 58.130"	34.08092	-77.88281	LNM 31/17, 5th Dist	202	11534_1	7/27/2017
11534	Add	depth note: Shl to 5 ft 2017	Shl to 5 FT 2017	N 34 04' 52.220"	W 077 52' 55.300"	34.08117	-77.88203	LNM 31/17, 5th Dist	202	11534_1	7/27/2017
11534	Relocate	Sunny Point Terminal Central Channel Light 14	Fl R 4s 15ft 4M "14"	N 34 00' 58.567"	W 077 56' 56.124"	34.01627	-77.94892	LNM 28/17, 5th Dist	202	11534_1	7/20/2017
11534	Change	Depth Legend - Papermill Channel, SC to:	15 1/2 FT MID 2017	N 33 21' 33.000"	W 079 17' 13.700"	33.35917	-79.28714	LNM 29/17, 7th Dist	208	11534_7	7/13/2017
11534	Change	Depth Legend - Bypass Channel Turning Basin to:	8 FT MAR 2017	N 33 22' 03.200"	W 079 17' 17.300"	33.36755	-79.28814	LNM 29/17, 7th Dist	208	11534_7	7/13/2017
11534	Change	Depth Legend - Sampit Channel, SC to:	SHOALING TO BARE MAR 2017	N 33 21' 16.200"	W 079 16' 54.800"	33.3545	-79.28189	LNM 29/17, 7th Dist	208	11534_7	7/13/2017
11534	Change	Depth Legend - Steelmill Channel, SC to:	SHOALING TO BARE 2017	N 33 21' 53.600"	W 079 17' 21.000"	33.36489	-79.28917	LNM 29/17, 7th Dist	208	11534_7	7/13/2017
11534	Change	Depth Legend - Papermill Turning Basin, SC to:	15 1/2 FT MID 2017	N 33 21' 28.800"	W 079 17' 30.500"	33.358	-79.29181	LNM 29/17, 7th Dist	208	11534_7	7/13/2017
11534	Change	Depth Legend - Bypass Channel, SC to:	6 FT MAR 2017	N 33 21' 48.900"	W 079 16' 54.700"	33.36358	-79.28186	LNM 29/17, 7th Dist	208	11534_7	7/13/2017
11534	Relocate	Sunny Point Terminal South Entrance Light 5S	Q G 15ft 4M "5S"	N 33 59' 08.713"	W 077 57' 18.493"	33.98575	-77.95514	LNM 23/17, 5th Dist	202	11534_1	6/8/2017
11534	Relocate	Murrells Inlet Buoy 19A	G C "19A"	N 33 33' 14.304"	W 079 01' 16.329"	33.55397	-79.0212	LNM 19/17, 7th Dist	210	11534_9	5/18/2017
11534	Relocate	Cape Fear River - Little River Buoy 81	G C "81"	N 33 54' 24.630"	W 078 23' 03.936"	33.90684	-78.38443	LNM 19/17, 5th Dist	205	11534_4	5/18/2017
11534	Relocate	Cape Fear River Entrance Channel Lighted Buoy 12	R "12" Fl R 2.5s	N 33 51' 50.122"	W 078 01' 02.198"	33.86392	-78.01728	LNM 18/17, 5th Dist	202	11534_1	5/11/2017
11534	Relocate	New River - Cape Fear River Buoy 154	R N "154"	N 34 04' 53.551"	W 077 52' 59.132"	34.08154	-77.88309	LNM 18/17, 5th Dist	202	11534_1	5/11/2017
11534	Relocate	New River - Cape Fear River Buoy 154A	R N "154A"	N 34 04' 38.888"	W 077 53' 04.638"	34.07747	-77.88462	LNM 18/17, 5th Dist	202	11534_1	5/11/2017
11534	Change	Sampit Point Channel Light 46	Fl R 4s 16ft 5M "46"	N 33 21' 55.050"	W 079 17' 17.508"	33.36529	-79.2882	LNM 13/17, 7th Dist	208	11534_7	4/13/2017
11534	Change	Sampit River Side Channel Light 48	Fl R 4s 16ft 5M "48"	N 33 21' 59.712"	W 079 17' 16.488"	33.36658	-79.28791	LNM 13/17, 7th Dist	208	11534_7	4/13/2017
11534	Relocate	Cape Fear River - Little River Buoy 46A	R N "46A"	N 33 55' 16.891"	W 078 14' 03.544"	33.92136	-78.23431	LNM 13/17, 5th Dist	203	11534_2	4/6/2017
11534	Relocate	Cape Fear River - Little River Buoy 46A	R N "46A"	N 33 55' 16.891"	W 078 14' 03.544"	33.92136	-78.23431	LNM 13/17, 5th Dist	205	11534_4	4/6/2017
11534	Relocate	Cape Fear River - Little River Buoy 46B	R N "46B"	N 33 55' 16.457"	W 078 14' 08.111"	33.92124	-78.23559	LNM 13/17, 5th Dist	203	11534_2	4/6/2017
11534	Relocate	Cape Fear River - Little River Buoy 46B	R N "46B"	N 33 55' 16.457"	W 078 14' 08.111"	33.92124	-78.23559	LNM 13/17, 5th Dist	205	11534_4	4/6/2017
11534	Relocate	Cape Fear River - Little River Buoy 47	G C "47"	N 33 55' 14.952"	W 078 14' 02.364"	33.92082	-78.23399	LNM 13/17, 5th Dist	203	11534_2	4/6/2017
11534	Relocate	Cape Fear River - Little River Buoy 47	G C "47"	N 33 55' 14.952"	W 078 14' 02.364"	33.92082	-78.23399	LNM 13/17, 5th Dist	205	11534_4	4/6/2017
11534	Relocate	Cape Fear River - Little River Buoy 47A	G C "47A"	N 33 55' 12.542"	W 078 14' 19.056"	33.92015	-78.23862	LNM 13/17, 5th Dist	203	11534_2	4/6/2017
11534	Relocate	Cape Fear River - Little River Buoy 47A	G C "47A"	N 33 55' 12.542"	W 078 14' 19.056"	33.92015	-78.23862	LNM 13/17, 5th Dist	205	11534_4	4/6/2017
11534	Delete	Little River - Winyah Bay Daybeacon 27	G "27"	N 33 40' 11.206"	W 079 03' 36.719"	33.66978	-79.0602	LNM 10/17, 7th Dist	207	11534_6	3/16/2017
11534	Relocate	Cape Fear River - Little River Light 48A	Fl R 4s 15ft 3M "48A"	N 33 55' 13.061"	W 078 14' 33.679"	33.9203	-78.24269	LNM 10/17, 5th Dist	203	11534_2	3/16/2017
11534	Relocate	Cape Fear River - Little River Light 48A	Fl R 4s 15ft 3M "48A"	N 33 55' 13.061"	W 078 14' 33.679"	33.9203	-78.24269	LNM 10/17, 5th Dist	205	11534_4	3/16/2017
11534	Change	Oak Island Channel Light 8	Fl R 4s 15ft 4M "8"	N 33 53' 56.820"	W 078 01' 44.827"	33.89912	-78.02912	LNM 09/17, 5th Dist	202	11534_1	3/9/2017
11534	Change	Oak Island Channel Light 8	Fl R 4s 15ft 4M "8"	N 33 53' 56.820"	W 078 01' 44.827"	33.89912	-78.02912	LNM 09/17, 5th Dist	203	11534_2	3/9/2017
11534	Relocate	Cape Fear River - Little River Light 7	Fl G 2.5s 15ft 3M "7"	N 33 55' 09.489"	W 078 03' 16.781"	33.9193	-78.05466	LNM 09/17, 5th Dist	203	11534_2	3/9/2017
11534	Relocate	Cape Fear River - Little River Buoy 81	G C "81"	N 33 54' 26.156"	W 078 23' 04.551"	33.90726	-78.3846	LNM 07/17, 5th Dist	205	11534_4	2/23/2017
11534	Add	Shoaling Label	Shoaling to 1 ft 2016	N 33 54' 23.230"	W 078 23' 05.550"	33.90645	-78.38487	LNM 09/17, 5th Dist	205	11534_4	2/23/2017
11534	Add	Obstruction	Obstn PA         Chart No. 1: K40	N 33 54' 02.580"	W 078 24' 47.580"	33.90071	-78.41322	LNM 09/17, 5th Dist	205	11534_4	2/23/2017
11534	Relocate	Cape Fear River - Little River Light 101	Fl G 4s 15ft 4M "101"	N 33 53' 15.464"	W 078 29' 08.176"	33.88763	-78.4856	LNM 06/17, 5th Dist	205	11534_4	2/16/2017
11534	Relocate	Cape Fear River - Little River Light 116	Fl R 4s 15ft 4M "116"	N 33 51' 55.084"	W 078 33' 43.854"	33.8653	-78.56218	LNM 06/17, 5th Dist	205	11534_4	2/16/2017
11534	Change	Cape Fear River - Little River Light 116	Fl R 4s 15ft 4M "116"	N 33 51' 55.084"	W 078 33' 43.854"	33.8653	-78.56218	LNM 06/17, 5th Dist	205	11534_4	2/16/2017
11534	Change	Cape Fear River - Little River Light 50	Fl R 4s 15ft 4M "50"	N 33 55' 07.458"	W 078 15' 19.617"	33.91874	-78.25545	LNM 05/17, 5th Dist	205	11534_4	2/9/2017
11534	Change	Shoaling Label	Shl to 1 FT 2016	N 34 02' 20.880"	W 077 55' 53.680"	34.03913	-77.93158	LNM 06/17, 5th Dist	202	11534_1	2/2/2017
11534	Add	Shoaling Label	Shl to 3 FT 2016	N 34 03' 07.260"	W 077 55' 03.610"	34.05202	-77.91767	LNM 06/17, 5th Dist	202	11534_1	2/2/2017
11534	Add	Shoaling Label	Shl to 4 FT 2016	N 34 03' 35.780"	W 077 53' 23.520"	34.05994	-77.88987	LNM 06/17, 5th Dist	202	11534_1	2/2/2017
11534	Delete	NC Artificial Fishing Reef Buoy AR425	Y C "AR425" Priv	N 33 53' 06.626"	W 078 07' 22.976"	33.88517	-78.12305	LNM 03/17, 5th Dist	203	11534_2	1/26/2017
11534	Change	Calabash Creek Light 4	Fl R 2.5s 15ft 4M "4"	N 33 52' 33.416"	W 078 34' 20.304"	33.87595	-78.5723	LNM 02/17, 5th Dist	205	11534_4	1/12/2017
11534	Change	Calabash Creek Light 10	Fl R 4s 15ft 4M "10"	N 33 53' 06.467"	W 078 33' 57.619"	33.88513	-78.566	LNM 02/17, 5th Dist	205	11534_4	1/12/2017
11534	Delete	Channel Limits PT 1 OF 4	Chart No. 1: I20	N 34 05' 00.310"	W 077 52' 54.710"	34.08342	-77.88187	LNM 51/16, 5th Dist	202	11534_1	12/15/2016
11534	Delete	Channel Limits PT 2 OF 4	Chart No. 1: I20	N 34 04' 41.880"	W 077 53' 00.620"	34.0783	-77.88351	LNM 51/16, 5th Dist	202	11534_1	12/15/2016
11534	Delete	Channel Limits PT 3 OF 4	Chart No. 1: I20	N 34 05' 00.570"	W 077 52' 55.750"	34.08349	-77.88216	LNM 51/16, 5th Dist	202	11534_1	12/15/2016
11534	Delete	Channel Limits PT 4 OF 4	Chart No. 1: I20	N 34 04' 41.990"	W 077 53' 01.720"	34.07833	-77.88381	LNM 51/16, 5th Dist	202	11534_1	12/15/2016
11534	Delete	Intracoastal Waterway Course Line PT 1 OF 2	(Chart No. 1: M3)	N 34 05' 00.340"	W 077 52' 55.340"	34.08343	-77.88204	LNM 51/16, 5th Dist	202	11534_1	12/15/2016
11534	Delete	Intracoastal Waterway Course Line PT 2 OF 2	(Chart No. 1: M3)	N 34 04' 41.990"	W 077 53' 01.390"	34.07833	-77.88372	LNM 51/16, 5th Dist	202	11534_1	12/15/2016
11534	Add	Legend:	Shl to bare 2016	N 34 02' 22.100"	W 077 55' 53.200"	34.03947	-77.93144	LNM 51/16, 5th Dist	202	11534_1	12/15/2016
11534	Add	Legend:	Shl to 4 ft 2016	N 34 04' 51.330"	W 077 52' 58.130"	34.08092	-77.88281	LNM 51/16, 5th Dist	202	11534_1	12/15/2016
11534	Relocate	Sunny Point Terminal South Entrance Lighted Buoy 2S	R "2S" Fl R 4s	N 33 58' 41.847"	W 077 56' 59.541"	33.97829	-77.94987	LNM 45/16, 5th Dist	202	11534_1	11/17/2016
11534	Change	Depth Legend - Bypass Channel, SC to:	6 1/2 FT MID DEC 2015	N 33 21' 48.900"	W 079 16' 54.700"	33.36358	-79.28186	LNM 46/16, 7th Dist	208	11534_7	11/10/2016
