Chart: 11535, Current Edition: 13, Print Date: Feb. /2012, Little River lnlet to Winyah Bay Entrance
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11535	Change	Winyah Bay Range A Front Light	Iso 4s 13ft (Night) Fl 2.5s 19ft (Day)	N 33 11' 34.023"	W 079 10' 04.771"	33.19278	-79.16799	LNM 48/16, 7th Dist	213	11535_1	12/8/2016
11535	Add	Dotted Fish Haven	Chart No. 1: K46.2	N 33 34' 30.600"	W 078 51' 00.000"	33.57516	-78.85	LNM 41/16, 7th Dist	213	11535_1	10/6/2016
11535	Add	Dotted Fish Haven Label	Obstn Fish Haven (auth min 20 ft)	N 33 34' 30.600"	W 078 51' 00.000"	33.57516	-78.85	LNM 41/16, 7th Dist	213	11535_1	10/6/2016
11535	Add	Sounding in Feet	2	N 33 18' 38.100"	W 079 09' 01.700"	33.31059	-79.15047	LNM 33/16, 7th Dist	213	11535_1	8/11/2016
11535	Delete	Sounding in Feet	5	N 33 18' 20.000"	W 079 09' 52.000"	33.30556	-79.16444	LNM 33/16, 7th Dist	213	11535_1	8/11/2016
11535	Delete	12 ft depth curve PT 1 OF 2	12 ft depth curve	N 33 18' 11.610"	W 079 09' 05.230"	33.30323	-79.15145	LNM 33/16, 7th Dist	213	11535_1	8/11/2016
11535	Delete	12 ft depth curve PT 2 OF 2	12 ft depth curve	N 33 18' 50.820"	W 079 08' 52.350"	33.31412	-79.14787	LNM 33/16, 7th Dist	213	11535_1	8/11/2016
11535	Delete	6 ft depth curve PT 1 OF 2	6 ft depth curve	N 33 18' 11.500"	W 079 09' 52.000"	33.3032	-79.16444	LNM 33/16, 7th Dist	213	11535_1	8/11/2016
11535	Delete	6 ft depth curve PT 2 OF 2	6 ft depth curve	N 33 19' 30.980"	W 079 09' 44.090"	33.32527	-79.16225	LNM 33/16, 7th Dist	213	11535_1	8/11/2016
11535	Delete	Sounding in Feet	10	N 33 18' 19.450"	W 079 09' 30.330"	33.3054	-79.15842	LNM 33/16, 7th Dist	213	11535_1	8/11/2016
11535	Delete	Sounding in Feet	3	N 33 18' 50.000"	W 079 09' 30.000"	33.31389	-79.15833	LNM 33/16, 7th Dist	213	11535_1	8/11/2016
11535	Delete	Sounding in Feet	7	N 33 19' 02.520"	W 079 09' 20.330"	33.31737	-79.15565	LNM 33/16, 7th Dist	213	11535_1	8/11/2016
11535	Delete	6 ft depth curve PT 1 OF 2	6 ft depth curve	N 33 19' 39.350"	W 079 09' 44.870"	33.3276	-79.16246	LNM 33/16, 7th Dist	213	11535_1	8/11/2016
11535	Delete	6 ft depth curve PT 2 OF 2	6 ft depth curve	N 33 18' 55.850"	W 079 09' 10.080"	33.31551	-79.1528	LNM 33/16, 7th Dist	213	11535_1	8/11/2016
11535	Add	Sewer  PT 1 OF 2	Sewer    Chart No. 1: L41.1	N 33 49' 04.610"	W 078 40' 19.010"	33.81795	-78.67194	LNM 39/15, 7th Dist	213	11535_1	10/1/2015
11535	Add	Sewer  PT 2 OF 2	Sewer    Chart No. 1: L41.1	N 33 48' 53.650"	W 078 40' 13.020"	33.8149	-78.67028	LNM 39/15, 7th Dist	213	11535_1	10/1/2015
11535	Add	Dotted Fish Haven Label	Obstn Fish Haven (auth min 20 ft)	N 33 46' 09.000"	W 078 35' 54.000"	33.76917	-78.59834	LNM 13/15, 7th Dist	213	11535_1	3/26/2015
11535	Delete	Dangerous Wreck	PA      Chart No. 1: K28	N 33 46' 11.200"	W 078 35' 53.600"	33.76978	-78.59822	LNM 13/15, 7th Dist	213	11535_1	3/26/2015
11535	Add	Dotted Fish Haven PT 1 OF 4	Chart No. 1: K46.2	N 33 46' 24.000"	W 078 36' 12.000"	33.77333	-78.60333	LNM 13/15, 7th Dist	213	11535_1	3/26/2015
