Chart: 11541, Current Edition: 41, Print Date: Nov. /2015, Intracoastal Waterway Neuse River to Myrtle Grove Sound
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11541	Change	Depth Legend - Bulkhead Channel Range 1 to:	14 1/2 FT APR 2017	N 34 42' 28.400"	W 076 40' 45.300"	34.70789	-76.67925	LNM 25/17, 5th Dist	502	11541_2	6/15/2017
11541	Change	Depth Legend - Bulkhead Channel Ranges 2-4 to:	9 FT JAN - APR 2017	N 34 42' 51.700"	W 076 40' 30.100"	34.71436	-76.67503	LNM 25/17, 5th Dist	502	11541_2	6/15/2017
11541	Change	Depth Legend - Taylors Creek Ranges 3-4 to:	6 1/2 FT JAN 2017	N 34 42' 34.340"	W 076 38' 09.420"	34.70954	-76.63595	LNM 25/17, 5th Dist	502	11541_2	6/15/2017
11541	Delete	Sounding in Feet	4	N 34 43' 02.340"	W 076 40' 10.640"	34.71732	-76.66962	LNM 25/17, 5th Dist	502	11541_2	6/15/2017
11541	Change	Depth Legend - Taylors Creek Ranges 1-2 to:	8 1/2 FT JAN 2017	N 34 42' 50.420"	W 076 39' 46.460"	34.714	-76.6629	LNM 25/17, 5th Dist	502	11541_2	6/15/2017
11541	Add	Sounding in Feet	3	N 34 43' 02.040"	W 076 40' 10.230"	34.71723	-76.66951	LNM 25/17, 5th Dist	502	11541_2	6/15/2017
11541	Change	Depth Legend - Taylors Creek South Basin to:	5 FT JAN 2017	N 34 42' 50.570"	W 076 39' 51.260"	34.71405	-76.66424	LNM 25/17, 5th Dist	502	11541_2	6/15/2017
11541	Delete	New River - Cape Fear River Buoy 99C	G C "99C"	N 34 21' 13.201"	W 077 41' 01.781"	34.35367	-77.68383	LNM 22/17, 5th Dist	504	11541_4	6/8/2017
11541	Delete	New River - Cape Fear River Buoy 99B	G C "99B"	N 34 21' 16.006"	W 077 40' 56.297"	34.35445	-77.6823	LNM 22/17, 5th Dist	504	11541_4	6/8/2017
11541	Delete	Beaufort Inlet Channel Lighted Buoy 16A	R "16A" Fl R 4s	N 34 41' 26.772"	W 076 40' 08.785"	34.69077	-76.66911	LNM 19/17, 5th Dist	502	11541_2	5/18/2017
11541	Change	Smith Creek Channel Light 1SC	Fl G 4s 15ft 4M "1SC"	N 35 00' 54.303"	W 076 41' 28.449"	35.01508	-76.69124	LNM 18/17, 5th Dist	501	11541_1	5/11/2017
11541	Change	Smith Creek Channel Light 6	Fl R 2.5s 15ft 4M "6"	N 35 01' 10.082"	W 076 41' 54.221"	35.01947	-76.69839	LNM 18/17, 5th Dist	501	11541_1	5/11/2017
11541	Relocate	New River - Cape Fear River Buoy 121	G C "121"	N 34 15' 00.349"	W 077 46' 54.447"	34.2501	-77.78179	LNM 17/17, 5th Dist	504	11541_4	5/4/2017
11541	Relocate	New River - Cape Fear River Buoy 121A	G C "121A"	N 34 14' 54.847"	W 077 46' 59.195"	34.24857	-77.78311	LNM 17/17, 5th Dist	504	11541_4	5/4/2017
11541	Relocate	New River - Cape Fear River Buoy 122A	R N "122A"	N 34 14' 58.034"	W 077 46' 58.644"	34.24945	-77.78296	LNM 17/17, 5th Dist	504	11541_4	5/4/2017
11541	Relocate	Beaufort Inlet Channel Lighted Buoy 16	R "16" Fl R 2.5s	N 34 41' 05.413"	W 076 39' 59.464"	34.68484	-76.66652	LNM 17/17, 5th Dist	502	11541_2	5/4/2017
11541	Relocate	Old Topsail Creek Buoy 5	G C "5"	N 34 21' 07.852"	W 077 39' 44.883"	34.35218	-77.66247	LNM 16/17, 5th Dist	504	11541_4	4/27/2017
11541	Change	New River - Cape Fear River Light 118	Fl R 4s 15ft 4M "118"	N 34 17' 25.718"	W 077 44' 51.081"	34.29048	-77.74752	LNM 16/17, 5th Dist	504	11541_4	4/27/2017
11541	Relocate	Morehead City Channel Lighted Buoy 27	G "27" Fl G 2.5s 	N 34 42' 47.229"	W 076 41' 52.004"	34.71312	-76.69778	LNM 16/17, 5th Dist	502	11541_2	4/27/2017
11541	Relocate	Morehead City Channel Lighted Buoy 27	G "27" Fl G 2.5s 	N 34 42' 47.229"	W 076 41' 52.004"	34.71312	-76.69778	LNM 16/17, 5th Dist	503	11541_3	4/27/2017
11541	Change	Depth Legend - New River to:	8 1/2 FT MAY 2016	N 34 33' 37.880"	W 077 21' 30.700"	34.56052	-77.35853	LNM 17/17, 5th Dist	505	11541_5	4/27/2017
11541	Change	Beaufort Inlet Channel Range Warning Light A	Fl 4s 15ft 4M "A"	N 34 42' 12.642"	W 076 39' 46.943"	34.70351	-76.66304	LNM 15/17, 5th Dist	502	11541_2	4/20/2017
11541	Add	Bridge Construction Label	Bridge Under Construction	N 34 43' 34.780"	W 076 40' 07.010"	34.72633	-76.66862	LNM 16/17, 5th Dist	502	11541_2	4/13/2017
11541	Add	Bridge Construction Note	CAUTION Fixed and floating obstructions, some submerged, may exist within the magenta tinted bridge construction area.  Mariners are advised to proceed with caution.	N 34 43' 34.780"	W 076 40' 07.010"	34.72633	-76.66862	LNM 16/17, 5th Dist	502	11541_2	4/13/2017
11541	Add	Bridge Construction PT 1 OF 3	Chart No. 1: D.d, with magenta screen extending 500 feet from bridge	N 34 43' 29.820"	W 076 40' 14.990"	34.72495	-76.67083	LNM 16/17, 5th Dist	502	11541_2	4/13/2017
11541	Add	Bridge Construction PT 2 OF 3	Chart No. 1: D.d, with magenta screen extending 500 feet from bridge	N 34 43' 37.270"	W 076 40' 03.170"	34.72702	-76.66755	LNM 16/17, 5th Dist	502	11541_2	4/13/2017
11541	Add	Bridge Construction PT 3 OF 3	Chart No. 1: D.d, with magenta screen extending 500 feet from bridge	N 34 43' 38.730"	W 076 39' 57.130"	34.72742	-76.66587	LNM 16/17, 5th Dist	502	11541_2	4/13/2017
11541	Delete	NC Artificial Fishing Reef Buoy AR350	Y C "AR350" Priv	N 34 29' 48.597"	W 077 21' 22.853"	34.49683	-77.35635	LNM 14/17, 5th Dist	505	11541_5	4/13/2017
11541	Add	Peletier Creek Entrance Channel Buoy 4	R N "4"	N 34 43' 25.476"	W 076 46' 48.252"	34.72374	-76.78007	LNM 11/17, 5th Dist	503	11541_3	3/23/2017
11541	Relocate	Core Creek Buoy 30	R N "30"	N 34 45' 28.642"	W 076 40' 26.185"	34.75796	-76.67394	LNM 11/17, 5th Dist	502	11541_2	3/23/2017
11541	Add	Core Creek Buoy 30A	R N "30A"	N 34 45' 13.356"	W 076 40' 32.681"	34.75371	-76.67574	LNM 11/17, 5th Dist	502	11541_2	3/23/2017
11541	Delete	Core Creek Daybeacon 30A	R "30A"	N 34 45' 13.222"	W 076 40' 29.482"	34.75367	-76.67486	LNM 11/17, 5th Dist	502	11541_2	3/23/2017
