Chart: 11542, Current Edition: 19, Print Date: Aug. /2014, New River;Jacksonville
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11542	Relocate	New River Channel Lighted Wreck Buoy WR47	G "WR47" Q G	N 34 41' 10.911"	W 077 23' 53.046"	34.68636	-77.39807	LNM 17/17, 5th Dist	506	11542_1	5/4/2017
11542	Change	Depth Legend - New River to:	8 1/2 FT MAY 2016	N 34 33' 37.880"	W 077 21' 30.700"	34.56052	-77.35853	LNM 17/17, 5th Dist	506	11542_1	4/27/2017
11542	Change	Depth Legend - New River to:	7 FT MAY 2016	N 34 34' 22.190"	W 077 22' 45.920"	34.57283	-77.37943	LNM 17/17, 5th Dist	506	11542_1	4/27/2017
11542	Delete	NC Artificial Fishing Reef Buoy AR350	Y C "AR350" Priv	N 34 29' 48.597"	W 077 21' 22.853"	34.49683	-77.35635	LNM 14/17, 5th Dist	506	11542_1	4/13/2017
11542	Relocate	Bogue Sound - New River Buoy 61A	G C "61A"	N 34 35' 49.644"	W 077 14' 31.323"	34.59712	-77.24203	LNM 05/17, 5th Dist	506	11542_1	2/9/2017
11542	Relocate	Bogue Sound - New River Buoy 60	R N "60"	N 34 35' 52.210"	W 077 14' 31.644"	34.59784	-77.24213	LNM 05/17, 5th Dist	506	11542_1	2/9/2017
11542	Relocate	New River - Cape Fear River Daybeacon 37	G "37"	N 34 28' 56.211"	W 077 28' 32.660"	34.48228	-77.47574	LNM 04/17, 5th Dist	506	11542_1	2/2/2017
11542	Relocate	New River - Cape Fear River Light 39	Fl G 4s 18ft 4M "39"	N 34 28' 42.032"	W 077 29' 05.489"	34.47834	-77.48486	LNM 04/17, 5th Dist	506	11542_1	2/2/2017
11542	Change	Bogue Sound - New River Light 66	Fl R 4s 15ft 4M "66"	N 34 32' 52.261"	W 077 19' 35.838"	34.54785	-77.32662	LNM 48/16, 5th Dist	506	11542_1	12/1/2016
11542	Change	New River Channel Light 12	Fl R 4s 15ft 4M "12"	N 34 33' 06.810"	W 077 20' 57.730"	34.55189	-77.34937	LNM 47/16, 5th Dist	506	11542_1	12/1/2016
11542	Relocate	Stones Bay Warning Daybeacon A	W "A"	N 34 36' 13.310"	W 077 24' 08.827"	34.6037	-77.40245	LNM 47/16, 5th Dist	506	11542_1	12/1/2016
