Chart: 11543, Current Edition: 25, Print Date: Apr. /2015, Cape Lookout to New River
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11543	Relocate	Lookout Bight Lighted Buoy 4	R "4" Fl R 6s	N 34 38' 14.403"	W 076 33' 04.476"	34.63733	-76.55125	LNM 30/17, 5th Dist	507	11543_1	8/3/2017
11543	Delete	NC Artificial Fishing Reef Buoy AR315	Y C "AR315" Priv	N 34 40' 00.583"	W 076 44' 58.759"	34.66683	-76.74966	LNM 21/17, 5th Dist	507	11543_1	6/1/2017
11543	Delete	NC Artificial Fishing Reef Buoy AR340	Y C "AR340" Priv	N 34 34' 38.588"	W 076 58' 33.795"	34.57738	-76.97605	LNM 21/17, 5th Dist	507	11543_1	6/1/2017
11543	Delete	NC Artificial Fishing Reef Buoy AR342	Y C "AR342" Priv	N 34 36' 42.587"	W 077 02' 16.805"	34.61183	-77.038	LNM 21/17, 5th Dist	507	11543_1	6/1/2017
11543	Delete	Beaufort Inlet Channel Lighted Buoy 16A	R "16A" Fl R 4s	N 34 41' 26.772"	W 076 40' 08.785"	34.69077	-76.66911	LNM 19/17, 5th Dist	507	11543_1	5/18/2017
11543	Delete	Lookout Bight Lighted Wreck Buoy WR4A	R "WR4A" Q R	N 34 38' 05.377"	W 076 32' 51.791"	34.63483	-76.54772	LNM 17/17, 5th Dist	507	11543_1	5/4/2017
11543	Relocate	Beaufort Inlet Channel Lighted Buoy 16	R "16" Fl R 2.5s	N 34 41' 05.413"	W 076 39' 59.464"	34.68484	-76.66652	LNM 17/17, 5th Dist	507	11543_1	5/4/2017
11543	Change	Beaufort Inlet Channel Range Warning Light A	Fl 4s 15ft 4M "A"	N 34 42' 12.642"	W 076 39' 46.943"	34.70351	-76.66304	LNM 15/17, 5th Dist	507	11543_1	4/20/2017
11543	Relocate	Lookout Bight Lighted Wreck Buoy WR4A	R "WR4A" Q R	N 34 38' 05.377"	W 076 32' 51.791"	34.63483	-76.54772	LNM 09/17, 5th Dist	507	11543_1	3/9/2017
11543	Relocate	Beaufort Inlet Channel Lighted Buoy 13	G "13" Fl G 2.5s	N 34 40' 28.738"	W 076 40' 13.329"	34.67465	-76.67037	LNM 04/17, 5th Dist	507	11543_1	2/2/2017
