Chart: 11544, Current Edition: 41, Print Date: Dec. /2013, Portsmouth Island to Beaufort, Including Cape Lookout Shoals
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11544	Delete	Sealevel Channel Buoy 3	G C "3"	N 34 51' 21.528"	W 076 23' 07.044"	34.85598	-76.38529	LNM 30/17, 5th Dist	508	11544_1	8/3/2017
11544	Relocate	Lookout Bight Lighted Buoy 4	R "4" Fl R 6s	N 34 38' 14.403"	W 076 33' 04.476"	34.63733	-76.55125	LNM 30/17, 5th Dist	508	11544_1	8/3/2017
11544	Change	Core Sound Light 5	Fl G 2.5s 15ft 4M "5"	N 34 59' 21.097"	W 076 12' 22.310"	34.98919	-76.2062	LNM 30/17, 5th Dist	508	11544_1	8/3/2017
11544	Relocate	Core Sound Buoy 5A	G C "5A"	N 34 59' 16.708"	W 076 12' 26.148"	34.98798	-76.20726	LNM 30/17, 5th Dist	508	11544_1	8/3/2017
11544	Delete	Beaufort Inlet Channel Lighted Buoy 16A	R "16A" Fl R 4s	N 34 41' 26.772"	W 076 40' 08.785"	34.69077	-76.66911	LNM 19/17, 5th Dist	508	11544_1	5/18/2017
11544	Change	Smith Creek Channel Light 1SC	Fl G 4s 15ft 4M "1SC"	N 35 00' 54.303"	W 076 41' 28.449"	35.01508	-76.69124	LNM 18/17, 5th Dist	508	11544_1	5/11/2017
11544	Change	Smith Creek Channel Light 6	Fl R 2.5s 15ft 4M "6"	N 35 01' 10.082"	W 076 41' 54.221"	35.01947	-76.69839	LNM 18/17, 5th Dist	508	11544_1	5/11/2017
11544	Relocate	Cedar Island Ferry Slip Breakwater Buoy 2	R N "2"	N 35 01' 12.556"	W 076 18' 29.984"	35.02015	-76.30833	LNM 17/17, 5th Dist	508	11544_1	5/4/2017
11544	Delete	Lookout Bight Lighted Wreck Buoy WR4A	R "WR4A" Q R	N 34 38' 05.377"	W 076 32' 51.791"	34.63483	-76.54772	LNM 17/17, 5th Dist	508	11544_1	5/4/2017
11544	Relocate	Beaufort Inlet Channel Lighted Buoy 16	R "16" Fl R 2.5s	N 34 41' 05.413"	W 076 39' 59.464"	34.68484	-76.66652	LNM 17/17, 5th Dist	508	11544_1	5/4/2017
11544	Change	Cedar Island Ferry Slip Breakwater Daybeacon 2B	R "2B"	N 35 01' 13.170"	W 076 18' 37.912"	35.02032	-76.31053	LNM 16/17, 5th Dist	508	11544_1	4/27/2017
11544	Change	Cedar Island Ferry Slip Breakwater Light 2A	Fl R 4s 15ft 5M "2A"	N 35 01' 14.152"	W 076 18' 35.694"	35.0206	-76.30991	LNM 16/17, 5th Dist	508	11544_1	4/27/2017
11544	Add	Cedar Island Ferry Slip Breakwater Buoy 2	R N "2"	N 35 01' 13.218"	W 076 18' 34.085"	35.02034	-76.30947	LNM 16/17, 5th Dist	508	11544_1	4/27/2017
11544	Change	Beaufort Inlet Channel Range Warning Light A	Fl 4s 15ft 4M "A"	N 34 42' 12.642"	W 076 39' 46.943"	34.70351	-76.66304	LNM 15/17, 5th Dist	508	11544_1	4/20/2017
11544	Delete	NC Artificial Fishing Reef Buoy AR300	Y C "AR300" Priv	N 34 19' 00.612"	W 076 24' 28.692"	34.31684	-76.40797	LNM 14/17, 5th Dist	508	11544_1	4/13/2017
11544	Relocate	Lookout Bight Lighted Wreck Buoy WR4A	R "WR4A" Q R	N 34 38' 05.377"	W 076 32' 51.791"	34.63483	-76.54772	LNM 09/17, 5th Dist	508	11544_1	3/9/2017
11544	Change	Atlantic Channel Light 2	Q R 15ft 4M "2"	N 34 52' 49.906"	W 076 20' 10.281"	34.88053	-76.33619	LNM 06/17, 5th Dist	508	11544_1	2/16/2017
11544	Change	Core Sound Lighted Buoy 19	G "19" Fl G 4s	N 34 54' 59.493"	W 076 16' 35.706"	34.91653	-76.27659	LNM 06/17, 5th Dist	508	11544_1	2/16/2017
11544	Relocate	Beaufort Inlet Channel Lighted Buoy 13	G "13" Fl G 2.5s	N 34 40' 28.738"	W 076 40' 13.329"	34.67465	-76.67037	LNM 04/17, 5th Dist	508	11544_1	2/2/2017
11544	Relocate	Cape Lookout Shoals Lighted Buoy 6	R "6" Fl R 6s	N 34 27' 15.989"	W 076 33' 40.432"	34.45444	-76.56123	LNM 04/17, 5th Dist	508	11544_1	2/2/2017
11544	Relocate	Beaufort Inlet Channel Lighted Buoy 16A	R "16A" Fl R 4s	N 34 41' 26.772"	W 076 40' 08.785"	34.69077	-76.66911	LNM 49/16, 5th Dist	508	11544_1	12/15/2016
11544	Relocate	Beaufort Inlet Channel Lighted Buoy 17B	G "17B" Fl G 2.5s	N 34 41' 16.969"	W 076 40' 07.099"	34.68805	-76.66864	LNM 49/16, 5th Dist	508	11544_1	12/15/2016
11544	Relocate	Cedar Island Ferry Slip Breakwater Daybeacon 2A	R "2A"	N 35 01' 13.170"	W 076 18' 37.912"	35.02032	-76.31053	LNM 49/16, 5th Dist	508	11544_1	12/15/2016
11544	Change	Atlantic Channel Light 6	Fl R 4s 15ft 4M "6"	N 34 53' 01.554"	W 076 19' 56.328"	34.88377	-76.33231	LNM 47/16, 5th Dist	508	11544_1	12/1/2016
