Chart: 11545, Current Edition: 66, Print Date: Jun. /2015, Beaufort Inlet and Part of Core Sound;Lookout Bight
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11545	Change	Tabulation - MOREHEAD CITY HARBOR CHANNEL DEPTHS	Tabulation - MOREHEAD CITY HARBOR CHANNEL DEPTHS	N 34 48' 21.000"	W 076 45' 24.000"	34.80583	-76.75667	Not Yet Published	509	11545_1	7/6/2017
11545	Change	Depth Legend - Bulkhead Channel Range 1 to:	14 1/2 FT APR 2017	N 34 42' 28.400"	W 076 40' 45.300"	34.70789	-76.67925	LNM 25/17, 5th Dist	509	11545_1	6/15/2017
11545	Change	Depth Legend - Bulkhead Channel Ranges 2-4 to:	9 FT JAN - APR 2017	N 34 42' 51.700"	W 076 40' 30.100"	34.71436	-76.67503	LNM 25/17, 5th Dist	509	11545_1	6/15/2017
11545	Change	Depth Legend - Taylors Creek Ranges 3-4 to:	6 1/2 FT JAN 2017	N 34 42' 34.340"	W 076 38' 09.420"	34.70954	-76.63595	LNM 25/17, 5th Dist	509	11545_1	6/15/2017
11545	Delete	Sounding in Feet	4	N 34 43' 02.340"	W 076 40' 10.640"	34.71732	-76.66962	LNM 25/17, 5th Dist	509	11545_1	6/15/2017
11545	Change	Depth Legend - Taylors Creek Ranges 1-2 to:	8 1/2 FT JAN 2017	N 34 42' 50.420"	W 076 39' 46.460"	34.714	-76.6629	LNM 25/17, 5th Dist	509	11545_1	6/15/2017
11545	Add	Sounding in Feet	3	N 34 43' 02.040"	W 076 40' 10.230"	34.71723	-76.66951	LNM 25/17, 5th Dist	509	11545_1	6/15/2017
11545	Change	Depth Legend - Taylors Creek South Basin to:	5 FT JAN 2017	N 34 42' 50.570"	W 076 39' 51.260"	34.71405	-76.66424	LNM 25/17, 5th Dist	509	11545_1	6/15/2017
11545	Delete	Sounding in Feet	6	N 34 42' 26.660"	W 076 37' 11.550"	34.70741	-76.61987	LNM 25/17, 5th Dist	509	11545_1	6/15/2017
11545	Change	Harkers Island East Channel Warning Daybeacon A	BW "A"	N 34 40' 52.590"	W 076 31' 22.746"	34.68127	-76.52299	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Change	Harkers Island East Channel Warning Daybeacon B	BW "B"	N 34 41' 06.840"	W 076 31' 11.148"	34.68523	-76.51976	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Change	Harkers Island East Channel Warning Daybeacon C	BW "C"	N 34 41' 25.332"	W 076 30' 52.886"	34.69037	-76.51469	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Change	Harkers Island East Channel Warning Daybeacon D	BW "D"	N 34 41' 41.898"	W 076 30' 38.664"	34.69497	-76.51074	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Change	Harkers Island East Channel Warning Daybeacon E	BW "E"	N 34 41' 57.222"	W 076 30' 31.158"	34.69923	-76.50865	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Change	Harkers Island East Channel Warning Daybeacon F	BW "F"	N 34 42' 31.986"	W 076 30' 13.062"	34.70889	-76.50363	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Change	Harkers Island East Channel Warning Daybeacon G	BW "G"	N 34 42' 47.244"	W 076 30' 04.464"	34.71312	-76.50124	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Relocate	Harkers Island East Channel Warning Daybeacon A	BW "A"	N 34 40' 52.590"	W 076 31' 22.746"	34.68127	-76.52299	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Relocate	Harkers Island East Channel Warning Daybeacon B	BW "B"	N 34 41' 06.840"	W 076 31' 11.148"	34.68523	-76.51976	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Relocate	Harkers Island East Channel Warning Daybeacon C	BW "C"	N 34 41' 25.332"	W 076 30' 52.886"	34.69037	-76.51469	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Relocate	Harkers Island East Channel Warning Daybeacon D	BW "D"	N 34 41' 41.898"	W 076 30' 38.664"	34.69497	-76.51074	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Relocate	Harkers Island East Channel Warning Daybeacon E	BW "E"	N 34 41' 57.222"	W 076 30' 31.158"	34.69923	-76.50865	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Relocate	Harkers Island East Channel Warning Daybeacon F	BW "F"	N 34 42' 31.986"	W 076 30' 13.062"	34.70889	-76.50363	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Relocate	Harkers Island East Channel Warning Daybeacon G	BW "G"	N 34 42' 47.244"	W 076 30' 04.464"	34.71312	-76.50124	LNM 22/17, 5th Dist	509	11545_1	6/8/2017
11545	Delete	NC Artificial Fishing Reef Buoy AR315	Y C "AR315" Priv	N 34 40' 00.583"	W 076 44' 58.759"	34.66683	-76.74966	LNM 21/17, 5th Dist	509	11545_1	6/1/2017
11545	Delete	Beaufort Inlet Channel Lighted Buoy 16A	R "16A" Fl R 4s	N 34 41' 26.772"	W 076 40' 08.785"	34.69077	-76.66911	LNM 19/17, 5th Dist	509	11545_1	5/18/2017
11545	Delete	Lookout Bight Lighted Wreck Buoy WR4A	R "WR4A" Q R	N 34 38' 05.377"	W 076 32' 51.791"	34.63483	-76.54772	LNM 17/17, 5th Dist	510	11545_2	5/4/2017
11545	Delete	Lookout Bight Lighted Wreck Buoy WR4A	R "WR4A" Q R	N 34 38' 05.377"	W 076 32' 51.791"	34.63483	-76.54772	LNM 17/17, 5th Dist	509	11545_1	5/4/2017
