Chart: 11547, Current Edition: 40, Print Date: Jul. /2015, Morehead City Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11547	Change	Tabulation - MOREHEAD CITY HARBOR CHANNEL DEPTHS	Tabulation - MOREHEAD CITY HARBOR CHANNEL DEPTHS	N 34 43' 12.900"	W 076 37' 39.400"	34.72025	-76.62761	Not Yet Published	511	11547_1	7/6/2017
11547	Change	Depth Legend - Bulkhead Channel Range 1 to:	14 1/2 FT APR 2017	N 34 42' 28.400"	W 076 40' 45.300"	34.70789	-76.67925	LNM 25/17, 5th Dist	511	11547_1	6/15/2017
11547	Change	Depth Legend - Bulkhead Channel Ranges 2-4 to:	9 FT JAN - APR 2017	N 34 42' 51.700"	W 076 40' 30.100"	34.71436	-76.67503	LNM 25/17, 5th Dist	511	11547_1	6/15/2017
11547	Change	Depth Legend - Taylors Creek Ranges 3-4 to:	6 1/2 FT JAN 2017	N 34 42' 34.340"	W 076 38' 09.420"	34.70954	-76.63595	LNM 25/17, 5th Dist	511	11547_1	6/15/2017
11547	Delete	Sounding in Feet	4	N 34 43' 02.340"	W 076 40' 10.640"	34.71732	-76.66962	LNM 25/17, 5th Dist	511	11547_1	6/15/2017
11547	Delete	Sounding in Feet	4	N 34 42' 47.680"	W 076 39' 48.560"	34.71325	-76.66349	LNM 25/17, 5th Dist	511	11547_1	6/15/2017
11547	Change	Depth Legend - Taylors Creek Ranges 1-2 to:	8 1/2 FT JAN 2017	N 34 42' 50.420"	W 076 39' 46.460"	34.714	-76.6629	LNM 25/17, 5th Dist	511	11547_1	6/15/2017
11547	Add	Sounding in Feet	3	N 34 43' 02.040"	W 076 40' 10.230"	34.71723	-76.66951	LNM 25/17, 5th Dist	511	11547_1	6/15/2017
11547	Delete	Sounding in Feet	3	N 34 42' 50.560"	W 076 39' 54.250"	34.71404	-76.66507	LNM 25/17, 5th Dist	511	11547_1	6/15/2017
11547	Change	Depth Legend - Taylors Creek South Basin to:	5 FT JAN 2017	N 34 42' 50.570"	W 076 39' 51.260"	34.71405	-76.66424	LNM 25/17, 5th Dist	511	11547_1	6/15/2017
11547	Delete	Sounding in Feet	6	N 34 42' 26.660"	W 076 37' 11.550"	34.70741	-76.61987	LNM 25/17, 5th Dist	511	11547_1	6/15/2017
11547	Delete	Sounding in Feet	4	N 34 42' 48.730"	W 076 39' 51.340"	34.71354	-76.66426	LNM 25/17, 5th Dist	511	11547_1	6/15/2017
11547	Delete	Beaufort Inlet Channel Lighted Buoy 16A	R "16A" Fl R 4s	N 34 41' 26.772"	W 076 40' 08.785"	34.69077	-76.66911	LNM 19/17, 5th Dist	511	11547_1	5/18/2017
11547	Relocate	Beaufort Inlet Channel Lighted Buoy 16	R "16" Fl R 2.5s	N 34 41' 05.413"	W 076 39' 59.464"	34.68484	-76.66652	LNM 17/17, 5th Dist	511	11547_1	5/4/2017
11547	Relocate	Morehead City Channel Lighted Buoy 27	G "27" Fl G 2.5s 	N 34 42' 47.229"	W 076 41' 52.004"	34.71312	-76.69778	LNM 16/17, 5th Dist	511	11547_1	4/27/2017
11547	Change	Beaufort Inlet Channel Range Warning Light A	Fl 4s 15ft 4M "A"	N 34 42' 12.642"	W 076 39' 46.943"	34.70351	-76.66304	LNM 15/17, 5th Dist	511	11547_1	4/20/2017
11547	Add	Bridge Construction Label	Bridge Under Construction	N 34 43' 29.890"	W 076 40' 14.340"	34.72497	-76.67065	LNM 16/17, 5th Dist	511	11547_1	4/13/2017
11547	Add	Bridge Construction Note	CAUTION Fixed and floating obstructions, some submerged, may exist within the magenta tinted bridge construction area.  Mariners are advised to proceed with caution.	N 34 43' 29.890"	W 076 40' 14.340"	34.72497	-76.67065	LNM 16/17, 5th Dist	511	11547_1	4/13/2017
11547	Add	Bridge Construction PT 1 OF 2	Chart No. 1: D.d, with magenta screen extending 500 feet from bridge	N 34 43' 29.490"	W 076 40' 14.770"	34.72486	-76.67077	LNM 16/17, 5th Dist	511	11547_1	4/13/2017
11547	Add	Bridge Construction PT 2 OF 2	Chart No. 1: D.d, with magenta screen extending 500 feet from bridge	N 34 43' 29.890"	W 076 40' 13.820"	34.72497	-76.67051	LNM 16/17, 5th Dist	511	11547_1	4/13/2017
11547	Change	Tabulation - MOREHEAD CITY HARBOR	Tabulation - MOREHEAD CITY HARBOR	N 34 43' 12.900"	W 076 37' 39.400"	34.72025	-76.62761	LNM 12/17, 5th Dist	511	11547_1	3/16/2017
11547	Relocate	Taylor Creek Channel Daybeacon 9	G "9"	N 34 42' 53.511"	W 076 39' 55.761"	34.71486	-76.66549	LNM 07/17, 5th Dist	511	11547_1	2/23/2017
11547	Change	Depth Legend - Gallants Channel Range 7 to:	15 FT JAN 2017	N 34 43' 26.900"	W 076 40' 09.000"	34.72414	-76.66917	LNM 07/17, 5th Dist	511	11547_1	2/9/2017
11547	Change	Depth Legend - Bulkhead Channel Range 2-4 to:	9½ FT JAN 2017	N 34 42' 51.700"	W 076 40' 30.100"	34.71436	-76.67503	LNM 07/17, 5th Dist	511	11547_1	2/9/2017
11547	Change	Depth Legend - Bulkhead Channel Range 1 to:	10 FT JAN 2017	N 34 42' 28.400"	W 076 40' 45.300"	34.70789	-76.67925	LNM 07/17, 5th Dist	511	11547_1	2/9/2017
11547	Change	Tabulation - MOREHEAD CITY  HARBOR CHANNEL DEPTHS	Tabulation - MOREHEAD CITY  HARBOR CHANNEL DEPTHS	N 34 43' 12.900"	W 076 37' 39.400"	34.72025	-76.62761	LNM 07/17, 5th Dist	511	11547_1	2/9/2017
11547	Relocate	Shackleford Slue Channel Buoy 3	G C "3"	N 34 40' 51.227"	W 076 37' 07.741"	34.6809	-76.61882	LNM 05/17, 5th Dist	511	11547_1	2/9/2017
11547	Relocate	Beaufort Inlet Channel Lighted Buoy 13	G "13" Fl G 2.5s	N 34 40' 28.738"	W 076 40' 13.329"	34.67465	-76.67037	LNM 04/17, 5th Dist	511	11547_1	2/2/2017
