Chart: 11552, Current Edition: 21, Print Date: Jul. /2014, Neuse River and Upper Part of Bay River
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11552	Change	Smith Creek Channel Light 1SC	Fl G 4s 15ft 4M "1SC"	N 35 00' 54.303"	W 076 41' 28.449"	35.01508	-76.69124	LNM 18/17, 5th Dist	515	11552_1	5/11/2017
11552	Change	Smith Creek Channel Light 6	Fl R 2.5s 15ft 4M "6"	N 35 01' 10.082"	W 076 41' 54.221"	35.01947	-76.69839	LNM 18/17, 5th Dist	515	11552_1	5/11/2017
11552	Change	Slocum Creek Light 2	Q R 15ft 4M "2"	N 34 57' 03.930"	W 076 53' 16.570"	34.95109	-76.88794	LNM 50/16, 5th Dist	515	11552_1	12/22/2016
11552	Change	Hancock Creek Light 6	Fl R 4s 15ft 4M "6"	N 34 56' 20.472"	W 076 51' 13.047"	34.93902	-76.85362	LNM 50/16, 5th Dist	515	11552_1	12/22/2016
11552	Relocate	Hancock Creek Light 6	Fl R 4s 15ft 4M "6"	N 34 56' 20.472"	W 076 51' 13.047"	34.93902	-76.85362	LNM 50/16, 5th Dist	515	11552_1	12/22/2016
11552	Change	Adams Creek Light 16	Fl R 2.5s 15ft 4M "16"	N 34 53' 54.196"	W 076 41' 05.589"	34.89839	-76.68488	LNM 47/16, 5th Dist	515	11552_1	12/1/2016
11552	Relocate	Adams Creek Light 16	Fl R 2.5s 15ft 4M "16"	N 34 53' 54.196"	W 076 41' 05.589"	34.89839	-76.68488	LNM 47/16, 5th Dist	515	11552_1	12/1/2016
11552	Relocate	Neuse River Channel Daybeacon 72	R "72"	N 35 11' 44.366"	W 077 06' 34.843"	35.19566	-77.10968	LNM 45/16, 5th Dist	518	11552_4	11/17/2016
11552	Change	Neuse River Channel Light 48A	Fl R 4s 15ft 4M "48A"	N 35 08' 33.690"	W 077 03' 34.464"	35.14269	-77.05957	LNM 45/16, 5th Dist	515	11552_1	11/17/2016
11552	Change	Smith Creek Channel Light 8	Fl R 4s 15ft 4M "8"	N 35 01' 19.355"	W 076 41' 56.757"	35.02204	-76.6991	LNM 44/16, 5th Dist	515	11552_1	11/10/2016
11552	Relocate	Adams Creek Daybeacon 6	R "6"	N 34 56' 50.529"	W 076 40' 03.110"	34.94737	-76.66753	LNM 41/16, 5th Dist	515	11552_1	10/20/2016
11552	Relocate	Adams Creek Light 4	Q R 15ft 3M "4"	N 34 57' 24.895"	W 076 40' 54.238"	34.95692	-76.68173	LNM 41/16, 5th Dist	515	11552_1	10/20/2016
11552	Delete	Dawson Creek Entrance Buoy 4	R N "4"	N 34 59' 26.586"	W 076 45' 27.126"	34.99072	-76.75754	LNM 39/16, 5th Dist	515	11552_1	10/6/2016
11552	Delete	Neuse River Channel Lighted Wreck Buoy WR7A	G "WR7A" Q G	N 34 56' 31.512"	W 076 47' 12.115"	34.94209	-76.7867	LNM 34/16, 5th Dist	515	11552_1	9/1/2016
11552	Relocate	Whittaker Creek Buoy 3A	G C "3A"	N 35 01' 31.827"	W 076 41' 04.053"	35.02551	-76.68446	LNM 17/16, 5th Dist	515	11552_1	5/5/2016
11552	Relocate	Adams Creek Daybeacon 12	R "12"	N 34 54' 41.156"	W 076 39' 55.301"	34.91143	-76.66536	LNM 15/16, 5th Dist	515	11552_1	4/21/2016
11552	Relocate	Neuse River Channel Daybeacon 49	G "49"	N 35 08' 31.093"	W 077 03' 35.449"	35.14197	-77.05984	LNM 14/16, 5th Dist	515	11552_1	4/14/2016
11552	Relocate	Neuse River Channel Daybeacon 70	R "70"	N 35 11' 30.621"	W 077 06' 20.452"	35.19184	-77.10568	LNM 14/16, 5th Dist	518	11552_4	4/14/2016
