Chart: 11554, Current Edition: 17, Print Date: Jan. /2012, Pamlico River
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11554	Change	North Creek Entrance Light 1NC	Fl G 4s 15ft 4M "1NC"	N 35 24' 46.279"	W 076 40' 05.447"	35.41286	-76.66818	LNM 13/17, 5th Dist	524	11554_1	4/6/2017
11554	Change	Gaylord Bay Ferry Terminal Channel Light 1	Fl G 2.5s 15ft 4M "1"	N 35 25' 18.585"	W 076 43' 59.315"	35.42183	-76.73315	LNM 13/17, 5th Dist	524	11554_1	4/6/2017
11554	Change	Pamlico River Channel Light 3	Fl G 4s 15ft 5M "3"	N 35 22' 19.408"	W 076 38' 44.343"	35.37206	-76.64565	LNM 13/17, 5th Dist	524	11554_1	4/6/2017
11554	Relocate	South Creek Channel Daybeacon 16	R "16"	N 35 19' 19.209"	W 076 46' 08.067"	35.322	-76.76891	LNM 47/16, 5th Dist	524	11554_1	12/1/2016
11554	Change	Pamlico River Channel Light 16	Fl R 4s 15ft 4M "16"	N 35 30' 28.482"	W 077 01' 13.341"	35.50791	-77.02037	LNM 41/16, 5th Dist	524	11554_1	10/20/2016
11554	Relocate	Pamlico River Channel Light 16	Fl R 4s 15ft 4M "16"	N 35 30' 28.482"	W 077 01' 13.341"	35.50791	-77.02037	LNM 41/16, 5th Dist	524	11554_1	10/20/2016
11554	Relocate	Pamlico River Channel Light 17	Q G 15ft 4M "17"	N 35 31' 29.105"	W 077 02' 17.442"	35.52475	-77.03818	LNM 36/16, 5th Dist	524	11554_1	9/15/2016
11554	Change	Pamlico River Channel Light 17	Q G 15ft 4M "17"	N 35 31' 29.311"	W 077 02' 17.385"	35.52481	-77.03816	LNM 32/16, 5th Dist	524	11554_1	8/18/2016
11554	Relocate	Pamlico River Channel Light 17	Q G 15ft 4M "17"	N 35 31' 29.311"	W 077 02' 17.385"	35.52481	-77.03816	LNM 32/16, 5th Dist	524	11554_1	8/18/2016
11554	Change	Pamlico River Channel Light 14	Fl R 2.5s 15ft 4M "14"	N 35 29' 25.282"	W 077 00' 11.632"	35.49036	-77.00323	LNM 51/15, 5th Dist	524	11554_1	1/7/2016
11554	Change	Bath Creek Light 4	Fl R 4s 15ft 4M "4"	N 35 28' 18.672"	W 076 49' 00.228"	35.47186	-76.81673	LNM 51/15, 5th Dist	524	11554_1	1/7/2016
