Chart: 11555, Current Edition: 42, Print Date: Apr. /2015, Cape Hatteras-Wimble Shoals to Ocracoke Inlet
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11555	Change	South Ferry Terminal Buoy 5SF	G C "5SF"	N 35 11' 53.714"	W 075 46' 50.954"	35.19825	-75.78082	LNM 26/17, 5th Dist	525	11555_1	6/29/2017
11555	Relocate	South Ferry Terminal Lighted Buoy 1SF	G "1SF" Q G	N 35 11' 47.123"	W 075 45' 54.285"	35.19642	-75.76508	LNM 24/17, 5th Dist	525	11555_1	6/22/2017
11555	Relocate	South Ferry Terminal Buoy 2SF	R N "2SF"	N 35 11' 48.383"	W 075 46' 01.016"	35.19677	-75.76695	LNM 24/17, 5th Dist	525	11555_1	6/22/2017
11555	Relocate	South Ferry Terminal Buoy 3SF	G C "3SF"	N 35 11' 47.973"	W 075 46' 09.866"	35.19666	-75.76941	LNM 24/17, 5th Dist	525	11555_1	6/22/2017
11555	Relocate	South Ferry Terminal Lighted Buoy 4SF	R "4SF" Fl R 2.5s	N 35 11' 50.825"	W 075 46' 38.244"	35.19745	-75.77729	LNM 24/17, 5th Dist	525	11555_1	6/22/2017
11555	Relocate	South Ferry Terminal Lighted Buoy 6SF	R "6SF" Q R	N 35 11' 56.362"	W 075 46' 54.694"	35.19899	-75.78186	LNM 24/17, 5th Dist	525	11555_1	6/22/2017
11555	Add	South Ferry Terminal Lighted Buoy 5SF	G "5SF" Q G	N 35 11' 53.714"	W 075 46' 50.954"	35.19825	-75.78082	LNM 24/17, 5th Dist	525	11555_1	6/22/2017
11555	Relocate	Hatteras Inlet Channel Lighted Buoy 16	R "16" Fl R 4s	N 35 12' 07.160"	W 075 43' 38.902"	35.20199	-75.72747	LNM 23/17, 5th Dist	525	11555_1	6/8/2017
11555	Relocate	Big Foot Slough Channel Buoy 11	G C "11"	N 35 09' 04.968"	W 076 00' 41.826"	35.15138	-76.01162	LNM 21/17, 5th Dist	525	11555_1	6/1/2017
11555	Relocate	Big Foot Slough Channel Buoy 10B	R N "10B"	N 35 08' 59.051"	W 076 00' 37.297"	35.14973	-76.01036	LNM 21/17, 5th Dist	525	11555_1	6/1/2017
11555	Delete	Durant Point Daybeacon 4	R "4"	N 35 13' 57.108"	W 075 40' 41.886"	35.23253	-75.6783	LNM 19/17, 5th Dist	525	11555_1	5/18/2017
11555	Add	Durant Point Buoy 4	R N "4"	N 35 13' 57.096"	W 075 40' 41.850"	35.23252	-75.67829	LNM 19/17, 5th Dist	525	11555_1	5/18/2017
11555	Relocate	Hatteras Inlet Channel Lighted Buoy 12A	R "12A" Fl R 2.5s	N 35 12' 15.258"	W 075 43' 57.524"	35.20424	-75.73264	LNM 18/17, 5th Dist	525	11555_1	5/11/2017
11555	Delete	Hatteras Inlet Buoy 9	G C "9"	N 35 11' 44.760"	W 075 45' 36.670"	35.19577	-75.76019	LNM 10/17, 5th Dist	525	11555_1	3/16/2017
11555	Delete	Hatteras Inlet Lighted Buoy 9B	G "9B" Fl G 4s	N 35 11' 59.164"	W 075 45' 09.823"	35.19977	-75.75273	LNM 10/17, 5th Dist	525	11555_1	3/16/2017
11555	Delete	Hatteras Inlet Lighted Buoy 10	R "10" Fl R 4s	N 35 11' 42.077"	W 075 45' 36.621"	35.19502	-75.76017	LNM 10/17, 5th Dist	525	11555_1	3/16/2017
11555	Delete	Hatteras Inlet Lighted Buoy 10B	R "10B" Fl R 2.5s	N 35 11' 58.899"	W 075 45' 07.442"	35.1997	-75.75207	LNM 10/17, 5th Dist	525	11555_1	3/16/2017
11555	Delete	Hatteras Inlet Lighted Buoy 11	G "11" Fl G 4s	N 35 12' 04.518"	W 075 44' 46.355"	35.20126	-75.74621	LNM 10/17, 5th Dist	525	11555_1	3/16/2017
11555	Delete	Hatteras Inlet Channel Lighted Buoy 11B	G "11B" Fl G 2.5s	N 35 12' 12.772"	W 075 44' 19.554"	35.20355	-75.73876	LNM 10/17, 5th Dist	525	11555_1	3/16/2017
11555	Delete	Hatteras Inlet Channel Lighted Buoy 13	G "13" Q G	N 35 12' 17.041"	W 075 44' 09.037"	35.20473	-75.73584	LNM 10/17, 5th Dist	525	11555_1	3/16/2017
11555	Relocate	Hatteras Inlet Channel Lighted Buoy 16	R "16" Fl R 4s	N 35 12' 07.470"	W 075 43' 39.111"	35.20208	-75.72753	LNM 07/17, 5th Dist	525	11555_1	2/23/2017
11555	Relocate	Hatteras Inlet Channel Lighted Buoy 16	R "16" Fl R 4s	N 35 12' 07.975"	W 075 43' 39.753"	35.20222	-75.72771	LNM 05/17, 5th Dist	525	11555_1	2/9/2017
11555	Relocate	Stumpy Point Target Warning Light E	Fl 4s 15ft 5M "E"	N 35 33' 02.932"	W 075 39' 00.678"	35.55082	-75.65018	LNM 05/17, 5th Dist	525	11555_1	2/9/2017
11555	Relocate	Barney Slough Channel Lighted Buoy 6	R "6" Q R	N 35 13' 45.684"	W 075 47' 16.157"	35.22935	-75.78782	LNM 05/17, 5th Dist	525	11555_1	2/9/2017
11555	Change	Bluff Shoal Light BL	Fl 2.5s 18ft 6M "BL"	N 35 12' 36.920"	W 076 04' 23.034"	35.21025	-76.07307	LNM 05/17, 5th Dist	525	11555_1	2/9/2017
11555	Relocate	Hatteras Inlet Channel Lighted Buoy 12A	R "12A" Fl R 2.5s	N 35 12' 15.353"	W 075 43' 57.822"	35.20427	-75.73273	LNM 04/17, 5th Dist	525	11555_1	2/2/2017
11555	Relocate	Hatteras Inlet Channel Lighted Buoy 16	R "16" Fl R 4s	N 35 12' 08.427"	W 075 43' 39.981"	35.20234	-75.72778	LNM 04/17, 5th Dist	525	11555_1	2/2/2017
11555	Relocate	Big Foot Slough Channel Light 9A	Fl G 4s 15ft 4M "9A"	N 35 08' 32.340"	W 076 00' 21.120"	35.14231	-76.00587	LNM 04/17, 5th Dist	525	11555_1	2/2/2017
11555	Delete	Big Foot Slough Channel Buoy 9AA	G C "9AA"	N 35 08' 29.409"	W 076 00' 20.337"	35.1415	-76.00565	LNM 04/17, 5th Dist	525	11555_1	2/2/2017
11555	Delete	NC Artificial Fishing Reef Buoy AR220	Y C "AR220" Priv	N 35 08' 11.632"	W 075 40' 31.572"	35.13657	-75.67544	LNM 03/17, 5th Dist	525	11555_1	1/26/2017
11555	Delete	NC Artificial Fishing Reef Buoy AR225	Y C "AR225" Priv	N 35 06' 48.633"	W 075 39' 08.566"	35.11351	-75.65238	LNM 03/17, 5th Dist	525	11555_1	1/26/2017
11555	Relocate	Hatteras Inlet Entrance Lighted Whistle Buoy HI	RW "HI" Mo (A) WHIS	N 35 09' 47.681"	W 075 45' 15.169"	35.16325	-75.75421	LNM 03/17, 5th Dist	525	11555_1	1/26/2017
11555	Change	Rollinson Channel Light 32	Fl R 2.5s 15ft 4M "32"	N 35 13' 48.921"	W 075 42' 05.831"	35.23026	-75.70162	LNM 02/17, 5th Dist	525	11555_1	1/12/2017
11555	Change	Rollinson Channel Light 34	Fl R 4s 15ft 4M "34"	N 35 14' 39.000"	W 075 42' 44.640"	35.24417	-75.7124	LNM 02/17, 5th Dist	525	11555_1	1/12/2017
11555	Change	Chicamacomico Channel Light 5	Q G 15ft 4M "5"	N 35 35' 56.782"	W 075 28' 58.343"	35.59911	-75.48287	LNM 02/17, 5th Dist	525	11555_1	1/12/2017
11555	Relocate	South Ferry Terminal Lighted Buoy 7SF	G "7SF" Fl G 4s	N 35 11' 28.798"	W 075 46' 50.107"	35.19133	-75.78059	LNM 51/16, 5th Dist	525	11555_1	12/22/2016
11555	Relocate	Hatteras Inlet Channel Lighted Buoy 12A	R "12A" Fl R 2.5s	N 35 12' 11.390"	W 075 43' 58.161"	35.20316	-75.73283	LNM 49/16, 5th Dist	525	11555_1	12/15/2016
11555	Relocate	Hatteras Inlet Channel Lighted Buoy 16	R "16" Fl R 4s	N 35 12' 07.908"	W 075 43' 34.004"	35.2022	-75.72611	LNM 49/16, 5th Dist	525	11555_1	12/15/2016
11555	Delete	Hatteras Inlet Channel Lighted Buoy 12A AIS	AIS  (Chart No. 1: S17.2)	N 35 12' 12.510"	W 075 43' 56.952"	35.20348	-75.73248	LNM 49/16, 5th Dist	525	11555_1	12/15/2016
11555	Add	Hatteras Inlet Channel Lighted Buoy 12A AIS	AIS  (Chart No. 1: S17.2)	N 35 12' 12.510"	W 075 43' 56.952"	35.20348	-75.73248	LNM 43/16, 5th Dist	525	11555_1	11/3/2016
11555	Relocate	Hatteras Inlet Channel Lighted Buoy 12A	R "12A" Fl R 2.5s	N 35 12' 12.510"	W 075 43' 56.952"	35.20348	-75.73248	LNM 43/16, 5th Dist	525	11555_1	11/3/2016
11555	Change	Buxton Harbor Approach Light 1B	Fl G 2.5s 15ft 4M "1B"	N 35 18' 31.077"	W 075 37' 24.936"	35.30863	-75.6236	LNM 41/16, 5th Dist	525	11555_1	10/20/2016
11555	Relocate	Pingleton Shoal Light 1PS	Fl G 4s 15ft 4M "1PS"	N 35 32' 45.893"	W 075 51' 11.947"	35.54608	-75.85332	LNM 40/16, 5th Dist	525	11555_1	10/13/2016
11555	Delete	South Ferry Terminal Light 7	Fl G 4s 15ft 4M "7"	N 35 11' 29.910"	W 075 46' 49.044"	35.19164	-75.78029	LNM 40/16, 5th Dist	525	11555_1	10/13/2016
11555	Add	South Ferry Terminal Lighted Buoy 7SF	G "7SF" Fl G 4s	N 35 11' 29.868"	W 075 46' 48.966"	35.19163	-75.78027	LNM 40/16, 5th Dist	525	11555_1	10/13/2016
11555	Relocate	Big Foot Slough Channel Daybeacon 9B	G "9B"	N 35 08' 47.160"	W 076 00' 27.300"	35.14643	-76.00758	LNM 39/16, 5th Dist	525	11555_1	10/6/2016
11555	Relocate	Big Foot Slough Channel Daybeacon 10A	R "10A"	N 35 08' 48.120"	W 076 00' 23.940"	35.1467	-76.00665	LNM 39/16, 5th Dist	525	11555_1	10/6/2016
11555	Relocate	Hatteras Inlet Entrance Lighted Whistle Buoy HI	RW "HI" Mo (A) WHIS	N 35 09' 28.680"	W 075 46' 40.418"	35.15797	-75.77789	LNM 38/16, 5th Dist	525	11555_1	9/22/2016
11555	Relocate	Big Foot Slough Channel Buoy 9AA	G C "9AA"	N 35 08' 29.409"	W 076 00' 20.337"	35.1415	-76.00565	LNM 35/16, 5th Dist	525	11555_1	9/8/2016
11555	Relocate	Hatteras Inlet Channel Daybeacon 23	G "23"	N 35 12' 49.000"	W 075 42' 44.000"	35.21361	-75.71222	LNM 35/16, 5th Dist	525	11555_1	9/8/2016
