Chart: 12206, Current Edition: 35, Print Date: Dec. /2015, Intracoastal Waterway Norfolk to Albemarle Sound via North Landing River or Dismal Swamp Canal
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12206	Change	Craney Island Creek Light 6	Q R 15ft 4M "6"	N 36 52' 52.623"	W 076 20' 47.129"	36.88128	-76.34643	LNM 07/17, 5th Dist	539	12206_1	2/23/2017
12206	Change	Elizabeth River Southern Branch Light 9	Fl G 2.5s 15ft 4M "9"	N 36 47' 17.064"	W 076 18' 07.048"	36.78807	-76.30196	LNM 07/17, 5th Dist	539	12206_1	2/23/2017
12206	Change	Elizabeth River Southern Branch Light 22	Fl R 4s 15ft 4M "22"	N 36 46' 34.415"	W 076 17' 49.253"	36.77623	-76.29701	LNM 07/17, 5th Dist	539	12206_1	2/23/2017
12206	Change	Elizabeth River Southern Branch Light 42	Fl R 4s 15ft 4M "42"	N 36 43' 46.971"	W 076 16' 30.655"	36.72971	-76.27518	LNM 07/17, 5th Dist	540	12206_2	2/23/2017
12206	Relocate	Craney Island Creek Light 6	Q R 15ft 4M "6"	N 36 52' 52.623"	W 076 20' 47.129"	36.88128	-76.34643	LNM 07/17, 5th Dist	539	12206_1	2/23/2017
12206	Change	Great Bridge to Albemarle Sound Light 143	Q G 18ft 4M "143"	N 36 17' 06.407"	W 075 56' 48.140"	36.28511	-75.94671	LNM 05/17, 5th Dist	542	12206_4	2/9/2017
12206	Change	Great Bridge to Albemarle Sound Light 44	Fl R 4s 15ft 4M "44"	N 36 36' 09.876"	W 076 03' 36.438"	36.60275	-76.06012	LNM 05/17, 5th Dist	541	12206_3	2/9/2017
12206	Change	Knotts Island Ferry Terminal Light 2	Q R 15ft 4M "2"	N 36 27' 59.297"	W 075 57' 38.997"	36.46647	-75.96083	LNM 05/17, 5th Dist	542	12206_4	2/9/2017
12206	Relocate	Great Bridge to Albemarle Sound Daybeacon 16	R "16"	N 36 41' 06.098"	W 076 03' 56.860"	36.68503	-76.0658	LNM 03/17, 5th Dist	541	12206_3	1/26/2017
12206	Relocate	Great Bridge to Albemarle Sound Light 18	Fl R 4s 15ft 4M "18"	N 36 40' 45.935"	W 076 04' 08.089"	36.67943	-76.06892	LNM 03/17, 5th Dist	541	12206_3	1/26/2017
12206	Change	Great Bridge to Albemarle Sound Light 4	Fl R 4s 15ft 4M "4"	N 36 42' 37.226"	W 076 04' 49.820"	36.71034	-76.08051	LNM 49/16, 5th Dist	541	12206_3	12/15/2016
12206	Change	Great Bridge to Albemarle Sound Light 10	Fl R 4s 19ft 4M "10"	N 36 41' 48.132"	W 076 04' 19.076"	36.6967	-76.07197	LNM 49/16, 5th Dist	541	12206_3	12/15/2016
