Chart: 12210, Current Edition: 42, Print Date: Jan. /2017, Chincoteague Inlet to Great Machipongo Inlet;Chincoteague Inlet
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12210	Change	Virginia Inside Passage Daybeacon 191	G "191"	N 37 22' 56.862"	W 075 46' 21.072"	37.38246	-75.77252	LNM 23/17, 5th Dist	550	12210_1	6/8/2017
12210	Delete	Virginia Inside Passage Daybeacon 199A	G "199A"	N 37 24' 12.726"	W 075 49' 37.536"	37.40353	-75.8271	LNM 22/17, 5th Dist	550	12210_1	6/8/2017
12210	Relocate	Metompkin Buoy 13	G C "13"	N 37 40' 33.264"	W 075 36' 19.434"	37.67591	-75.6054	LNM 22/17, 5th Dist	550	12210_1	6/8/2017
12210	Add	Chincoteague Channel CBFS Data Buoy A	Y C "A" Priv	N 37 53' 06.400"	W 075 24' 53.500"	37.88511	-75.41486	LNM 22/17, 5th Dist	551	12210_2	6/8/2017
12210	Add	Chincoteague Channel CBFS Data Buoy A	Y C "A" Priv	N 37 53' 06.400"	W 075 24' 53.500"	37.88511	-75.41486	LNM 22/17, 5th Dist	550	12210_1	6/8/2017
12210	Add	Chincoteague Inlet CBFS Data Buoy A	Y C "A" Priv	N 37 50' 42.900"	W 075 25' 05.600"	37.84525	-75.41822	LNM 22/17, 5th Dist	550	12210_1	6/8/2017
12210	Delete	Virginia Inside Passage Daybeacon 82	R "82"	N 37 42' 36.840"	W 075 36' 05.304"	37.71023	-75.60147	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Delete	Virginia Inside Passage Daybeacon 84	R "84"	N 37 42' 17.658"	W 075 36' 21.516"	37.70491	-75.60598	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Delete	Virginia Inside Passage Buoy 87	G C "87"	N 37 41' 19.740"	W 075 36' 54.204"	37.68882	-75.61506	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Delete	Virginia Inside Passage Daybeacon 105	G "105"	N 37 39' 13.164"	W 075 37' 41.898"	37.65366	-75.6283	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Change	Metompkin Light 11	Q G 15ft 4M "11"	N 37 41' 02.493"	W 075 36' 16.980"	37.68402	-75.60471	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Change	Metompkin Daybeacon 12	R "12"	N 37 40' 42.300"	W 075 36' 16.956"	37.67842	-75.60471	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Change	Metompkin Warning Daybeacon C	W "C"	N 37 40' 24.186"	W 075 36' 53.448"	37.67339	-75.61485	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Change	Metompkin Lighted Buoy 17	G "17" Fl G 4s	N 37 40' 08.010"	W 075 37' 10.470"	37.66889	-75.61958	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Change	Metompkin Daybeacon 18	R "18"	N 37 39' 47.532"	W 075 37' 04.500"	37.6632	-75.61792	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Change	Metompkin Warning Daybeacon D	W "D"	N 37 39' 21.696"	W 075 37' 21.474"	37.65602	-75.62263	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Add	Metompkin Buoy 2M	R N "2M"	N 37 42' 36.440"	W 075 36' 05.280"	37.71012	-75.60146	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Add	Metompkin Buoy 4	R N "4"	N 37 42' 17.140"	W 075 36' 21.010"	37.70476	-75.60583	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Add	Metompkin Buoy 7	G C "7"	N 37 41' 20.780"	W 075 36' 55.570"	37.68911	-75.61543	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Add	Metompkin Buoy 15	G C "15"	N 37 40' 24.240"	W 075 36' 56.620"	37.6734	-75.61573	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Add	Metompkin Buoy 20	R N "20"	N 37 39' 19.920"	W 075 37' 21.280"	37.65553	-75.62258	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Add	Metompkin Buoy 23	G C "23"	N 37 39' 13.640"	W 075 37' 40.720"	37.65379	-75.62798	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Change	Metompkin Daybeacon 9	G "9"	N 37 41' 05.028"	W 075 36' 36.066"	37.68473	-75.61002	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Change	Metompkin Buoy 24	R N "24"	N 37 39' 07.580"	W 075 37' 57.580"	37.65211	-75.63266	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Change	Metompkin Daybeacon 19	G "19"	N 37 39' 26.598"	W 075 37' 12.810"	37.65739	-75.62022	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Change	Metompkin Warning Daybeacon E	W "E"	N 37 38' 54.528"	W 075 38' 16.272"	37.64848	-75.63786	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Change	Metompkin Daybeacon 5	G "5"	N 37 41' 52.518"	W 075 36' 39.402"	37.69792	-75.61095	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Change	Metompkin Lighted Wreck Buoy WR22	R "WR22" Q R	N 37 39' 17.844"	W 075 37' 28.690"	37.65496	-75.62463	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Add	Metompkin Buoy 13	G C "13"	N 37 40' 33.190"	W 075 36' 09.800"	37.67588	-75.60272	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Relocate	Metompkin Daybeacon 12	R "12"	N 37 40' 42.300"	W 075 36' 16.956"	37.67842	-75.60471	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Relocate	Metompkin Lighted Buoy 17	G "17" Fl G 4s	N 37 40' 08.010"	W 075 37' 10.470"	37.66889	-75.61958	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
12210	Relocate	Metompkin Buoy 24	R N "24"	N 37 39' 07.580"	W 075 37' 57.580"	37.65211	-75.63266	LNM 20/17, 5th Dist	550	12210_1	5/25/2017
