Chart: 12221, Current Edition: 83, Print Date: Jan. /2017, Chesapeake Bay Entrance
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12221	Change	Virginia Inside Passage Daybeacon 224	R "224"	N 37 22' 20.856"	W 075 52' 17.448"	37.37246	-75.87151	LNM 24/17, 5th Dist	558	12221_1	6/22/2017
12221	Change	Virginia Inside Passage Daybeacon 226	R "226"	N 37 21' 33.054"	W 075 52' 51.162"	37.35918	-75.88087	LNM 24/17, 5th Dist	558	12221_1	6/22/2017
12221	Change	Virginia Inside Passage Daybeacon 227	G "227"	N 37 20' 53.160"	W 075 52' 54.600"	37.3481	-75.88184	LNM 24/17, 5th Dist	558	12221_1	6/22/2017
12221	Change	Virginia Inside Passage Daybeacon 228	R "228"	N 37 20' 17.028"	W 075 53' 28.626"	37.33806	-75.89129	LNM 24/17, 5th Dist	558	12221_1	6/22/2017
12221	Change	Virginia Inside Passage Daybeacon 229	G "229"	N 37 19' 09.504"	W 075 53' 22.746"	37.31931	-75.88965	LNM 24/17, 5th Dist	558	12221_1	6/22/2017
12221	Change	Virginia Inside Passage Daybeacon 230	R "230"	N 37 18' 33.204"	W 075 54' 02.580"	37.30922	-75.90072	LNM 24/17, 5th Dist	558	12221_1	6/22/2017
12221	Change	Virginia Inside Passage Daybeacon 232	R "232"	N 37 17' 20.892"	W 075 53' 44.514"	37.28913	-75.8957	LNM 24/17, 5th Dist	558	12221_1	6/22/2017
12221	Relocate	White House Cove Daybeacon 2	R "2"	N 37 08' 37.425"	W 076 22' 33.083"	37.14373	-76.37585	LNM 23/17, 5th Dist	558	12221_1	6/8/2017
12221	Change	Virginia Inside Passage Daybeacon 191	G "191"	N 37 22' 56.862"	W 075 46' 21.072"	37.38246	-75.77252	LNM 23/17, 5th Dist	558	12221_1	6/8/2017
12221	Change	Virginia Inside Passage Daybeacon 215	G "215"	N 37 23' 23.032"	W 075 51' 14.966"	37.38973	-75.85416	LNM 23/17, 5th Dist	558	12221_1	6/8/2017
12221	Add	Sounding in Feet	14	N 36 59' 27.600"	W 076 17' 38.300"	36.991	-76.29398	LNM 23/17, 5th Dist	558	12221_1	6/8/2017
12221	Add	Obstruction in Feet	14 Obstn   (Chart No. 1: K41)	N 37 07' 28.000"	W 076 13' 04.300"	37.12444	-76.21786	LNM 23/17, 5th Dist	558	12221_1	6/8/2017
12221	Delete	Sounding in Feet	22	N 36 59' 29.800"	W 076 17' 30.500"	36.99161	-76.29181	LNM 23/17, 5th Dist	558	12221_1	6/8/2017
12221	Delete	Virginia Inside Passage Daybeacon 199A	G "199A"	N 37 24' 12.726"	W 075 49' 37.536"	37.40353	-75.8271	LNM 22/17, 5th Dist	558	12221_1	6/8/2017
12221	Delete	Virginia Inside Passage Daybeacon 211	G "211"	N 37 23' 53.598"	W 075 50' 51.690"	37.39822	-75.84769	LNM 22/17, 5th Dist	558	12221_1	6/8/2017
12221	Delete	Virginia Inside Passage Daybeacon 219	G "219"	N 37 22' 29.345"	W 075 51' 45.199"	37.37482	-75.86256	LNM 22/17, 5th Dist	558	12221_1	6/8/2017
12221	Relocate	Thimble Shoal Channel Lighted Buoy 14	R "14" Fl R 2.5s	N 36 59' 42.340"	W 076 11' 05.570"	36.99509	-76.18488	LNM 19/17, 5th Dist	558	12221_1	5/18/2017
