Chart: 12222, Current Edition: 55, Print Date: Feb. /2015, Chesapeake Bay Cape Charles to Norfolk Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12222	Change	Newport News Creek Light 2	Fl R 2.5s 15ft 4M "2"	N 36 57' 34.810"	W 076 24' 33.758"	36.95967	-76.40938	LNM 27/17, 5th Dist	559	12222_1	7/13/2017
12222	Change	Little Creek Harbor Jetty Light 6	Fl R 2.5s 15ft 4M "6"	N 36 55' 44.799"	W 076 10' 41.793"	36.92911	-76.17828	LNM 25/17, 5th Dist	559	12222_1	6/29/2017
12222	Change	Depth Legend - Craney Island Rehandling Basin - North Access Channel to:	15 FT 2017	N 36 53' 57.280"	W 076 20' 28.360"	36.89925	-76.34121	LNM 26/17, 5th Dist	559	12222_1	6/22/2017
12222	Change	Depth Legend - Norfolk International Terminals to:	50 FT JUL 2016	N 36 55' 39.450"	W 076 19' 54.810"	36.92762	-76.33189	LNM 25/17, 5th Dist	559	12222_1	6/15/2017
12222	Add	Sounding in Feet	14	N 36 59' 27.600"	W 076 17' 38.300"	36.991	-76.29398	LNM 23/17, 5th Dist	559	12222_1	6/8/2017
12222	Add	Sounding in Feet	30	N 36 59' 49.700"	W 076 18' 56.500"	36.99714	-76.3157	LNM 23/17, 5th Dist	559	12222_1	6/8/2017
12222	Add	Obstruction in Feet	14 Obstn   (Chart No. 1: K41)	N 37 07' 28.000"	W 076 13' 04.300"	37.12444	-76.21786	LNM 23/17, 5th Dist	559	12222_1	6/8/2017
12222	Delete	Sounding in Feet	22	N 36 59' 29.800"	W 076 17' 30.500"	36.99161	-76.29181	LNM 23/17, 5th Dist	559	12222_1	6/8/2017
12222	Relocate	Thimble Shoal Channel Lighted Buoy 14	R "14" Fl R 2.5s	N 36 59' 42.340"	W 076 11' 05.570"	36.99509	-76.18488	LNM 19/17, 5th Dist	559	12222_1	5/18/2017
12222	Add	Back River Channel Buoy 6A	R N "6A"	N 37 06' 32.792"	W 076 16' 41.918"	37.10911	-76.27831	LNM 19/17, 5th Dist	559	12222_1	5/11/2017
12222	Relocate	Back River Channel Daybeacon 12	R "12"	N 37 06' 20.091"	W 076 18' 21.026"	37.10558	-76.30584	LNM 18/17, 5th Dist	559	12222_1	5/11/2017
12222	Relocate	Back River Channel Light 22	Fl R 4s 15ft 4M "22"	N 37 05' 24.199"	W 076 20' 03.960"	37.09005	-76.33443	LNM 18/17, 5th Dist	559	12222_1	5/11/2017
12222	Relocate	Poquoson Flats Channel Daybeacon 2PF	R "2PF"	N 37 06' 27.136"	W 076 14' 46.082"	37.10754	-76.24613	LNM 18/17, 5th Dist	559	12222_1	5/11/2017
12222	Change	Tabulation - NORFOLK HARBOR AND APPROACHES	Tabulation - NORFOLK HARBOR AND APPROACHES	N 36 53' 20.000"	W 076 10' 00.000"	36.88889	-76.16666	LNM 18/17, 5th Dist	559	12222_1	4/27/2017
12222	Relocate	Chesapeake Channel Lighted Bell Buoy 2C	R "2C" Fl R 2.5s BELL	N 36 57' 18.528"	W 075 58' 22.246"	36.95515	-75.97285	LNM 16/17, 5th Dist	559	12222_1	4/27/2017
12222	Relocate	Chesapeake Channel Lighted Bell Buoy 12	R "12" Q R BELL	N 37 01' 05.077"	W 076 02' 41.593"	37.01808	-76.04488	LNM 16/17, 5th Dist	559	12222_1	4/27/2017
12222	Change	Depth Legend - Little River (Creek) to: 22 FT FOR A WIDTH OF 400 FT OCT 2016	22 FT FOR A WIDTH OF 400 FT OCT 2016	N 36 55' 44.210"	W 076 10' 38.260"	36.92895	-76.17729	LNM 15/17, 5th Dist	559	12222_1	4/13/2017
12222	Change	Depth Legend - Little River (Creek) to: 22 FT FOR A WIDTH OF 400 FT OCT 2016	22 FT FOR A WIDTH OF 400 FT OCT 2016	N 36 57' 21.070"	W 076 10' 23.340"	36.95585	-76.17315	LNM 15/17, 5th Dist	559	12222_1	4/13/2017
12222	Change	Depth Legend - Little River (Creek) Basin to: 22 FT OCT 2016	22 FT OCT 2016	N 36 54' 56.040"	W 076 10' 42.050"	36.91557	-76.17834	LNM 15/17, 5th Dist	559	12222_1	4/13/2017
12222	Change	Tabulation - Norfolk Harbor and Approaches	Tabulation - Norfolk Harbor and Approaches	N 36 53' 20.000"	W 076 10' 00.000"	36.88889	-76.16666	LNM 15/17, 5th Dist	559	12222_1	3/30/2017
12222	Change	Lafayette River Channel Light 20	Fl R 4s 15ft 4M "20"	N 36 54' 00.588"	W 076 17' 26.934"	36.90016	-76.29082	LNM 12/17, 5th Dist	559	12222_1	3/23/2017
12222	Change	Linkhorn Bay Light 23	Q G 15ft 4M "23"	N 36 52' 17.850"	W 076 00' 31.872"	36.87162	-76.00885	LNM 11/17, 5th Dist	559	12222_1	3/23/2017
12222	Change	Broad Bay Channel Light 14	Fl R 4s 15ft 4M "14"	N 36 54' 06.016"	W 076 03' 11.336"	36.90167	-76.05315	LNM 11/17, 5th Dist	559	12222_1	3/23/2017
12222	Change	Craney Island Creek Light 6	Q R 15ft 4M "6"	N 36 52' 52.623"	W 076 20' 47.129"	36.88128	-76.34643	LNM 07/17, 5th Dist	559	12222_1	2/23/2017
12222	Change	Long Creek Channel Light 4	Q R 15ft 4M "4"	N 36 54' 15.702"	W 076 05' 21.876"	36.90436	-76.08941	LNM 07/17, 5th Dist	559	12222_1	2/23/2017
12222	Change	Little Creek Harbor Light 5	Fl G 2.5s 15ft 4M "5"	N 36 55' 41.796"	W 076 10' 34.369"	36.92828	-76.17622	LNM 07/17, 5th Dist	559	12222_1	2/23/2017
12222	Change	Naval Boat Channel Light 8	Fl R 2.5s 15ft 4M "8"	N 36 57' 40.964"	W 076 18' 46.992"	36.96138	-76.31306	LNM 07/17, 5th Dist	559	12222_1	2/23/2017
12222	Change	Hampton River Channel Light 11	Q G 15ft 4M "11"	N 37 00' 26.017"	W 076 20' 19.164"	37.00723	-76.33865	LNM 07/17, 5th Dist	559	12222_1	2/23/2017
12222	Change	Hampton Flats Bar Channel Light 2	Fl R 2.5s 15ft 4M "2"	N 36 59' 00.552"	W 076 21' 22.936"	36.98349	-76.35637	LNM 07/17, 5th Dist	559	12222_1	2/23/2017
12222	Add	Shoaling Label	Shl to 6 ft 2017	N 37 06' 33.000"	W 076 16' 40.800"	37.10917	-76.278	LNM 07/17, 5th Dist	559	12222_1	2/23/2017
12222	Relocate	Chesapeake Channel Lighted Buoy 16	R "16" Q R	N 37 03' 53.581"	W 076 05' 25.148"	37.06488	-76.09032	LNM 07/17, 5th Dist	559	12222_1	2/23/2017
12222	Relocate	Craney Island Creek Light 6	Q R 15ft 4M "6"	N 36 52' 52.623"	W 076 20' 47.129"	36.88128	-76.34643	LNM 07/17, 5th Dist	559	12222_1	2/23/2017
12222	Relocate	Dandy Haven Marina Entrance Daybeacon 8	R "8" Priv	N 37 05' 51.100"	W 076 18' 02.800"	37.09753	-76.30078	LNM 05/17, 5th Dist	559	12222_1	2/9/2017
12222	Relocate	Newport News Creek Lighted Buoy 4	R "4" Fl R 4s	N 36 57' 42.931"	W 076 24' 37.607"	36.96193	-76.41045	LNM 05/17, 5th Dist	559	12222_1	2/9/2017
12222	Change	Depth Legend - CHESAPEAKE BAY TO MAGOTHY BAY to: 3 1/2 FT JAN 2015	3 1/2 FT JAN 2015	N 37 06' 52.640"	W 075 58' 35.750"	37.11462	-75.9766	LNM 05/17, 5th Dist	559	12222_1	1/26/2017
12222	Change	Depth Legend - CHESAPEAKE BAY TO MAGOTHY BAY to: 3 FT FOR A WIDTH OF 60 FT JAN 2015	3 FT FOR A WIDTH OF 60 FT JAN 2015	N 37 07' 34.920"	W 075 57' 05.020"	37.12637	-75.95139	LNM 05/17, 5th Dist	559	12222_1	1/26/2017
