Chart: 12233, Current Edition: 38, Print Date: Jan. /2014, Potomac River Chesapeake Bay to Piney Point
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12233	Change	Bonum Creek Warning Light A	Fl 2.5s 15ft 4M "A"	N 38 05' 54.135"	W 076 34' 47.400"	38.09837	-76.57983	LNM 22/17, 5th Dist	570	12233_1	6/8/2017
12233	Change	Bonum Creek North Jetty Warning Daybeacon B	W "B"	N 38 05' 53.546"	W 076 34' 48.690"	38.09821	-76.58019	LNM 22/17, 5th Dist	570	12233_1	6/8/2017
12233	Change	Bonum Creek Warning Daybeacon C	W "C"	N 38 05' 49.651"	W 076 34' 49.792"	38.09713	-76.5805	LNM 22/17, 5th Dist	570	12233_1	6/8/2017
12233	Delete	Little Wicomico River Daybeacon 15	G "15"	N 37 53' 16.717"	W 076 16' 42.726"	37.88798	-76.27853	LNM 21/17, 5th Dist	570	12233_1	6/1/2017
12233	Add	Little Wicomico River Buoy 15	G C "15"	N 37 53' 16.477"	W 076 16' 41.725"	37.88791	-76.27826	LNM 21/17, 5th Dist	570	12233_1	6/1/2017
12233	Add	Slough Creek Daybeacon 7	G "7" Priv	N 37 53' 04.008"	W 076 15' 11.514"	37.88445	-76.2532	LNM 21/17, 5th Dist	570	12233_1	6/1/2017
12233	Add	Slough Creek Daybeacon 8	R "8" Priv	N 37 53' 03.245"	W 076 15' 10.002"	37.88424	-76.25278	LNM 21/17, 5th Dist	570	12233_1	6/1/2017
12233	Relocate	Little Wicomico River Buoy 14	R N "14"	N 37 53' 14.185"	W 076 16' 17.124"	37.88727	-76.27142	LNM 12/17, 5th Dist	570	12233_1	3/23/2017
12233	Delete	Slough Creek Buoy 7	G C "7"	N 37 53' 04.008"	W 076 15' 11.514"	37.88445	-76.2532	LNM 49/16, 5th Dist	570	12233_1	12/15/2016
12233	Delete	Slough Creek Buoy 8	R N "8"	N 37 53' 03.245"	W 076 15' 10.002"	37.88424	-76.25278	LNM 49/16, 5th Dist	570	12233_1	12/15/2016
12233	Change	St. George Creek Light 2	Fl R 4s 15ft 4M "2"	N 38 07' 22.198"	W 076 27' 56.153"	38.12283	-76.4656	LNM 47/16, 5th Dist	570	12233_1	12/1/2016
12233	Change	Carthagena Creek Light 4	Fl R 2.5s 15ft 4M "4"	N 38 09' 08.690"	W 076 28' 15.428"	38.15241	-76.47095	LNM 47/16, 5th Dist	570	12233_1	12/1/2016
12233	Change	Lake Conoy Light 2	Fl R 2.5s 18ft 4M "2"	N 38 02' 59.623"	W 076 19' 45.789"	38.0499	-76.32938	LNM 40/16, 5th Dist	570	12233_1	10/13/2016
12233	Change	St. Jerome Creek Light 1SJ	Fl G 2.5s 15ft 3M "1SJ"	N 38 06' 54.494"	W 076 20' 08.598"	38.11514	-76.33572	LNM 38/16, 5th Dist	570	12233_1	9/22/2016
12233	Change	St. Marys River Light 1	Fl G 2.5s 15ft 4M "1"	N 38 08' 23.295"	W 076 27' 17.346"	38.1398	-76.45482	LNM 35/16, 5th Dist	570	12233_1	9/8/2016
12233	Change	Slough Creek Buoy 7	G C "7"	N 37 53' 04.008"	W 076 15' 11.514"	37.88445	-76.2532	LNM 35/16, 5th Dist	570	12233_1	9/8/2016
12233	Add	Rock in Feet	17 Rk      Chart No. 1: K14.2	N 38 08' 50.300"	W 076 18' 07.180"	38.1473	-76.30199	LNM 33/16, 5th Dist	570	12233_1	8/11/2016
12233	Change	St Jerome Creek Daybeacon 4A	R "4A"	N 38 07' 11.679"	W 076 20' 32.254"	38.11991	-76.34229	LNM 27/16, 5th Dist	570	12233_1	7/7/2016
