Chart: 12277, Current Edition: 36, Print Date: Oct. /2014, Chesapeake and Delaware Canal
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12277	Delete	Anchorage Area 3 PT 1 OF 6	(Chart No. 1 N12.1	N 39 32' 20.000"	W 075 33' 07.720"	39.53889	-75.55215	LNM 13/17, 5th Dist	631	12277_1	3/23/2017
12277	Delete	Anchorage Area 3 PT 2 OF 6	(Chart No. 1 N12.1	N 39 33' 24.190"	W 075 32' 59.650"	39.55672	-75.5499	LNM 13/17, 5th Dist	631	12277_1	3/23/2017
12277	Delete	Anchorage Area 3 PT 3 OF 6	(Chart No. 1 N12.1	N 39 33' 17.750"	W 075 32' 40.750"	39.55493	-75.54465	LNM 13/17, 5th Dist	631	12277_1	3/23/2017
12277	Delete	Anchorage Area 3 PT 4 OF 6	(Chart No. 1 N12.1	N 39 33' 06.470"	W 075 32' 36.900"	39.5518	-75.54359	LNM 13/17, 5th Dist	631	12277_1	3/23/2017
12277	Delete	Anchorage Area 3 PT 5 OF 6	(Chart No. 1 N12.1	N 39 32' 34.840"	W 075 32' 38.690"	39.54301	-75.54408	LNM 13/17, 5th Dist	631	12277_1	3/23/2017
12277	Delete	Anchorage Area 3 PT 6 OF 6	(Chart No. 1 N12.1	N 39 32' 21.600"	W 075 32' 43.490"	39.53933	-75.54541	LNM 13/17, 5th Dist	631	12277_1	3/23/2017
12277	Add	Anchorage Area 3 PT 1 OF 5	(Chart No. 1 N12.1)	N 39 32' 19.950"	W 075 33' 08.470"	39.53888	-75.55235	LNM 13/17, 5th Dist	631	12277_1	3/23/2017
12277	Add	Anchorage Area 3 PT 2 OF 5	(Chart No. 1 N12.1)	N 39 33' 09.000"	W 075 33' 10.000"	39.5525	-75.55278	LNM 13/17, 5th Dist	631	12277_1	3/23/2017
12277	Add	Anchorage Area 3 PT 3 OF 5	(Chart No. 1 N12.1)	N 39 33' 09.000"	W 075 32' 38.000"	39.5525	-75.54389	LNM 13/17, 5th Dist	631	12277_1	3/23/2017
12277	Add	Anchorage Area 3 PT 4 OF 5	(Chart No. 1 N12.1)	N 39 32' 34.600"	W 075 32' 38.200"	39.54295	-75.54395	LNM 13/17, 5th Dist	631	12277_1	3/23/2017
12277	Add	Anchorage Area 3 PT 5 OF 5	(Chart No. 1 N12.1)	N 39 32' 21.630"	W 075 32' 42.710"	39.53934	-75.5452	LNM 13/17, 5th Dist	631	12277_1	3/23/2017
12277	Change	Tabulation - CHESAPEAKE AND DELAWARE CANAL CHANNEL DEPTHS	Tabulation - CHESAPEAKE AND DELAWARE CANAL CHANNEL DEPTHS	N 39 34' 40.000"	W 075 43' 00.000"	39.57778	-75.71667	LNM 10/17, 5th Dist	631	12277_1	3/9/2017
12277	Change	Tabulation - SALEM RIVER CHANNEL	Tabulation - SALEM RIVER CHANNEL	N 39 33' 50.000"	W 075 43' 03.000"	39.56389	-75.7175	LNM 09/17, 5th Dist	631	12277_1	3/2/2017
12277	Change	Tabulation - CHESAPEAKE AND DELAWARE CANAL CHANNEL DEPTHS	Tabulation - CHESAPEAKE AND DELAWARE CANAL CHANNEL DEPTHS	N 39 34' 40.000"	W 075 43' 00.000"	39.57778	-75.71667	LNM 06/17, 5th Dist	631	12277_1	2/2/2017
12277	Change	Delaware River Light 15	Fl G 6s 15ft 5M "15"	N 39 35' 24.874"	W 075 33' 55.359"	39.59024	-75.56538	LNM 44/16, 5th Dist	631	12277_1	11/10/2016
12277	Change	Delaware River Lighted Buoy 11	G "11" Q G AIS	N 39 33' 06.467"	W 075 32' 36.904"	39.5518	-75.54359	LNM 37/16, 5th Dist	631	12277_1	9/15/2016
12277	Relocate	Delaware City Light 1	Fl G 4s 15ft 4M "1"	N 39 34' 45.310"	W 075 35' 06.852"	39.57925	-75.58524	LNM 31/16, 5th Dist	631	12277_1	8/11/2016
12277	Change	Delaware City Light 1	Fl G 4s 15ft 4M "1"	N 39 34' 45.532"	W 075 35' 06.777"	39.57932	-75.58521	LNM 30/16, 5th Dist	631	12277_1	8/11/2016
