Chart: 12278, Current Edition: 79, Print Date: May. /2014, Chesapeake Bay Approaches to Baltimore Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12278	Relocate	Swan Creek Entrance Buoy 1	G C "1"	N 39 05' 34.223"	W 076 15' 15.021"	39.09284	-76.25417	LNM 22/17, 5th Dist	633	12278_1	6/8/2017
12278	Relocate	Curtis Bay Channel Lighted Buoy 4	R "4" Fl R 6s	N 39 13' 21.598"	W 076 32' 51.755"	39.22267	-76.54771	LNM 20/17, 5th Dist	633	12278_1	5/25/2017
12278	Relocate	Brewerton Channel Lighted Buoy 3	G "3" Q G	N 39 10' 48.736"	W 076 26' 42.018"	39.18021	-76.44501	LNM 19/17, 5th Dist	633	12278_1	5/18/2017
12278	Relocate	Gordon Point Shoal Buoy 2	R N "2"	N 39 03' 40.633"	W 076 09' 38.241"	39.06129	-76.16062	LNM 15/17, 5th Dist	633	12278_1	4/20/2017
12278	Change	Sparrows Point Channel Range Front Light	F G 70ft Priv	N 39 12' 42.268"	W 076 29' 03.119"	39.21174	-76.4842	LNM 13/17, 5th Dist	633	12278_1	4/6/2017
12278	Change	Sparrows Point Channel Range Rear Light	F R 96ft Priv	N 39 12' 46.435"	W 076 29' 03.653"	39.2129	-76.48434	LNM 13/17, 5th Dist	633	12278_1	4/6/2017
12278	Change	Sparrows Point Channel Lighted Junction Buoy SP	RG "SP" Fl (2+1) R 6s	N 39 11' 40.190"	W 076 28' 58.292"	39.1945	-76.48286	LNM 13/17, 5th Dist	633	12278_1	4/6/2017
12278	Relocate	Sparrows Point Channel Buoy 2	R N "2"	N 39 11' 40.791"	W 076 28' 51.860"	39.19466	-76.48107	LNM 13/17, 5th Dist	633	12278_1	4/6/2017
12278	Relocate	Sparrows Point Channel Buoy 3	G C "3"	N 39 11' 51.390"	W 076 28' 59.961"	39.19761	-76.48332	LNM 13/17, 5th Dist	633	12278_1	4/6/2017
12278	Relocate	Sparrows Point Channel Buoy 4	R N "4"	N 39 11' 52.491"	W 076 28' 44.160"	39.19791	-76.47894	LNM 13/17, 5th Dist	633	12278_1	4/6/2017
12278	Relocate	Sparrows Point Channel Buoy 6	R N "6"	N 39 12' 06.390"	W 076 28' 45.960"	39.20177	-76.47943	LNM 13/17, 5th Dist	633	12278_1	4/6/2017
12278	Relocate	Sparrows Point Channel Buoy 7	G C "7"	N 39 12' 22.370"	W 076 29' 03.041"	39.20621	-76.48418	LNM 13/17, 5th Dist	633	12278_1	4/6/2017
12278	Change	Sparrows Point Channel Lighted Buoy 8	R "8" Fl R 2.5s	N 39 12' 22.040"	W 076 28' 59.061"	39.20612	-76.48307	LNM 13/17, 5th Dist	633	12278_1	4/6/2017
12278	Relocate	Sparrows Point Channel Buoy 10	R N "10"	N 39 12' 34.310"	W 076 28' 54.761"	39.20953	-76.48188	LNM 13/17, 5th Dist	633	12278_1	4/6/2017
12278	Relocate	Sparrows Point Channel Range Front Light	F G 70ft Priv	N 39 12' 42.268"	W 076 29' 03.119"	39.21174	-76.4842	LNM 13/17, 5th Dist	633	12278_1	4/6/2017
12278	Relocate	Sparrows Point Channel Range Rear Light	F R 96ft Priv	N 39 12' 46.435"	W 076 29' 03.653"	39.2129	-76.48434	LNM 13/17, 5th Dist	633	12278_1	4/6/2017
12278	Relocate	Curtis Bay Channel Lighted Buoy 5	G "5" Fl G 4s	N 39 13' 15.684"	W 076 33' 08.671"	39.22102	-76.55241	LNM 10/17, 5th Dist	633	12278_1	3/16/2017
