Chart: 12281, Current Edition: 56, Print Date: Jul. /2016, Baltimore Harbor
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12281	Relocate	Baltimore Inner Harbor Buoy 5	G C "5" Priv	N 39 16' 45.240"	W 076 36' 10.980"	39.27923	-76.60305	LNM 23/17, 5th Dist	640	12281_1	6/8/2017
12281	Relocate	Curtis Bay Channel Lighted Buoy 4	R "4" Fl R 6s	N 39 13' 21.598"	W 076 32' 51.755"	39.22267	-76.54771	LNM 20/17, 5th Dist	640	12281_1	5/25/2017
12281	Relocate	Fort McHenry Channel Lighted Buoy 9	G "9" Fl G 4s	N 39 13' 48.006"	W 076 32' 37.894"	39.23	-76.54386	LNM 13/17, 5th Dist	640	12281_1	4/6/2017
12281	Change	Sparrows Point Channel Range Front Light	F G 70ft Priv	N 39 12' 42.268"	W 076 29' 03.119"	39.21174	-76.4842	LNM 13/17, 5th Dist	640	12281_1	4/6/2017
12281	Change	Sparrows Point Channel Range Rear Light	F R 96ft Priv	N 39 12' 46.435"	W 076 29' 03.653"	39.2129	-76.48434	LNM 13/17, 5th Dist	640	12281_1	4/6/2017
12281	Change	Sparrows Point Channel Lighted Junction Buoy SP	RG "SP" Fl (2+1) R 6s	N 39 11' 40.190"	W 076 28' 58.292"	39.1945	-76.48286	LNM 13/17, 5th Dist	640	12281_1	4/6/2017
12281	Relocate	Sparrows Point Channel Buoy 2	R N "2"	N 39 11' 40.791"	W 076 28' 51.860"	39.19466	-76.48107	LNM 13/17, 5th Dist	640	12281_1	4/6/2017
12281	Relocate	Sparrows Point Channel Buoy 3	G C "3"	N 39 11' 51.390"	W 076 28' 59.961"	39.19761	-76.48332	LNM 13/17, 5th Dist	640	12281_1	4/6/2017
12281	Relocate	Sparrows Point Channel Buoy 4	R N "4"	N 39 11' 52.491"	W 076 28' 44.160"	39.19791	-76.47894	LNM 13/17, 5th Dist	640	12281_1	4/6/2017
12281	Relocate	Sparrows Point Channel Buoy 6	R N "6"	N 39 12' 06.390"	W 076 28' 45.960"	39.20177	-76.47943	LNM 13/17, 5th Dist	640	12281_1	4/6/2017
