Chart: 12284, Current Edition: 17, Print Date: Sep. /2014, Patuxent River Solomons lsland and Vicinity
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12284	Change	Back Creek Light 2	Fl R 4s 15ft 4M "2"	N 38 19' 18.635"	W 076 27' 18.385"	38.32184	-76.45511	LNM 49/16, 5th Dist	643	12284_1	12/15/2016
12284	Change	Solomons Island Harbor Junction Light SH	Fl (2+1) R 6s 15ft 4M "SH"	N 38 19' 19.803"	W 076 27' 14.184"	38.32217	-76.45394	LNM 49/16, 5th Dist	643	12284_1	12/15/2016
12284	Change	Back Creek Light 5	Fl G 4s 15ft 4M "5"	N 38 19' 35.687"	W 076 27' 26.889"	38.32658	-76.45747	LNM 49/16, 5th Dist	643	12284_1	12/15/2016
12284	Change	Town Creek Light 2	Fl R 4s 15ft 4M "2"	N 38 18' 54.988"	W 076 28' 44.625"	38.31527	-76.47906	LNM 49/16, 5th Dist	643	12284_1	12/15/2016
12284	Add	Cable Area PT 1 OF 2	Chart No. 1: L30.2	N 38 19' 25.470"	W 076 29' 01.090"	38.32374	-76.48363	LNM 02/16, 5th Dist	643	12284_1	1/7/2016
12284	Add	Cable Area PT 2 OF 2	Chart No. 1: L30.2	N 38 19' 54.410"	W 076 28' 44.210"	38.33178	-76.47895	LNM 02/16, 5th Dist	643	12284_1	1/7/2016
12284	Add	Cable Area PT 1 OF 2	Chart No. 1: L30.2	N 38 19' 35.140"	W 076 29' 00.000"	38.32643	-76.48333	LNM 02/16, 5th Dist	643	12284_1	1/7/2016
12284	Add	Cable Area PT 2 OF 2	Chart No. 1: L30.2	N 38 19' 52.970"	W 076 28' 49.600"	38.33138	-76.48045	LNM 02/16, 5th Dist	643	12284_1	1/7/2016
12284	Delete	Cable Area PT 1 OF 2.	Chart No. 1: L30.2	N 38 19' 25.470"	W 076 29' 01.090"	38.32374	-76.48363	LNM 02/16, 5th Dist	643	12284_1	1/7/2016
12284	Delete	Cable Area PT 2 OF 2	Chart No. 1: L30.2	N 38 19' 35.140"	W 076 29' 00.000"	38.32643	-76.48333	LNM 02/16, 5th Dist	643	12284_1	1/7/2016
12284	Change	Back Creek Light 	Fl G 4s 15ft 3M "5"	N 38 19' 35.687"	W 076 27' 26.889"	38.32658	-76.45747	LNM 45/15, 5th Dist	643	12284_1	11/19/2015
12284	Add	Dotted Oyster Reef Label	Obstn Oyster Reef (auth min 2 1/2 ft)	N 38 20' 20.480"	W 076 29' 51.910"	38.33902	-76.49775	LNM 44/14, 5th Dist	643	12284_1	10/30/2014
12284	Delete	Sounding in Feet	10	N 38 19' 46.620"	W 076 29' 34.170"	38.32962	-76.49283	LNM 44/14, 5th Dist	643	12284_1	10/30/2014
12284	Delete	Sounding in Feet	10	N 38 19' 43.710"	W 076 29' 37.740"	38.32881	-76.49382	LNM 44/14, 5th Dist	643	12284_1	10/30/2014
12284	Add	Dotted Oyster Reef Label	Obstn Oyster Reef (auth min 2 ft)	N 38 19' 44.500"	W 076 29' 35.330"	38.32903	-76.49315	LNM 44/14, 5th Dist	643	12284_1	10/30/2014
12284	Add	Dotted Oyster Reef PT 1 OF 4	Chart No. 1: K46.2	N 38 19' 43.000"	W 076 29' 39.000"	38.32861	-76.49416	LNM 44/14, 5th Dist	643	12284_1	10/30/2014
12284	Add	Dotted Oyster Reef PT 2 OF 4	Chart No. 1: K46.2	N 38 19' 47.900"	W 076 29' 33.400"	38.32997	-76.49261	LNM 44/14, 5th Dist	643	12284_1	10/30/2014
12284	Add	Dotted Oyster Reef PT 3 OF 4	Chart No. 1: K46.2	N 38 19' 46.400"	W 076 29' 31.400"	38.32956	-76.49206	LNM 44/14, 5th Dist	643	12284_1	10/30/2014
12284	Add	Dotted Oyster Reef PT 4 OF 4	Chart No. 1: K46.2	N 38 19' 41.600"	W 076 29' 36.900"	38.32822	-76.49358	LNM 44/14, 5th Dist	643	12284_1	10/30/2014
12284	Add	Dotted Oyster Reef PT 1 OF 4	Chart No. 1: K46.2	N 38 20' 23.900"	W 076 29' 54.800"	38.33997	-76.49856	LNM 44/14, 5th Dist	643	12284_1	10/30/2014
12284	Add	Dotted Oyster Reef PT 2 OF 4	Chart No. 1: K46.2	N 38 20' 18.800"	W 076 29' 47.800"	38.33855	-76.49661	LNM 44/14, 5th Dist	643	12284_1	10/30/2014
12284	Add	Dotted Oyster Reef PT 3 OF 4	Chart No. 1: K46.2	N 38 20' 15.900"	W 076 29' 47.700"	38.33775	-76.49658	LNM 44/14, 5th Dist	643	12284_1	10/30/2014
12284	Add	Dotted Oyster Reef PT 4 OF 4	Chart No. 1: K46.2	N 38 20' 22.400"	W 076 29' 56.600"	38.33955	-76.49905	LNM 44/14, 5th Dist	643	12284_1	10/30/2014
12284	Delete	Sounding in Feet	3	N 38 20' 21.110"	W 076 29' 52.540"	38.3392	-76.49792	LNM 44/14, 5th Dist	643	12284_1	10/30/2014
12284	Change	Patuxent River Light 6A	Q R 15ft 4M "6A"	N 38 18' 44.687"	W 076 27' 16.657"	38.31241	-76.45463	LNM 42/14, 5th Dist	643	12284_1	10/23/2014
12284	Change	Lusby Point Junction Daybeacon LP	GR "LP"	N 38 20' 04.325"	W 076 26' 50.494"	38.33453	-76.44736	LNM 42/14, 5th Dist	643	12284_1	10/23/2014
12284	Relocate	Patuxent River Light 11	Q G 15ft 4M "11"	N 38 20' 27.699"	W 076 29' 21.063"	38.34103	-76.48918	LNM 39/14, 5th Dist	643	12284_1	10/9/2014
